NAME,TICKER,YH_TICKER,Limited Supply,Stable coin,Size,download_url
Bitcoin,BTC,BTC-USD,YES,,BIG,https://www.coingecko.com/price_charts/export/1/usd.csv
Ethereum,ETH,ETH-USD,NO,,BIG,https://www.coingecko.com/price_charts/export/279/usd.csv
Binance Coin,BNB,BNB-USD,YES,,BIG,https://www.coingecko.com/price_charts/export/825/usd.csv
Cardano,ADA,ADA-USD,YES,,BIG,https://www.coingecko.com/price_charts/export/975/usd.csv
Tether,USDT,USDT-USD,NO,YES,BIG,https://www.coingecko.com/price_charts/export/325/usd.csv
Solana,SOL,SOL1-USD,NO,,BIG,https://www.coingecko.com/price_charts/export/4128/usd.csv
XRP,XRP,XRP-USD,YES,,BIG,https://www.coingecko.com/price_charts/export/44/usd.csv
USD Coin,USDC,USDC-USD,NO,YES,BIG,https://www.coingecko.com/price_charts/export/6319/usd.csv
Dogecoin,DOGE,DOGE-USD,NO,,BIG,https://www.coingecko.com/price_charts/export/5/usd.csv
Polkadot,DOT,DOT1-USD,NO,,MID,https://www.coingecko.com/price_charts/export/12171/usd.csv
Terra,LUNA,LUNA1-USD,NO,,MID,https://www.coingecko.com/price_charts/export/8284/usd.csv
Uniswap,UNI,UNI3-USD,YES,,MID,https://www.coingecko.com/price_charts/export/12504/usd.csv
Avalanche,AVAX,AVAX-USD,YES,,MID,https://www.coingecko.com/price_charts/export/12559/usd.csv
Binance USD,BUSD,NULL,YES,,MID,https://www.coingecko.com/price_charts/export/9576/usd.csv
Chainlink,LINK,LINK-USD,YES,,MID,https://www.coingecko.com/price_charts/export/877/usd.csv
Algorand,ALGO,ALGO-USD,YES,,MID,https://www.coingecko.com/price_charts/export/4380/usd.csv
Litecoin,LTC,LTC-USD,YES,,MID,https://www.coingecko.com/price_charts/export/2/usd.csv
Bitcoin Cash,BCH,BCH-USD,YES,,MID,https://www.coingecko.com/price_charts/export/780/usd.csv
Polygon,MATIC,MATIC-USD,YES,,MID,https://www.coingecko.com/price_charts/export/4713/usd.csv
Axie Infinity,AXS,NULL,YES,,SMALL,https://www.coingecko.com/price_charts/export/13029/usd.csv
Cosmos,ATOM,ATOM1-USD,NO,,SMALL,https://www.coingecko.com/price_charts/export/1481/usd.csv
Internet Computer,ICP,ICP1-USD,NO,,SMALL,https://www.coingecko.com/price_charts/export/14495/usd.csv
Filecoin,FIL,FIL-USD,NO,,SMALL,https://www.coingecko.com/price_charts/export/12817/usd.csv
Stellar,XLM,XLM-USD,YES,,SMALL,https://www.coingecko.com/price_charts/export/100/usd.csv
Tezos,XTZ,XTZ-USD,NO,,SMALL,https://www.coingecko.com/price_charts/export/976/usd.csv
VeChain,VET,VET-USD,YES,,SMALL,https://www.coingecko.com/price_charts/export/1167/usd.csv
Ethereum Classic,ETC,ETC-USD,YES,,SMALL,https://www.coingecko.com/price_charts/export/453/usd.csv
Tron,TRX,TRX-USD,NO,,SMALL,https://www.coingecko.com/price_charts/export/1094/usd.csv
Hedera Hashgraph,HBAR,HBAR-USD,YES,,SMALL,https://www.coingecko.com/price_charts/export/3688/usd.csv
FTX Token,FTT,NULL,YES,,SMALL,https://www.coingecko.com/price_charts/export/9026/usd.csv
