DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q4,130.7,127.8,140.715326,,,,,,,,,,-2.20%,,,,,,,,,,
2018Q1,146.2,137.5,153.508187,,,,,,,,,,-6.00%,,,,,,,,,,
2018Q2,151.7,145.7,141.374782,,,,,,,,,,-4.00%,,,,,,,,,,
2018Q3,152.2,144.7,166.345471,,,,,,,,,,-4.90%,,,,,,,,,,
2018Q4,165.7,162.6,161.647089,,,,,,,,,,-1.90%,,,,,,,,,,
2019Q1,169.7,179.6,151.804223,148.6562034,184.0942355,181.5805925,148.667923,148.7409329,180.9100331,180.1668409,151.6603279,144.879045,5.80%,-10.50%,-12.40%,8.50%,7.00%,-12.40%,-12.40%,6.60%,6.20%,-10.60%,-14.60%
2019Q2,168.3,174.4,182.083457,172.6156544,170.4928786,177.5102058,172.2535713,169.3361014,177.3345638,174.1138713,109.6369026,113.6065501,3.60%,8.20%,2.60%,1.30%,5.50%,2.30%,0.60%,5.40%,3.50%,-34.90%,-32.50%
2019Q3,164,166.2,172.384239,164.1306743,164.016102,165.1464938,164.0597578,163.8615327,165.1271505,165.0381631,164.9186578,154.7407112,1.30%,5.10%,0.10%,0.00%,0.70%,0.00%,-0.10%,0.70%,0.60%,0.60%,-5.60%
2019Q4,177,180.4,185.006286,171.5277928,173.9276203,175.3825872,171.4254274,170.4553308,175.3428895,174.9762799,165.1071748,175.7966324,1.90%,4.50%,-3.10%,-1.70%,-0.90%,-3.10%,-3.70%,-0.90%,-1.10%,-6.70%,-0.70%
2020Q1,164,164.6,180.428435,170.576856,163.400047,165.1190571,170.5195009,170.5760562,165.1376609,164.7273173,170.0654503,166.6917681,0.40%,10.00%,4.00%,-0.40%,0.70%,4.00%,4.00%,0.70%,0.40%,3.70%,1.60%
2020Q3,163.2,161.6,164.753695,159.6885049,161.299246,161.2206158,159.6854815,159.6884545,161.2119409,161.1758068,161.385157,159.1231771,-1.00%,1.00%,-2.20%,-1.20%,-1.20%,-2.20%,-2.20%,-1.20%,-1.20%,-1.10%,-2.50%
2020Q4,179.6,176.9,163.759217,159.407873,172.5653124,171.4254704,159.4075804,159.4078676,171.3616967,171.31469,161.180346,160.2500377,-1.50%,-8.80%,-11.20%,-3.90%,-4.60%,-11.20%,-11.20%,-4.60%,-4.60%,-10.30%,-10.80%
2021Q1,186.1,177.5,178.976098,170.3103605,174.1965942,174.4942662,170.2723679,170.3096042,174.4707043,173.6536299,169.3419206,165.7102575,-4.60%,-3.80%,-8.50%,-6.40%,-6.20%,-8.50%,-8.50%,-6.20%,-6.70%,-9.00%,-11.00%
2021Q2,197.5,189.1,195.035276,183.8025784,185.378808,186.6807135,183.7242292,183.8010957,186.6569823,185.1474396,172.0245211,198.5497301,-4.30%,-1.20%,-6.90%,-6.10%,-5.50%,-7.00%,-6.90%,-5.50%,-6.30%,-12.90%,0.50%
2021Q3,194.9,194.9,189.5821051,183.5003551,193.2128142,193.5138372,183.4807746,183.4994502,193.4617492,192.4447985,183.9163987,184.0240206,0.00%,-2.70%,-5.80%,-0.90%,-0.70%,-5.90%,-5.80%,-0.70%,-1.30%,-5.60%,-5.60%
,,197.3235375,,,195.3198177,,,,,,,,-1.20%,,,-1.10%,,,,,,,
,,198.244576,,,195.1943739,,,,,,,,-1.70%,,,-1.00%,,,,,,,
,,201.6859235,,,187.1039076,,,,,,,,-3.40%,,,3.30%,,,,,,,
,,202.926081,,,190.7277119,,,,,,,,-4.00%,,,1.30%,,,,,,,
,,189.9289791,,,,,,,,,,,2.60%,,,,,,,,,,
,,191.2267184,,,,,,,,,,,1.90%,,,,,,,,,,
