DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,424,381.1,460.307603,,,,,,,,,,,,,,,,,,,,
2017Q3,412,382,402.878083,,,,,,,,,,,,,,,,,,,,
2017Q4,438,382,425.735366,,,,,,,,,,,,,,,,,,,,
2018Q1,426,381.7,387.264252,,,,,,,,,,,,,,,,,,,,
2018Q2,448,407,451.72029,,,,,,,,,,,,,,,,,,,,
2018Q3,435,384.5,440.135975,,,,,,,,,,,,,,,,,,,,
2018Q4,453,368.5,506.019635,,,,,,,,,,,,,,,,,,,,
2019Q1,452,390.7,475.497761,443.1101279,434.6790477,446.3211997,443.1000087,443.1098533,446.2660635,446.2467259,442.9742693,441.7188223,-13.6%,5.2%,-2.0%,-3.8%,-1.3%,-2.0%,-2.0%,-1.3%,-1.3%,-2.0%,-2.3%
2019Q2,473,388.7,482.832209,447.1791084,437.0654249,449.3369233,447.1684027,447.1788079,449.2989973,449.2852431,447.1884878,448.7432827,-17.8%,2.1%,-5.5%,-7.6%,-5.0%,-5.5%,-5.5%,-5.0%,-5.0%,-5.5%,-5.1%
2019Q3,482,388.9,473.415302,449.2924316,441.6814824,451.5042116,449.2846543,449.2922378,451.4699211,450.8463046,449.1666744,453.5510225,-19.3%,-1.8%,-6.8%,-8.4%,-6.3%,-6.8%,-6.8%,-6.3%,-6.5%,-6.8%,-5.9%
2019Q4,587,436.5,550.85038,486.6422319,473.6679816,520.4835172,486.6080438,486.6414208,520.05605,513.5252907,479.8483797,343.2074004,-25.6%,-6.2%,-17.1%,-19.3%,-11.3%,-17.1%,-17.1%,-11.4%,-12.5%,-18.3%,-41.5%
2020Q1,521,534.1,497.615933,489.4181257,774.8279501,685.8377386,489.4031981,489.4179317,685.8369357,685.831583,481.9912729,470.6185551,2.5%,-4.5%,-6.1%,48.7%,31.6%,-6.1%,-6.1%,31.6%,31.6%,-7.5%,-9.7%
2020Q2,378,365,389.006766,396.4273715,436.6413328,393.9809829,396.4563191,396.4277598,394.005037,394.2543634,423.8695246,420.1118624,-3.4%,2.9%,4.9%,15.5%,4.2%,4.9%,4.9%,4.2%,4.3%,12.1%,11.1%
2021Q1,581,518.6,576.942131,568.7679357,549.6251426,594.9626695,568.7678953,568.7673767,594.9274846,594.9620946,630.393693,670.6855277,-10.7%,-0.7%,-2.1%,-5.4%,2.4%,-2.1%,-2.1%,2.4%,2.4%,8.5%,15.4%
2021Q2,656,604.9,652.961361,647.3555763,638.1910696,676.8594012,647.3555324,647.3549397,676.8291925,676.8589358,738.1749652,686.9584637,-7.8%,-0.5%,-1.3%,-2.7%,3.2%,-1.3%,-1.3%,3.2%,3.2%,12.5%,4.7%
2021Q3,622.5,622.5,611.8586289,610.6316427,663.8930531,640.8899502,610.6316247,610.6313714,640.8868872,640.8892959,615.7948863,628.0491667,0.0%,-1.7%,-1.9%,6.6%,3.0%,-1.9%,-1.9%,3.0%,3.0%,-1.1%,0.9%
,,,,623.7640384,,,,,,,,,,,-2.1%,,,,,,,,
