DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,421,426.1,435.5411104,,,,,,,,,,,,,,,,,,,,
2017Q3,410,448.7,407.1159874,,,,,,,,,,,,,,,,,,,,
2017Q4,450,474.8,445.3955762,,,,,,,,,,,,,,,,,,,,
2018Q1,428,461.1,410.891953,,,,,,,,,,,,,,,,,,,,
2018Q2,458,438.7,456.126791,,,,,,,,,,,,,,,,,,,,
2018Q3,461,449.2,463.71849,,,,,,,,,,,,,,,,,,,,
2018Q4,498,494.8,506.9072442,,,,,,,,,,,,,,,,,,,,
2019Q1,484,479.2,486.052969,479.6658998,466.1219787,482.1293357,479.6658524,479.6655033,482.0870458,482.0969225,479.53864,488.4996447,-0.99%,0.42%,-0.90%,-3.69%,-0.39%,-0.90%,-0.90%,-0.40%,-0.39%,-0.92%,0.93%
2019Q2,518,509.1,521.524434,511.1664936,498.7167312,517.4714277,511.0948559,511.165822,517.4101538,517.4709325,515.1642485,496.0611641,-1.72%,0.68%,-1.32%,-3.72%,-0.10%,-1.33%,-1.32%,-0.11%,-0.10%,-0.55%,-4.24%
2019Q3,534,518.7,504.9655762,499.2942068,517.8732418,508.0574576,499.2622937,499.2938831,508.0414899,507.2097657,499.7957245,501.3126477,-2.87%,-5.44%,-6.50%,-3.02%,-4.86%,-6.51%,-6.50%,-4.86%,-5.02%,-6.41%,-6.12%
2019Q4,548,561,534.3168306,535.7502912,574.2090337,558.7991868,535.7026972,535.749808,558.7580373,557.7231666,543.2466795,519.2309304,2.37%,-2.50%,-2.24%,4.78%,1.97%,-2.24%,-2.24%,1.96%,1.77%,-0.87%,-5.25%
2020Q1,493,495.2,491.3099192,495.298026,491.4077433,495.678398,495.2867057,495.2979046,495.6706578,495.5528942,492.0138443,494.1746233,0.45%,-0.34%,0.47%,-0.32%,0.54%,0.46%,0.47%,0.54%,0.52%,-0.20%,0.24%
2020Q2,352,280.5,393.8860842,395.1601513,265.3470833,339.9507922,395.2011328,395.1606316,339.9372349,339.9556993,405.3648899,412.6934601,-20.31%,11.90%,12.26%,-24.62%,-3.42%,12.27%,12.26%,-3.43%,-3.42%,15.16%,17.24%
2020Q3,521,473.3,526.9696666,535.8569516,472.4721905,515.4262818,535.8569238,535.8566363,515.3898813,515.4269783,532.4935064,535.7788601,-9.16%,1.15%,2.85%,-9.31%,-1.07%,2.85%,2.85%,-1.08%,-1.07%,2.21%,2.84%
2020Q4,553,561.9,533.0626346,539.952296,543.3430151,550.1008651,539.9522715,539.9519889,550.0907041,550.100718,534.7159613,541.1237424,1.61%,-3.61%,-2.36%,-1.75%,-0.52%,-2.36%,-2.36%,-0.53%,-0.52%,-3.31%,-2.15%
2021Q1,537,517.7,530.2461386,538.9874098,511.0453617,534.2440051,538.9873901,538.9871508,534.2268944,534.2442779,536.8449419,540.0639049,-3.59%,-1.26%,0.37%,-4.83%,-0.51%,0.37%,0.37%,-0.52%,-0.51%,-0.03%,0.57%
2021Q2,601,577,581.6740886,597.3621224,560.3882843,594.6363269,597.3620886,597.3616509,594.6109216,594.6368892,584.4641589,679.6337776,-3.99%,-3.22%,-0.61%,-6.76%,-1.06%,-0.61%,-0.61%,-1.06%,-1.06%,-2.75%,13.08%
2021Q3,596.3,596.3,580.8522698,597.3970102,584.2312582,601.8363933,597.3969855,597.3966471,601.8363786,601.8365582,595.5321127,602.9078915,0.00%,-2.59%,0.18%,-2.02%,0.93%,0.18%,0.18%,0.93%,0.93%,-0.13%,1.11%
,,,,,,604.9410759,,,,,,,,,,,,,,,,,
