DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q4,113.3,108.7,105.92,,,,,,,,,,,,,,,,,,,,
2018Q1,106.3,100.5,110.77,,,,,,,,,,,,,,,,,,,,
2018Q2,109.7,105.1,114.6,,,,,,,,,,,,,,,,,,,,
2018Q3,107.5,102.2,101.19,,,,,,,,,,,,,,,,,,,,
2018Q4,125.2,117.1,119.8,,,,,,,,,,,,,,,,,,,,
2019Q1,117.026,109.1,118.67,118.1540428,115.1327563,115.5802753,117.8939459,116.2096886,115.5804879,115.5792605,120.6469616,119.3281619,7.3%,-1.4%,-1.0%,1.6%,1.3%,-0.7%,0.7%,1.3%,1.3%,-3.0%,-1.9%
2019Q2,129,121.8,121.51,119.6756713,130.3401755,130.1486748,119.4412755,117.6817048,130.1477113,130.1437793,125.9396501,136.9988196,5.9%,6.2%,7.8%,-1.0%,-0.9%,8.0%,9.6%,-0.9%,-0.9%,2.4%,-5.8%
2019Q3,128.2,121.6,137.45,137.1109722,129.3392378,131.2002093,136.5054018,135.1047988,131.3403885,131.1634556,200.8266753,412.6070077,5.4%,-6.7%,-6.5%,-0.9%,-2.3%,-6.1%,-5.1%,-2.4%,-2.3%,-36.2%,-68.9%
2019Q4,142.5,142,149.8,139.6809883,151.326646,151.3469253,139.4214157,139.5470285,151.3462796,151.3419993,134.7963046,59.72499883,0.4%,-4.9%,2.0%,-5.8%,-5.8%,2.2%,2.1%,-5.8%,-5.8%,5.7%,138.6%
2020Q4,141.6,144.9,148.38,140.3182843,148.0219177,147.936766,140.3181745,140.3169118,147.6251891,146.6503919,140.3786815,140.3199527,-2.3%,-4.6%,0.9%,-4.3%,-4.3%,0.9%,0.9%,-4.1%,-3.4%,0.9%,0.9%
2021Q2,143,134.3,138.44,133.4864256,136.282105,136.1773855,133.4527767,133.4858219,136.087435,135.4768982,133.3853395,133.7391556,6.5%,3.3%,7.1%,4.9%,5.0%,7.2%,7.1%,5.1%,5.6%,7.2%,6.9%
2021Q3,141.3,141.3,133.3831089,131.0858795,143.7027108,143.1754736,131.0605754,131.0855214,142.7930035,142.5449447,131.4716395,133.7773707,0.0%,5.9%,7.8%,-1.7%,-1.3%,7.8%,7.8%,-1.0%,-0.9%,7.5%,5.6%
