DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,52.9,51.9,53.305367,,,,,,,,,,,,,,,,,,,,
2017Q3,49.7,53.3,49.877791,,,,,,,,,,,,,,,,,,,,
2017Q4,52.6,54,51.862489,,,,,,,,,,,,,,,,,,,,
2018Q1,54.7,55.2,55.498578,,,,,,,,,,,,,,,,,,,,
2018Q2,57.7,35.5,54.298037,,,,,,,,,,,,,,,,,,,,
2018Q3,54.9,33.8,57.529834,,,,,,,,,,,,,,,,,,,,
2018Q4,58.6,54.5,56.788315,,,,,,,,,,,,,,,,,,,,
2019Q1,60.9,57.2,62.29604084,61.60350317,53.42892798,61.35771787,60.97822462,60.23261742,59.68577447,54.44285714,52.0587611,26.71357007,6.5%,-2.2%,-1.1%,14.0%,-0.7%,-0.1%,1.1%,2.0%,11.9%,0.169831911,1.279740216
2019Q2,65.7,60.9,63.66569955,62.30667632,55.05214033,62.10115604,62.19863404,62.30003936,61.47715935,62.0348029,61.09122945,63.40903456,7.9%,3.2%,5.4%,19.3%,5.8%,5.6%,5.5%,6.9%,5.9%,0.075440789,0.036129953
2019Q3,61.5,58.3,60.79759984,61.01735242,57.43173283,61.09741526,61.01707534,60.81748766,60.87458851,61.09456407,60.96209838,58.88842556,5.5%,1.2%,0.8%,7.1%,0.7%,0.8%,1.1%,1.0%,0.7%,0.008823542,0.044347839
2019Q4,66,65.9,65.21682646,65.51596943,59.38190669,65.67602953,65.51550702,65.16798198,65.31822712,65.6709336,65.95995861,69.79297483,0.2%,1.2%,0.7%,11.1%,0.5%,0.7%,1.3%,1.0%,0.5%,0.000607056,-0.054346083
2021Q1,59.6,60.1,60.09919071,60.50024015,59.65899906,60.59946439,60.50013149,60.49905858,60.55205221,60.59823261,60.33265436,59.72900676,-0.8%,-0.8%,-1.5%,-0.1%,-1.6%,-1.5%,-1.5%,-1.6%,-1.6%,-0.012143579,-0.002159868
2021Q2,67.3,65.1,65.44697036,65.76743485,60.95524247,65.82954998,65.76713263,65.76381886,65.59392775,65.82596502,66.22521475,67.20873658,3.4%,2.8%,2.3%,10.4%,2.2%,2.3%,2.3%,2.6%,2.2%,0.016229245,0.00135791
2021Q3,60.7,60.7,60.92232983,61.44220183,60.68409759,61.5161167,61.44211293,61.36982871,61.47810739,61.48267268,61.15841812,60.51357637,0.0%,-0.4%,-1.2%,0.0%,-1.3%,-1.2%,-1.1%,-1.3%,-1.3%,-0.007495585,0.003080691
,,,,,,,,,,,,,,,,,0.6%,0.8%,,,,,
,,,,,,61.87051364,61.91244219,,,,,,,,,,,,,,,,
