DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2018Q1,337.6,322.1,337.617763,,,,,,,,,,,,,,,,,,,,
2018Q2,360.3,347.5,340.533852,,,,,,,,,,,,,,,,,,,,
2018Q3,368.1,363.6,367.111166,,,,,,,,,,,,,,,,,,,,
2018Q4,419.2,409.3,393.711618,,,,,,,,,,,,,,,,,,,,
2019Q1,407.4,390.9,389.418306,,,,,,,,,,,,,,,,,,,,
2019Q2,428.6,427.1,393.123795,,,,,,,,,,,,,,,,,,,,
2019Q3,450,432,460.920072,508.5842318,437.5225779,451.7096395,508.227524,507.1933499,451.9977586,451.7257268,698.2136439,2700.237451,4.2%,-2.4%,-11.5%,2.9%,-0.4%,-11.5%,-11.3%,-0.4%,-0.4%,-0.355498129,-0.83334799
2019Q4,503.7,497.7,510.993393,511.7353852,505.9493122,512.3679442,511.6246884,510.8798381,512.3380339,511.9508058,441.0742666,124.1785579,1.2%,-1.4%,-1.6%,-0.4%,-1.7%,-1.5%,-1.4%,-1.7%,-1.6%,0.141984555,3.056255835
2020Q1,444.4,451.8,458.799858,461.2477662,460.4375249,461.5861848,461.226818,461.0551168,461.580481,461.4937347,466.8888254,453.4225423,-1.6%,-3.1%,-3.7%,-3.5%,-3.7%,-3.6%,-3.6%,-3.7%,-3.7%,-0.04816741,-0.019898751
2020Q2,315.6,243.7,330.689202,350.2919312,263.255071,277.3706864,350.2919537,350.5340502,277.6249581,278.0237603,341.6300223,327.664939,29.5%,-4.6%,-9.9%,19.9%,13.8%,-9.9%,-10.0%,13.7%,13.5%,-0.076193603,-0.036820964
2020Q3,467,420,449.267549,449.8457388,427.7535763,438.8014923,449.8316977,449.6912871,438.7962245,438.8021772,456.9677702,443.2530042,11.2%,3.9%,3.8%,9.2%,6.4%,3.8%,3.8%,6.4%,6.4%,0.021953911,0.05357436
2020Q4,557.9,520.8,559.730793,555.3850916,512.1397522,541.0844395,555.3437897,554.897417,541.0583057,540.8227193,499.6403525,598.2928927,7.1%,-0.3%,0.5%,8.9%,3.1%,0.5%,0.5%,3.1%,3.2%,0.116603167,-0.067513576
2021Q1,500.8,437.5,500.606266,501.0268798,452.7216692,483.5272599,501.0268661,500.8516073,483.5114293,483.51754,502.0875603,486.0389571,14.5%,0.0%,0.0%,10.6%,3.6%,0.0%,0.0%,3.6%,3.6%,-0.002564414,0.030370082
2021Q2,577.5,489.7,561.012467,557.6393351,504.4266756,544.4192401,557.6393153,557.3603632,544.3969453,544.1984104,547.3498652,562.9462126,17.9%,2.9%,3.6%,14.5%,6.1%,3.6%,3.6%,6.1%,6.1%,0.055083844,0.025852892
2021Q3,546.2504182,544.6,499.6098231,503.5583785,570.0594639,523.0658288,503.5583706,503.444149,523.0818453,522.8041164,504.4762362,489.8594815,0.3%,9.3%,8.5%,-4.2%,4.4%,8.5%,8.5%,4.4%,4.5%,0.082807036,0.115116556
