DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2018Q4,14.3,13.9,14.20977633,,,,,,,,,,-2.8%,,,,,,,,,,
2019Q1,13.5,13.6,12.241336,,,,,,,,,,0.7%,,,,,,,,,,
2019Q2,15,14.6,13.400415,,,,,,,,,,-2.7%,,,,,,,,,,
2019Q3,14.9,14.9,11.29006533,,,,,,,,,,0.0%,,,,,,,,,,
2019Q4,18.3,18.1,15.69551933,,,,,,,,,,-1.1%,,,,,,,,,,
2020Q1,15.3,16.1,15.79871767,17.0658768,16.2918443,16.51251498,16.20705051,17.05549922,16.52361004,16.44871934,18.49641412,18.55627236,5.2%,3.3%,11.5%,6.5%,7.9%,5.9%,11.5%,8.0%,7.5%,20.9%,21.3%
2020Q2,13,13.2,15.4969078,16.1692069,13.32298851,13.14287034,15.81187238,16.16298964,13.1470386,13.41781609,16.3214458,16.49498158,1.5%,19.2%,24.4%,2.5%,1.1%,21.6%,24.3%,1.1%,3.2%,25.5%,26.9%
2020Q3,18.9,16.8,17.370581,15.93340989,16.74565217,16.5516298,15.57959627,15.75000879,16.55132582,16.62521518,18.32946916,20.44739744,-11.1%,-8.1%,-15.7%,-11.4%,-12.4%,-17.6%,-16.7%,-12.4%,-12.0%,-3.0%,8.2%
2020Q4,20.6,20.8,18.20015733,17.68800423,21.91158358,21.94177727,17.10203911,16.74412831,21.78806979,20.35093496,20.85174711,21.38518895,1.0%,-11.6%,-14.1%,6.4%,6.5%,-17.0%,-18.7%,5.8%,-1.2%,1.2%,3.8%
2021Q1,18.8,17.4,18.76652533,19.27145426,17.62856753,18.0040349,18.77803691,17.11402542,18.07672799,17.50181346,22.22974662,22.36900934,-7.4%,-0.2%,2.5%,-6.2%,-4.2%,-0.1%,-9.0%,-3.8%,-6.9%,18.2%,19.0%
2021Q2,20.2,20.3,22.16137667,21.87637887,20.84241075,21.59207939,21.1758062,19.09128829,21.49452864,20.58833521,28.69020588,16.28790913,0.5%,9.7%,8.3%,3.2%,6.9%,4.8%,-5.5%,6.4%,1.9%,42.0%,-19.4%
2021Q3,21,21,22.97297617,21.62645351,21.34632437,21.63319266,21.16665911,21.61855356,21.62444859,21.59394032,21.7436479,18.73882883,0.0%,9.4%,3.0%,1.6%,3.0%,0.8%,2.9%,3.0%,2.8%,3.5%,-10.8%
,,21.28631516,,,,,,,,,,,-1.3%,,,,,,,,,,
,,21.09646243,,,,,,,,,,,-0.5%,,,,,,,,,,
,,,,,,,,,,,,,0.0%,,,,,,,,,,
,,21.76185953,,,,,,,,,,,-3.5%,,,,,,,,,,
,,21.58981979,,,,,,,,,,,-2.7%,,,,,,,,,,
