DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2019Q3,17,15.9,16.555177,,,,,,,,,,-6.47%,,,,,,,,,,
2019Q4,18.6,17.9,20.95882,,,,,,,,,,-3.76%,,,,,,,,,,
2020Q1,18.9,17.5,20.977809,,,,,,,,,,-7.41%,,,,,,,,,,
2020Q2,15.1,9.3,13.935155,,,,,,,,,,-38.41%,,,,,,,,,,
2020Q3,20.1,20.6,20.327735,,,,,,,,,,2.49%,,,,,,,,,,
2020Q4,21.1,21.4,21.447908,19.58158801,20.22725039,20.1247323,19.58117908,19.57797881,19.95333532,20.11695513,19.17561317,17.14360983,1.42%,1.65%,-7.20%,-4.14%,-4.62%,-7.20%,-7.21%,-5.43%,-4.66%,-9.12%,-18.75%
2021Q1,22.1,21.3,23.166477,21.1299502,20.49638315,20.72505395,21.12938518,21.12468859,20.6182774,20.63152196,20.98345824,23.00274284,-3.62%,4.83%,-4.39%,-7.26%,-6.22%,-4.39%,-4.41%,-6.70%,-6.64%,-5.05%,4.08%
2021Q2,26.5,25.4,24.808459,22.61510526,23.11490467,23.08307664,22.56927097,22.60922986,22.85691162,23.07833756,23.59608127,25.0287777,-4.15%,-6.38%,-14.66%,-12.77%,-12.89%,-14.83%,-14.68%,-13.75%,-12.91%,-10.96%,-5.55%
2021Q3,26.2,26.2,27.3665028,26.35749554,25.0360056,25.580351,25.85607384,25.95155303,25.39637343,24.35733473,31.30783004,36.35406969,0.00%,4.45%,0.60%,-4.44%,-2.37%,-1.31%,-0.95%,-3.07%,-7.03%,19.50%,38.76%
,1.031691996,27.03033028,,,,,,,,,,,-3.07%,,,,,,,,,,
,,27.22458101,,,,,,,,,,,-3.76%,,,,,,,,,,
