DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,203,203.8,209.084022,,,,,,,,,,0.4%,,,,,,,,,,
2017Q3,194,201.3,197.573532,,,,,,,,,,3.8%,,,,,,,,,,
2017Q4,219,226.9,203.544789,,,,,,,,,,3.6%,,,,,,,,,,
2018Q1,205,211,194.277516,,,,,,,,,,2.9%,,,,,,,,,,
2018Q2,207,210.8,208.819904,,,,,,,,,,1.8%,,,,,,,,,,
2018Q3,198,204.5,195.172466,,,,,,,,,,3.3%,,,,,,,,,,
2018Q4,228,228.9,214.719985,,,,,,,,,,0.4%,,,,,,,,,,
2019Q1,213,215.1,221.854961,226.7776328,210.4500214,216.9710393,226.2825176,226.7741685,216.9186821,216.9682585,246.0365841,285.6017202,1.0%,4.2%,6.5%,-1.2%,1.9%,6.2%,6.5%,1.8%,1.9%,15.5%,34.1%
2019Q2,219,214.7,225.289266,222.0809756,210.3696946,215.2603726,221.8812245,222.0786473,215.2806412,215.0046133,216.4923886,203.311986,-2.0%,2.9%,1.4%,-3.9%,-1.7%,1.3%,1.4%,-1.7%,-1.8%,-1.1%,-7.2%
2019Q3,211,208.2,213.766413,213.390389,204.4561032,207.1718378,213.353158,213.3898634,207.2364936,207.1719897,215.1187121,216.9186886,-1.3%,1.3%,1.1%,-3.1%,-1.8%,1.1%,1.1%,-1.8%,-1.8%,2.0%,2.8%
2019Q4,239,241.3,244.405024,232.4555364,239.2279252,247.9108236,232.241249,232.4521111,247.5907458,247.9058235,215.6263365,171.7529929,1.0%,2.3%,-2.7%,0.1%,3.7%,-2.8%,-2.7%,3.6%,3.7%,-9.8%,-28.1%
2020Q1,201,210.8,208.547909,210.0807563,207.9314859,208.0581891,210.0807665,210.080911,208.0817968,208.0585175,209.6223595,211.2366852,4.9%,3.8%,4.5%,3.4%,3.5%,4.5%,4.5%,3.5%,3.5%,4.3%,5.1%
2020Q2,140,114.7,147.348876,164.0069759,107.3486036,112.4982877,164.0071877,164.0104119,113.0784408,113.4286708,186.2473766,103.8482618,-18.1%,5.2%,17.1%,-23.3%,-19.6%,17.1%,17.2%,-19.2%,-19.0%,33.0%,-25.8%
2020Q4,213,248.5,228.218092,227.1165563,237.4211953,235.4647952,227.1165211,226.8771049,235.4428159,235.173283,224.8325349,222.4151239,16.7%,7.1%,6.6%,11.5%,10.5%,6.6%,6.5%,10.5%,10.4%,5.6%,4.4%
2021Q1,186.3,201.2,193.643748,193.014741,200.3800483,196.7650582,193.0147617,193.2969434,196.7650714,197.2030502,196.0865003,200.4488253,8.0%,3.9%,3.6%,7.6%,5.6%,3.6%,3.8%,5.6%,5.9%,5.3%,7.6%
2021Q2,221,221.4,182.436614,181.7939443,213.3807806,197.7786736,181.7939793,181.7944995,197.8313293,198.899004,183.4649885,187.7188897,0.2%,-17.4%,-17.7%,-3.4%,-10.5%,-17.7%,-17.7%,-10.5%,-10.0%,-17.0%,-15.1%
2021Q3,228,228,183.9936566,188.4166286,218.5572966,212.7780444,188.416653,188.4171056,212.7426614,213.3987158,190.5649818,200.7893617,0.0%,-19.3%,-17.4%,-4.1%,-6.7%,-17.4%,-17.4%,-6.7%,-6.4%,-16.4%,-11.9%
,,224.4988861,181.325532,184.2351232,,,,,,,,,1.6%,1.5%,2.3%,,,,,,,,
,,225.7740586,177.3344319,181.8618502,,,,,,,,,1.0%,3.8%,3.6%,,,,,,,,
,,,222.8861697,209.909897,,,,,,,,,,-17.4%,-10.2%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
