DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,282,279.8,295.485783,,,,,,,,,,,,,,,,,,,,
2017Q3,270,273.1,282.11059,,,,,,,,,,,,,,,,,,,,
2017Q4,331,324.4,318.131987,,,,,,,,,,,,,,,,,,,,
2018Q1,301,302.9,272.223014,,,,,,,,,,,,,,,,,,,,
2018Q2,304,304.7,293.433847,,,,,,,,,,,,,,,,,,,,
2018Q3,291,286.3,285.276206,,,,,,,,,,,,,,,,,,,,
2018Q4,348,352.7,301.629611,,,,,,,,,,,,,,,,,,,,
2019Q1,320,320,272.780806,280.8002323,319.9729913,314.3915502,280.9732481,281.8498343,314.3485822,315.4687797,287.4431132,298.8300549,0.0%,-14.8%,-12.2%,0.0%,-1.8%,-12.2%,-11.9%,-1.8%,-1.4%,-10.2%,-6.6%
2019Q2,324,321.6,313.671511,323.6261575,321.5323339,324.4275484,323.5203159,322.4966796,324.4053037,323.2924432,330.4725248,348.1474733,-0.7%,-3.2%,-0.1%,-0.8%,0.1%,-0.1%,-0.5%,0.1%,-0.2%,2.0%,7.5%
2019Q3,318,308,317.742294,326.8283229,308.5957017,312.0876731,326.7410482,326.8272805,312.1029537,311.9071197,337.6839864,325.7908184,-3.1%,-0.1%,2.8%,-3.0%,-1.9%,2.7%,2.8%,-1.9%,-1.9%,6.2%,2.4%
2019Q4,385,371.1,401.426058,381.6086241,371.3660413,388.8284902,381.3425693,381.6047206,388.7366283,388.824948,692.6448822,-6306.792181,-3.6%,4.3%,-0.9%,-3.5%,1.0%,-0.9%,-0.9%,1.0%,1.0%,79.9%,-1738.1%
2020Q1,322,317.1,324.935253,330.0429589,320.0478589,322.8747862,330.042948,329.9126253,322.8867274,322.8197818,328.2119469,344.6367989,-1.5%,0.9%,2.5%,-0.6%,0.3%,2.5%,2.5%,0.3%,0.3%,1.9%,7.0%
2021Q1,294,314.8,290.969217,305.42876,317.7515811,314.9369305,305.4287682,305.5235135,314.9197276,314.9522822,305.4500941,299.6129416,7.1%,-1.0%,3.9%,8.1%,7.1%,3.9%,3.9%,7.1%,7.1%,3.9%,1.9%
2021Q2,349,325.1,353.668058,348.9591433,326.9114674,335.135767,348.959118,348.4966277,335.1543946,335.0121758,346.9050754,376.7554355,-6.8%,1.3%,0.0%,-6.3%,-4.0%,0.0%,-0.1%,-4.0%,-4.0%,-0.6%,8.0%
2021Q3,349,349,347.79,344.7867942,354.9065495,356.935591,344.7867766,344.4402491,356.9074521,356.9352306,342.996698,350.6521452,0.0%,-0.3%,-1.2%,1.7%,2.3%,-1.2%,-1.3%,2.3%,2.3%,-1.7%,0.5%
,,,,,,360.0864807,,,,356.5194528,,,,,,-0.9%,,,,,0.1%,,
,,,,,,359.6749668,,,,357.7164179,,,,,,-0.8%,,,,,-0.2%,,
,,,,,,340.3094493,,,,347.6796377,,,,,,4.9%,,,,,2.7%,,
,,,,,,,,,,351.1980625,,,,,,,,,,,1.6%,,
