DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,364,347.9,398.7209163,,,,,,,,,,,,,,,,,,,,
2017Q3,361,342,404.1195873,,,,,,,,,,,,,,,,,,,,
2017Q4,419,364.1,388.04246,,,,,,,,,,,,,,,,,,,,
2018Q1,394,328.3,390.5824625,,,,,,,,,,,,,,,,,,,,
2018Q2,424,383.5,421.3357003,,,,,,,,,,,,,,,,,,,,
2018Q3,426,395.8,425.9753278,,,,,,,,,,,,,,,,,,,,
2018Q4,478,444.2,478.4365813,,,,,,,,,,,,,,,,,,,,
2019Q1,492,469.9,495.1471903,490.8707834,499.7216212,495.9549779,490.8706451,489.9230431,495.9608933,496.4272098,514.6880302,208.2814821,4.70%,-0.64%,0.23%,-1.55%,-0.80%,0.23%,0.42%,-0.80%,-0.89%,-4.41%,136.22%
2019Q2,519,524.1,545.1014655,542.7985296,543.6739387,537.8841183,542.6914216,541.9635154,537.9910443,539.2715874,591.1714676,179.8938957,-0.97%,-4.79%,-4.38%,-4.54%,-3.51%,-4.37%,-4.24%,-3.53%,-3.76%,-12.21%,188.50%
2019Q3,509,526.1,489.7801188,477.9822249,531.6834425,563.5213934,477.962767,477.9820347,562.5019761,553.4239539,480.8552644,492.3424043,-3.25%,3.92%,6.49%,-4.27%,-9.68%,6.49%,6.49%,-9.51%,-8.03%,5.85%,3.38%
2019Q4,568,559.5,526.3376355,519.2459465,548.4729855,546.8453647,519.2156501,519.2456358,546.7944955,546.7671737,515.4279012,524.611318,1.52%,7.92%,9.39%,3.56%,3.87%,9.40%,9.39%,3.88%,3.88%,10.20%,8.27%
2020Q1,497,521.4,502.0270505,505.6189488,525.3625386,525.5291241,505.6021179,505.6187784,525.4954318,525.2104619,507.1654288,521.9013787,-4.68%,-1.00%,-1.70%,-5.40%,-5.43%,-1.70%,-1.70%,-5.42%,-5.37%,-2.00%,-4.77%
2020Q3,542,471.8,509.7415969,512.6734654,482.8117838,485.2412302,512.6568664,512.6732801,485.2748961,484.7763646,513.0975368,523.7653172,14.88%,6.33%,5.72%,12.26%,11.70%,5.72%,5.72%,11.69%,11.80%,5.63%,3.48%
2020Q4,568,578.8,549.9647328,561.7315614,571.7388729,570.1910763,561.7049963,561.7312513,570.1843755,569.9929748,555.9786197,528.3041628,-1.87%,3.28%,1.12%,-0.65%,-0.38%,1.12%,1.12%,-0.38%,-0.35%,2.16%,7.51%
2021Q1,528,525.9,518.156396,527.3075808,529.8135684,530.020248,527.294688,527.3074204,530.0163526,529.9016833,527.4710685,536.5403145,0.40%,1.90%,0.13%,-0.34%,-0.38%,0.13%,0.13%,-0.38%,-0.36%,0.10%,-1.59%
2021Q2,588,556.6,563.1385443,578.1057347,553.3461083,565.724462,578.08377,578.1054422,565.7069984,565.2397294,575.3088106,543.9715803,5.64%,4.41%,1.71%,6.26%,3.94%,1.72%,1.71%,3.94%,4.03%,2.21%,8.09%
