DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,364,347.9,398.7209163,,,,,,,,,,-4.4%,,,,,,,,,,
2017Q3,361,342,404.1195873,,,,,,,,,,-5.3%,,,,,,,,,,
2017Q4,419,364.1,388.04246,,,,,,,,,,-13.1%,,,,,,,,,,
2018Q1,394,328.3,390.5824625,,,,,,,,,,-16.7%,,,,,,,,,,
2018Q2,424,383.5,421.3357003,,,,,,,,,,-9.6%,,,,,,,,,,
2018Q3,426,395.8,425.9753278,,,,,,,,,,-7.1%,,,,,,,,,,
2018Q4,478,444.2,478.4365813,,,,,,,,,,-7.1%,,,,,,,,,,
2019Q1,492,469.9,495.1471903,490.8707834,499.7216212,495.9549779,490.8706451,489.9230431,495.9608933,496.4272098,514.6880302,208.2814821,-4.5%,0.6%,-0.2%,1.6%,0.8%,-0.2%,-0.4%,0.8%,0.9%,4.6%,-57.7%
2019Q2,519,524.1,545.1014655,542.7985296,543.6739387,537.8841183,542.6914216,541.9635154,537.9910443,539.2715874,591.1714676,179.8938957,1.0%,5.0%,4.6%,4.8%,3.6%,4.6%,4.4%,3.7%,3.9%,13.9%,-65.3%
2019Q3,509,526.1,489.7801188,477.9822249,531.6834425,563.5213934,477.962767,477.9820347,562.5019761,553.4239539,480.8552644,492.3424043,3.4%,-3.8%,-6.1%,4.5%,10.7%,-6.1%,-6.1%,10.5%,8.7%,-5.5%,-3.3%
2019Q4,568,559.5,526.3376355,519.2459465,548.4729855,546.8453647,519.2156501,519.2456358,546.7944955,546.7671737,515.4279012,524.611318,-1.5%,-7.3%,-8.6%,-3.4%,-3.7%,-8.6%,-8.6%,-3.7%,-3.7%,-9.3%,-7.6%
2020Q1,497,521.4,502.0270505,505.6189488,525.3625386,525.5291241,505.6021179,505.6187784,525.4954318,525.2104619,507.1654288,521.9013787,4.9%,1.0%,1.7%,5.7%,5.7%,1.7%,1.7%,5.7%,5.7%,2.0%,5.0%
2020Q3,542,471.8,509.7415969,512.6734654,482.8117838,485.2412302,512.6568664,512.6732801,485.2748961,484.7763646,513.0975368,523.7653172,-13.0%,-6.0%,-5.4%,-10.9%,-10.5%,-5.4%,-5.4%,-10.5%,-10.6%,-5.3%,-3.4%
2020Q4,568,578.8,549.9647328,561.7315614,571.7388729,570.1910763,561.7049963,561.7312513,570.1843755,569.9929748,555.9786197,528.3041628,1.9%,-3.2%,-1.1%,0.7%,0.4%,-1.1%,-1.1%,0.4%,0.4%,-2.1%,-7.0%
2021Q1,528,525.9,518.156396,527.3075808,529.8135684,530.020248,527.294688,527.3074204,530.0163526,529.9016833,527.4710685,536.5403145,-0.4%,-1.9%,-0.1%,0.3%,0.4%,-0.1%,-0.1%,0.4%,0.4%,-0.1%,1.6%
2021Q2,588,556.6,563.1385443,578.1057347,553.3461083,565.724462,578.08377,578.1054422,565.7069984,565.2397294,575.3088106,543.9715803,-5.3%,-4.2%,-1.7%,-5.9%,-3.8%,-1.7%,-1.7%,-3.8%,-3.9%,-2.2%,-7.5%
2021Q3,591.3,591.3,591.3,612.2668009,586.3189628,602.0935106,612.243254,612.2664709,602.0687651,601.6098705,614.4885482,569.7595036,0.0%,0.0%,3.5%,-0.8%,1.8%,3.5%,3.5%,1.8%,1.7%,3.9%,-3.6%
,,621.0732397,603.1519424,620.56345,,,,,,,,,-4.8%,-2.0%,-1.3%,,,,,,,,
,,621.6195815,606.5845415,616.3752934,,,,,,,,,-4.9%,-2.5%,-0.7%,,,,,,,,
,,575.2602309,578.4198699,593.5128242,,,,,,,,,2.8%,2.2%,3.2%,,,,,,,,
,,576.1446955,585.3790144,593.5128242,,,,,,,,,2.6%,1.0%,3.2%,,,,,,,,
