DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,228,228,203.428745,,,,,,,,,,,,,,,,,,,,
2017Q3,237,242.3,228.285539,,,,,,,,,,,,,,,,,,,,
2017Q4,257,254.4,247.008679,,,,,,,,,,,,,,,,,,,,
2018Q1,245,251,228.581112,,,,,,,,,,,,,,,,,,,,
2018Q2,242,258.2,239.598366,,,,,,,,,,,,,,,,,,,,
2018Q3,242,259.6,223.715611,,,,,,,,,,,,,,,,,,,,
2018Q4,272,270.6,268.66537,,,,,,,,,,,,,,,,,,,,
2019Q1,254,267.3,266.382822,267.6153587,259.4625778,267.3808161,267.615273,266.8926604,267.275143,266.7162609,269.8450246,269.7947791,-4.98%,-4.65%,-5.09%,-2.11%,-5.00%,-5.09%,-4.83%,-4.97%,-4.77%,-5.87%,-5.85%
2019Q2,252,261.6,256.094073,257.0411948,253.389167,256.7088249,257.0122427,256.6222048,256.6786622,256.5316165,256.9180815,255.5840493,-3.67%,-1.60%,-1.96%,-0.55%,-1.83%,-1.95%,-1.80%,-1.82%,-1.77%,-1.91%,-1.40%
2019Q3,262,265.5,258.874794,257.6176827,256.3440505,257.751171,257.5908582,257.5062434,257.7303894,257.2022064,257.6166866,256.0241422,-1.32%,1.21%,1.70%,2.21%,1.65%,1.71%,1.75%,1.66%,1.87%,1.70%,2.33%
2019Q4,283,290.5,297.440058,279.6182672,278.4203389,280.5548811,279.5424268,279.6168863,280.5002279,278.5347685,283.5328132,304.2018316,-2.58%,-4.85%,1.21%,1.64%,0.87%,1.24%,1.21%,0.89%,1.60%,-0.19%,-6.97%
2020Q1,260,260,272.825051,267.0045725,253.0841194,264.0625955,267.0045507,266.5886757,264.0267464,264.6327533,266.8912123,266.6820908,0.00%,-4.70%,-2.62%,2.73%,-1.54%,-2.62%,-2.47%,-1.53%,-1.75%,-2.58%,-2.51%
2020Q2,208,170.2,210.55343,231.4062647,172.4146789,210.209606,231.4062936,232.0326324,210.371533,216.8918948,232.5387132,232.3525542,22.21%,-1.21%,-10.11%,20.64%,-1.05%,-10.11%,-10.36%,-1.13%,-4.10%,-10.55%,-10.48%
2020Q3,285,252.1,269.1678885,264.2476145,249.2956393,257.9302137,264.2307343,263.9090921,257.9302055,257.9310788,264.5118637,263.3903031,13.05%,5.88%,7.85%,14.32%,10.50%,7.86%,7.99%,10.50%,10.49%,7.75%,8.20%
2020Q4,386,366,393.64087,353.4459195,321.1305019,353.9685812,353.3366728,351.2478548,353.8887458,351.7702565,317.5955728,270.9132598,5.46%,-1.94%,9.21%,20.20%,9.05%,9.24%,9.89%,9.07%,9.73%,21.54%,42.48%
2021Q1,440,434,403.956901,385.0724928,421.4917933,399.808306,385.0724503,385.0717384,399.8083101,399.8056212,396.616224,403.9378462,1.38%,8.92%,14.26%,4.39%,10.05%,14.26%,14.26%,10.05%,10.05%,10.94%,8.93%
2021Q2,475,451.7,443.110523,448.7615102,449.827518,455.2437149,448.7614744,448.7609365,455.2251419,455.2435832,483.6582116,576.7523268,5.16%,7.20%,5.85%,5.60%,4.34%,5.85%,5.85%,4.34%,4.34%,-1.79%,-17.64%
