DATE,REVENUE,CONSENSUS,PROJ,LR,LR_CON,LR_CON_PROJ,RIDGE,LASSO,RIDGE_CON,LASSO_CON,QUAD,CUBIC,acc_CON,acc_PROJ,acc_LR,acc_LR_CON,acc_LR_CON_PROJ,acc_RIDGE,acc_LASSO,acc_RIDGE_CON,acc_LASSO_CON,acc_QUAD,acc_CUBIC
2017Q2,228,228,203.428745,,,,,,,,,,,-10.8%,,,,,,,,,
2017Q3,237,242.3,228.285539,,,,,,,,,,,-3.7%,,,,,,,,,
2017Q4,257,254.4,247.008679,,,,,,,,,,,-3.9%,,,,,,,,,
2018Q1,245,251,228.581112,,,,,,,,,,,-6.7%,,,,,,,,,
2018Q2,242,258.2,239.598366,,,,,,,,,,,-1.0%,,,,,,,,,
2018Q3,242,259.6,223.715611,,,,,,,,,,,-7.6%,,,,,,,,,
2018Q4,272,270.6,268.66537,,,,,,,,,,,-1.2%,,,,,,,,,
2019Q1,254,267.3,266.382822,267.6153587,259.4625778,267.3808161,267.615273,266.8926604,267.275143,266.7162609,269.8450246,269.7947791,5.24%,4.9%,5.36%,2.15%,5.27%,5.36%,5.08%,5.23%,5.01%,6.24%,6.22%
2019Q2,252,261.6,256.094073,257.0411948,253.389167,256.7088249,257.0122427,256.6222048,256.6786622,256.5316165,256.9180815,255.5840493,3.81%,1.6%,2.00%,0.55%,1.87%,1.99%,1.83%,1.86%,1.80%,1.95%,1.42%
2019Q3,262,265.5,258.874794,257.6176827,256.3440505,257.751171,257.5908582,257.5062434,257.7303894,257.2022064,257.6166866,256.0241422,1.34%,-1.2%,-1.67%,-2.16%,-1.62%,-1.68%,-1.72%,-1.63%,-1.83%,-1.67%,-2.28%
2019Q4,283,290.5,297.440058,279.6182672,278.4203389,280.5548811,279.5424268,279.6168863,280.5002279,278.5347685,283.5328132,304.2018316,2.65%,5.1%,-1.19%,-1.62%,-0.86%,-1.22%,-1.20%,-0.88%,-1.58%,0.19%,7.49%
2020Q1,260,260,272.825051,267.0045725,253.0841194,264.0625955,267.0045507,266.5886757,264.0267464,264.6327533,266.8912123,266.6820908,0.00%,4.9%,2.69%,-2.66%,1.56%,2.69%,2.53%,1.55%,1.78%,2.65%,2.57%
2020Q2,208,170.2,210.55343,231.4062647,172.4146789,210.209606,231.4062936,232.0326324,210.371533,216.8918948,232.5387132,232.3525542,-18.17%,1.2%,11.25%,-17.11%,1.06%,11.25%,11.55%,1.14%,4.27%,11.80%,11.71%
2020Q3,285,252.1,269.1678885,264.2476145,249.2956393,257.9302137,264.2307343,263.9090921,257.9302055,257.9310788,264.5118637,263.3903031,-11.54%,-5.6%,-7.28%,-12.53%,-9.50%,-7.29%,-7.40%,-9.50%,-9.50%,-7.19%,-7.58%
2020Q4,386,366,393.64087,353.4459195,321.1305019,353.9685812,353.3366728,351.2478548,353.8887458,351.7702565,317.5955728,270.9132598,-5.18%,2.0%,-8.43%,-16.81%,-8.30%,-8.46%,-9.00%,-8.32%,-8.87%,-17.72%,-29.82%
2021Q1,440,434,403.956901,385.0724928,421.4917933,399.808306,385.0724503,385.0717384,399.8083101,399.8056212,396.616224,403.9378462,-1.36%,-8.2%,-12.48%,-4.21%,-9.13%,-12.48%,-12.48%,-9.13%,-9.14%,-9.86%,-8.20%
2021Q2,475,451.7,443.110523,448.7615102,449.827518,455.2437149,448.7614744,448.7609365,455.2251419,455.2435832,483.6582116,576.7523268,-4.91%,-6.7%,-5.52%,-5.30%,-4.16%,-5.52%,-5.52%,-4.16%,-4.16%,1.82%,21.42%
2021Q3,476.3,476.3,453.63,470.6437579,485.7620167,481.5269174,470.6437341,470.6433754,481.5170631,481.5261328,495.3675498,498.2240052,0.00%,-4.8%,-1.19%,1.99%,1.10%,-1.19%,-1.19%,1.10%,1.10%,4.00%,4.60%
,,,463.6469813,,,493.2739318,,,,,,,,-2.2%,,,-2.38%,,,,,,
,,,459.2603803,,,487.5868666,,,,,,,,-1.2%,,,-1.24%,,,,,,
,-2.7%,-1.3%,478.0209266,463.6469813,470.0558319,470.0558319,,,,,,,,-5.1%,,,2.44%,,,,,,
,,-0.6%,478.2975558,,473.405369,473.405369,,,,,,,,-5.2%,,,1.72%,,,,,,
