,DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY_OF_INTEREST,PETREL_FACILITY_OF_INTEREST,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL,TOTAL_MATCHES,QUARTER_MATCHES,MATCHES_WITH,MATCHES_WITHOUT,PCT,DECISION,PCT_ALL_PETREL_MATCHES,PCT_ALL_MOA_MATCHES,AVG_SKUS_PER_QUARTER,AVG_QUARTERS_PER_SKU,SCORE,FACILITY_IDS_MOA,FACILITY_IDS_PETREL
0,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000043,P_0000035689,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400,5725,15,59770,66,0.1104232892755563,KEEP,0.970997,0.926525,381.666667,3.041977,1161.021222680659,"['M_0000000043', 'M_0000054424']",['P_0000035689']
1,EAST SOUTH CENTRAL,EAST NORTH CENTRAL,M_0000054424,P_0000035689,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400,3,2,59770,61458,102.82415927722938,REMOVE,0.073171,0.000486,1.5,1.5,2.25,"['M_0000000043', 'M_0000054424']",['P_0000035689']
2,WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000000064,P_0000033111,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 2: 51-100,82,3,179211,180102,100.49717930260978,REMOVE,0.003814,0.535948,27.333333,1.64,44.82666612,['M_0000000064'],"['P_0000033111', 'P_0000035497']"
3,WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000000064,P_0000035497,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400,21120,23,179211,2046,1.141670991177997,KEEP,0.982417,0.982874,918.26087,5.865037,5385.63397820219,['M_0000000064'],"['P_0000033111', 'P_0000035497']"
4,PACIFIC,PACIFIC,M_0000000094,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,16,5,311164,304144,97.74395495622888,KEEP,0.181818,0.000425,3.2,1.230769,3.9384608,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
5,PACIFIC,PACIFIC,M_0000001744,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED,477,5,311164,235632,75.72598372562379,KEEP,0.649864,0.012671,95.4,1.648276,157.2455304,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
6,PACIFIC,PACIFIC,M_0000014050,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,31,10,311164,294228,94.55721098841768,KEEP,0.209459,0.000824,3.1,1.409091,4.3681821,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
7,PACIFIC,PACIFIC,M_0000014143,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,143,19,311164,293312,94.26283246133872,KEEP,0.794444,0.003799,7.526316,2.423729,18.241750352364,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
8,PACIFIC,PACIFIC,M_0000016588,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,85,19,311164,284250,91.35054183645923,KEEP,0.502959,0.002258,4.473684,1.416667,6.337720491228,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
9,PACIFIC,PACIFIC,M_0000016945,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,134,8,311164,297254,95.52968852437942,KEEP,0.582609,0.00356,16.75,2.16129,36.2016075,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
