FINAL_DECISION,PCT,TOTAL_MATCHES,PCT_ALL_PETREL_MATCHES,PCT_ALL_MOA_MATCHES,AVG_SKUS_PER_QUARTER,AVG_QUARTERS_PER_SKU,DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,MOA_FACILITY_OF_INTEREST,FAC_COMB,PETREL_FACILITY,PETREL_FACILITY_OF_INTEREST,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL,TOTAL_MATCHES,QUARTER_MATCHES,MATCHES_WITH,MATCHES_WITHOUT,DECISION,SCORE,FACILITY_IDS_MOA,FACILITY_IDS_PETREL
n,46.15384615,3,0.008523,0.1,1.5,1.5,WEST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000217_,M_0000000217,                 M_0000000217_P_0000095064_,P_0000095064_,P_0000095064,HOSPITAL,CRITICAL ACCESS,CATEGORY 3: 101-200,CATEGORY 1: 0-50,3,2,182,84,KEEP,2.25,"['M_0000000217', 'M_0000089758']",['P_0000095064']
n,126.5306122,3,0.015228,0.050847,1,3,PACIFIC,SOUTH ATLANTIC,M_0000000370_,M_0000000370,                 M_0000000370_P_0000030726_,P_0000030726_,P_0000030726,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 1: 0-50,3,3,49,62,REMOVE,3,"['M_0000000370', 'M_0000008470', 'M_0000037489', 'M_0000065761', 'M_0000066271', 'M_0000066718', 'M_0000069022']",['P_0000030726']
n,103.7955521,3,0.088235,8.40E-05,1.5,1.5,EAST NORTH CENTRAL,PACIFIC,M_0000000496_,M_0000000496,                 M_0000000496_P_0000082430_,P_0000082430_,P_0000082430,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,NON-ACUTE/UNKNOWN,3,2,299245,310603,REMOVE,2.25,"['M_0000000496', 'M_0000018868', 'M_0000025879']",['P_0000082430']
n,37.59398496,3,0.050847,0.003584,1.5,1,EAST NORTH CENTRAL,SOUTH ATLANTIC,M_0000001558_,M_0000001558,                 M_0000001558_P_0000048151_,P_0000048151_,P_0000048151,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,CATEGORY 5: 401-600,3,2,532,200,KEEP,1.5,"['M_0000001558', 'M_0000058135']",['P_0000048151']
n,41.12554113,3,0.050847,0.003584,1.5,1,EAST NORTH CENTRAL,SOUTH ATLANTIC,M_0000001558_,M_0000001558,                 M_0000001558_P_0000048151_,P_0000048151_,P_0000048151,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,CATEGORY 5: 401-600,3,2,462,190,KEEP,1.5,['M_0000001558'],"['P_0000048151', 'P_0000164715']"
n,74.69387755,3,0.000266,0.06383,1.5,1,PACIFIC,PACIFIC,M_0000002425_,M_0000002425,                 M_0000002425_P_0000053216_,P_0000053216_,P_0000053216,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 1: 0-50,3,2,245,183,KEEP,1.5,"['M_0000002425', 'M_0000005449']",['P_0000053216']
n,108.0054949,3,0.000266,0.06383,1.5,1,PACIFIC,PACIFIC,M_0000002425_,M_0000002425,                 M_0000002425_P_0000053216_,P_0000053216_,P_0000053216,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 1: 0-50,3,2,92449,99850,REMOVE,1.5,['M_0000002425'],"['P_0000053216', 'P_0000026430']"
n,106.6004331,3,0.00058,0.058824,1,1.5,PACIFIC,EAST NORTH CENTRAL,M_0000002458_,M_0000002458,                 M_0000002458_P_0000033606_,P_0000033606_,P_0000033606,HOSPITAL,SURGERY CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN,3,3,39255,41846,REMOVE,1.5,['M_0000002458'],"['P_0000033606', 'P_0000002692', 'P_0000036536']"
,84.11214953,3,0.001203,0.054545,1.5,1.5,PACIFIC,PACIFIC,M_0000002476,M_0000002476,                 M_0000002476P_0000038957,P_0000038957,P_0000038957,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50,3,2,107,90,KEEP,2.25,"['M_0000002476', 'M_0000002962', 'M_0000019678', 'M_0000037117']",['P_0000038957']
,109.1300434,3,0.001203,0.054545,1.5,1.5,PACIFIC,PACIFIC,M_0000002476,M_0000002476,                 M_0000002476P_0000038957,P_0000038957,P_0000038957,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50,3,2,25553,27886,REMOVE,2.25,['M_0000002476'],"['P_0000038957', 'P_0000048097']"
n,0,3,0.081081,0.004038,1.5,1,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000002557_,M_0000002557,                 M_0000002557_P_0000040001_,P_0000040001_,P_0000040001,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,CATEGORY 5: 401-600,3,2,220,0,KEEP,1.5,['M_0000002557'],['P_0000040001']
n,102.0565752,3,0.0004,0.088235,1,1.5,PACIFIC,EAST NORTH CENTRAL,M_0000002584_,M_0000002584,                 M_0000002584_P_0000073899_,P_0000073899_,P_0000073899,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50,3,3,64622,65951,REMOVE,1.5,['M_0000002584'],"['P_0000073899', 'P_0000021905']"
n,105.0420168,3,0.0004,0.088235,1,1.5,PACIFIC,EAST NORTH CENTRAL,M_0000002584_,M_0000002584,                 M_0000002584_P_0000073899_,P_0000073899_,P_0000073899,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50,3,3,119,125,REMOVE,1.5,"['M_0000002584', 'M_0000033607', 'M_0000040549']",['P_0000073899']
,69.29133858,3,0.000196,0.115385,1,1.5,PACIFIC,PACIFIC,M_0000002740,M_0000002740,                 M_0000002740P_0000084679,P_0000084679,P_0000084679,HOSPITAL,CRITICAL ACCESS,CATEGORY 4: 201-400,CATEGORY 1: 0-50,3,3,127,88,KEEP,1.5,"['M_0000002740', 'M_0000025588']",['P_0000084679']
,102.7916868,3,0.000196,0.115385,1,1.5,PACIFIC,PACIFIC,M_0000002740,M_0000002740,                 M_0000002740P_0000084679,P_0000084679,P_0000084679,HOSPITAL,CRITICAL ACCESS,CATEGORY 4: 201-400,CATEGORY 1: 0-50,3,3,126017,129535,REMOVE,1.5,['M_0000002740'],"['P_0000084679', 'P_0000024440']"
