DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072160,P_0000001312,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000076627,P_0000001401,HOME HEALTH AGENCY,HOME HEALTH CARE AGENCY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079186,P_0000001403,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072055,P_0000002421,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000002421,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000072616,P_0000002692,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
NEW ENGLAND,NEW ENGLAND,M_0000025300,P_0000003270,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
NEW ENGLAND,NEW ENGLAND,M_0000094477,P_0000003270,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
NEW ENGLAND,NEW ENGLAND,M_0000094558,P_0000003270,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011677,P_0000009685,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000012634,P_0000009685,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000012667,P_0000009685,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000009685,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000027715,P_0000010571,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021301,P_0000013178,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 3: 101-200
