Symbol,Name
UVXY,ProShares Ultra Short VIX
SVXY,ProShares Short VIX
LABU,Direxion BULL SP500 Biotech 3X
GUSH,Direxion SP Oil & Gas Exploration
DFEN,Direxion Aerospace & Defense Bull 3x
NUGT,Direxion Daily Gold Miners Bull 2x
JNUG,Direxion Daily Junior Gold Miners Bull 2x
TQQQ,ProShares 3X QQQ
ERX,Direxion Energy Bull 2x
FAS,Direxion Financial Bull 3x
TECL,Direxion Technology Bull 3x
SOXL,Direxion Semiconductor Bull 3x
SPXL,Direxion SP500 Bull 3x
TNA,Direxion Russ2k Small Cap Bull 3x
NAIL,Direxion Homebuilder Supplies Bull 3x
FNGU,FANG 3x index
