Date,Adjusted,M1
1958-12-31,55.209999,138.9
1959-01-30,55.450001,139.4
1959-02-27,55.41,139.7
1959-03-31,55.439999,139.7
1959-04-30,57.59,140.7
1959-05-29,58.68,141.2
1959-06-30,58.470001,141.7
1959-07-31,60.509998,141.9
1959-08-31,59.599998,141.0
1959-09-30,56.880001,140.5
1959-10-30,57.52,140.4
1959-11-30,58.279999,139.9
1959-12-31,59.889999,140.0
1960-01-29,55.610001,139.9
1960-02-29,56.119999,139.8
1960-03-31,55.34,139.6
1960-04-29,54.369999,139.6
1960-05-31,55.830002,139.6
1960-06-30,56.919998,140.2
1960-07-29,55.509998,141.3
1960-08-31,56.959999,141.2
1960-09-30,53.52,140.9
1960-10-31,53.389999,140.9
1960-11-30,55.540001,140.7
1960-12-30,58.110001,141.1
1961-01-31,61.779999,141.6
1961-02-28,63.439999,141.9
1961-03-30,65.059998,142.1
1961-04-28,65.309998,142.7
1961-05-31,66.559998,142.9
1961-06-30,64.639999,142.9
1961-07-31,66.760002,143.5
1961-08-31,68.07,143.8
1961-09-29,66.730003,144.1
1961-10-31,68.620003,144.8
1961-11-30,71.32,145.2
1961-12-29,71.550003,145.2
1962-01-31,68.839996,145.7
1962-02-28,69.959999,146.0
1962-03-30,69.550003,146.4
1962-04-30,65.239998,146.8
1962-05-31,59.630001,146.6
1962-06-29,54.75,146.5
1962-07-31,58.23,146.6
1962-08-31,59.119999,146.3
1962-09-28,56.27,146.7
1962-10-31,56.52,147.3
1962-11-30,62.259998,147.8
1962-12-31,63.099998,148.3
1963-01-31,66.199997,148.9
1963-02-28,64.290001,149.2
1963-03-29,66.57,149.7
1963-04-30,69.800003,150.4
1963-05-31,70.800003,150.4
1963-06-28,69.370003,151.3
1963-07-31,69.129997,151.8
1963-08-30,72.5,152.0
1963-09-30,71.699997,152.6
1963-10-31,74.010002,153.6
1963-11-29,73.230003,153.3
1963-12-31,75.019997,153.7
1964-01-31,77.040001,154.3
1964-02-28,77.800003,154.5
