"Open","High","Low","Close","Volume","Adjusted","Date"
17.66,17.66,17.66,17.66,0,17.66,"1927-12-30"
17.76,24.35,16.950001,24.35,0,24.35,"1928-12-31"
24.809999,31.860001,17.66,21.450001,0,21.450001,"1929-12-31"
21.18,25.92,14.44,15.34,0,15.34,"1930-12-31"
15.85,18.17,7.72,8.12,0,8.12,"1931-12-31"
7.56,9.31,4.4,6.92,0,6.92,"1932-12-30"
6.83,12.2,5.53,9.97,0,9.97,"1933-12-29"
10.11,11.82,8.36,9.5,0,9.5,"1934-12-31"
9.51,13.46,8.06,13.43,0,13.43,"1935-12-31"
13.4,17.690001,13.4,17.18,0,17.18,"1936-12-31"
16.93,18.67,10.17,10.55,0,10.55,"1937-12-31"
10.52,13.91,8.5,13.14,0,13.14,"1938-12-30"
13.08,13.23,10.42,12.46,0,12.46,"1939-12-29"
12.63,12.77,8.99,10.58,0,10.58,"1940-12-31"
10.48,10.86,8.37,8.69,0,8.69,"1941-12-31"
8.89,9.77,7.47,9.77,0,9.77,"1942-12-31"
9.92,12.64,9.89,11.67,0,11.67,"1943-12-31"
11.66,13.28,11.56,13.28,0,13.28,"1944-12-29"
13.33,17.68,13.21,17.360001,0,17.360001,"1945-12-31"
17.25,19.25,14.12,15.3,0,15.3,"1946-12-31"
15.2,16.139999,13.77,15.3,0,15.3,"1947-12-31"
15.34,17.059999,13.84,15.2,0,15.2,"1948-12-31"
14.95,16.790001,13.55,16.790001,0,16.790001,"1949-12-30"
16.66,20.43,16.66,20.43,500300000,20.43,"1950-12-29"
20.77,23.85,20.690001,23.77,427680000,23.77,"1951-12-31"
23.799999,26.59,23.09,26.57,327040000,26.57,"1952-12-31"
26.540001,26.66,22.709999,24.809999,354700000,24.809999,"1953-12-31"
24.950001,35.98,24.799999,35.98,571980000,35.98,"1954-12-31"
36.75,46.41,34.580002,45.48,648450000,45.48,"1955-12-30"
45.16,49.639999,43.110001,46.669998,555830000,46.669998,"1956-12-31"
46.200001,49.130001,38.98,39.990002,558720000,39.990002,"1957-12-31"
40.330002,55.209999,40.330002,55.209999,746660000,55.209999,"1958-12-31"
55.439999,60.709999,53.580002,59.889999,820050000,59.889999,"1959-12-31"
59.91,60.389999,52.200001,58.110001,766440000,58.110001,"1960-12-30"
57.57,72.639999,57.57,71.550003,1017860000,71.550003,"1961-12-29"
0,71.959999,51.349998,63.099998,964820000,63.099998,"1962-12-31"
