Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,t20yr,t20yr_demean,fedfunds,t2yr,t10yr,tlt_detrend,t20yr_detrend,t10yr_detrend,t2yr_detrend
2002-08-01,41.75235484738684,41.995157751665346,41.75235484738684,41.985042572021484,25000,0.0,0,5.41,-0.041333813987022516,1.74,2.15,4.47,5.548393248341782,0.2136371316867658,0.018305650437789645,-0.45093824737540267
2002-08-02,42.066005375353654,42.54149629735449,41.92436575805632,42.415035247802734,52800,0.0,0,5.29,-0.11814380892520493,1.7402380952380951,1.99,4.33,5.958173722740852,0.09430774616334148,-0.12110330479359632,-0.6105740683920644
2002-08-05,42.51115886282212,42.71349737099398,42.415047203101125,42.602210998535156,61100,0.0,0,5.26,-0.1156963379275604,1.7404761904761905,1.93,4.29,6.125137272091095,0.06497836063991791,-0.16051226002498264,-0.6702098894087263
2002-08-06,42.425124426348646,42.44029912412652,42.09632515712658,42.23796081542969,64900,0.0,0,5.35,-0.020900563678654116,1.7407142857142857,2.11,4.42,5.740674887603447,0.15564897511649445,-0.029921215256369926,-0.48984571042538816
2002-08-07,42.28856583713513,42.561722113273824,42.16716433416822,42.339149475097656,40300,0.0,0,5.31,-0.050940654022600285,1.740952380952381,1.98,4.35,5.8216513458892365,0.1163195895930702,-0.0993301704877565,-0.6194815314420503
2002-08-08,42.2784506532563,42.37455840759985,42.16716433416822,42.339149475097656,40900,0.0,0,5.34,-0.01787764797539193,1.7411904761904762,2.1,4.4,5.80143914450705,0.14699020406964713,-0.048739125719142073,-0.499117352458712
2002-08-09,42.49088252269066,42.9360237121582,42.49088252269066,42.9360237121582,35900,0.0,0,5.22,-0.11955717639607055,1.7414285714285713,2.1,4.27,6.378101180185418,0.02766081854622371,-0.17814808095052914,-0.49875317347537385
2002-08-12,43.14845968688012,43.856637624079966,43.06752286018282,43.19904327392578,32100,0.0,0,5.16,-0.157616595982077,1.7416666666666667,2.1,4.22,6.620908540570817,-0.03166856697720011,-0.22755703618191525,-0.49838899449203566
2002-08-13,43.3912948193335,43.7403283911123,43.18390079994142,43.73020935058594,75400,0.0,0,5.09,-0.20178571866119555,1.7419047619047618,2.0,4.12,7.1318624158487935,-0.10099795250062371,-0.3269659914133012,-0.5980248155086976
2002-08-14,44.24111072331229,44.463683292858974,43.88196198745115,43.89713668823242,130000,0.0,0,5.03,-0.2339695129333741,1.7421428571428572,2.12,4.06,7.278577552113099,-0.16032733802404664,-0.38637494664468885,-0.4776606365253593
2002-08-15,43.6947917837247,43.755494437025256,43.42669515205817,43.51268768310547,87100,0.0,0,5.12,-0.12954874059688404,1.7423809523809524,2.22,4.17,6.873916345603959,-0.06965672354747099,-0.2757839018760748,-0.377296457542021
2002-08-16,43.725178594630286,43.76564320193402,42.90570951298482,43.0271110534668,85000,0.0,0,5.24,-0.008641900654331458,1.7426190476190475,2.28,4.32,6.368127514583108,0.0510138909291058,-0.12519285710746075,-0.3169322785586832
2002-08-19,43.02201229559695,43.16870358629631,42.850023414512584,43.15858840942383,47300,0.0,0,5.21,-0.03514523298383221,1.7428571428571429,2.25,4.29,6.47939266915796,0.021684505405681342,-0.1546018123388473,-0.3465680995753453
2002-08-20,43.31035707195862,43.64927156627915,43.30023803253494,43.63915252685547,40800,0.0,0,5.12,-0.11430896909361099,1.743095238095238,2.12,4.17,6.939744585207421,-0.06764488011774183,-0.2740107675702337,-0.476203920592007
2002-08-21,43.34071292352955,43.55316647166017,43.31541918048781,43.406471252441406,40000,0.0,0,5.14,-0.08646544510653431,1.7433333333333334,2.12,4.2,6.6868511094111796,-0.04697426564116558,-0.24341972280161972,-0.4758397416086688
2002-08-22,43.27497751686113,43.27497751686113,43.0271110534668,43.0271110534668,34400,0.0,0,5.22,-0.0059472670062854505,1.7435714285714285,2.22,4.3,6.287278709054384,0.033696348835410284,-0.14282867803300636,-0.37547556262533055
2002-08-23,43.09787250200295,43.47725519606734,43.09787250200295,43.45196533203125,20100,0.0,0,5.15,-0.07006449511544144,1.7438095238095237,2.19,4.25,6.691920786236658,-0.03563303668801243,-0.19223763326439336,-0.4051113836419926
2002-08-26,43.3508302226422,43.608811748992366,43.335655519789285,43.492469787597656,23900,0.0,0,5.12,-0.09255400209048137,1.744047619047619,2.19,4.22,6.712213040420885,-0.064962422211436,-0.2216465884957799,-0.40474720465865444
2002-08-27,43.19904222204103,43.34067780603221,43.09787119113289,43.219276428222656,301800,0.0,0,5.2,-0.011638833160256823,1.7442857142857142,2.26,4.29,6.418807479663705,0.015708192265139864,-0.1510555437271659,-0.3343830256753164
2002-08-28,43.52282499513066,43.593642857407026,43.42165386381868,43.436832427978516,18100,0.0,0,5.14,-0.06655595851349627,1.7445238095238096,2.23,4.22,6.6161512780373855,-0.04362119325828395,-0.22046449895855247,-0.36401884669197804
2002-08-29,43.88701398217352,43.9375975958652,43.67961614897058,43.78584289550781,135700,0.0,0,5.08,-0.11779988970607747,1.7447619047619047,2.14,4.16,6.944949544184496,-0.10295057878170688,-0.27987345418993836,-0.45365466770864016
2002-08-30,43.881948340817,44.074167589740796,43.73019366163171,44.04887771606445,78100,0.0,0,5.06,-0.1284869063491083,1.745,2.14,4.14,7.187772163358957,-0.12227996430513155,-0.2992824094213251,-0.453290488725302
2002-09-03,44.23837556069054,44.72607421875,44.197733036881154,44.72607421875,102100,0.373,0,4.92,-0.2507344920656678,1.7452380952380953,2.01,3.98,7.844756464662325,-0.26160934982855455,-0.458691364652712,-0.5829263097419641
2002-09-04,44.72100077996762,44.85816835291731,44.624475737957475,44.715919494628906,66300,0.0,0,4.91,-0.24384372823717815,1.7454761904761904,2.02,3.96,7.814389539159052,-0.27093873535197766,-0.4781003198840983,-0.5725621307586257
2002-09-05,44.995358171763286,45.036000726297615,44.39081276969893,44.95979690551758,648400,0.0,0,4.88,-0.256440087669505,1.7457142857142858,1.95,3.91,8.038054748665537,-0.3002681208754021,-0.5275092751154844,-0.6421979517752876
2002-09-06,44.69049909238688,44.802264060190964,44.299321705072586,44.4314079284668,140000,0.0,0,5.0,-0.12792303289952933,1.745952380952381,2.08,4.05,7.489453570232577,-0.17959750639882532,-0.386918230346871,-0.5118337727919493
2002-09-09,44.45174560945084,44.61939312310451,44.32982190674118,44.36538314819336,83800,0.0,0,4.99,-0.12945706544734126,1.7461904761904763,2.13,4.05,7.40321658857696,-0.18892689192224843,-0.3863271855782573,-0.4614695938086113
2002-09-10,44.284101898636685,44.70575942341079,44.197739429962944,44.57875442504883,336000,0.0,0,4.96,-0.1498227482425527,1.7464285714285714,2.12,4.0,7.5963756640502496,-0.21825627744567289,-0.4357361408096434,-0.4711054148252729
2002-09-11,44.197724598001535,44.35013209524465,44.07071964226015,44.34505081176758,177700,0.0,0,5.01,-0.09388043356248676,1.7466666666666666,2.18,4.07,7.34245984938682,-0.16758566296909638,-0.3651450960410294,-0.4107412358419351
2002-09-12,44.44160010558457,44.77689135651775,44.43651881933059,44.690528869628906,43400,0.0,0,4.93,-0.16367322143203378,1.746904761904762,2.12,3.98,7.667725705865962,-0.24691504849251977,-0.4545540512724169,-0.470377056858597
2002-09-13,44.873420377967555,45.18331297676402,44.79721658097257,45.102027893066406,155100,0.0,0,4.87,-0.21071472262656332,1.747142857142857,2.07,3.92,8.059012527921283,-0.3062444340159436,-0.5139630065038032,-0.5200128778752591
2002-09-16,45.31537488386819,45.325537452667064,45.16297123484424,45.1782112121582,73000,0.0,0,4.85,-0.2175130372283931,1.7473809523809525,2.07,3.9,8.1149836456309,-0.32557381953936737,-0.5333719617351895,-0.5196486988919209
2002-09-17,45.03088725054803,45.3763409653896,44.88864228723995,45.26457595825195,75400,0.0,0,4.83,-0.22408039879948305,1.7476190476190476,2.06,3.87,8.181136190342471,-0.34490320506279026,-0.5627809169665756,-0.5292845199085825
2002-09-18,45.295044308774656,45.498249114969596,45.22391797554654,45.274723052978516,196600,0.0,0,4.85,-0.19266527305265946,1.7478571428571428,2.04,3.86,8.171071083686854,-0.3242325905862149,-0.5721898721979621,-0.5489203409252443
2002-09-19,45.56937768548254,45.60493891892555,45.34585159350526,45.57954025268555,109900,0.0,0,4.8,-0.2292326956066244,1.7480952380952381,1.93,3.79,8.4556760820117,-0.37356197610963804,-0.6415988274293483,-0.6585561619419062
2002-09-20,45.44242998159787,45.47799125984613,45.244302306230594,45.36623001098633,113500,0.0,0,4.82,-0.19776429152565278,1.7483333333333333,1.94,3.79,8.222153638930301,-0.3528913616330618,-0.6410077826607354,-0.6481919829585681
2002-09-23,45.72181228691571,45.84373603443272,45.60496595012595,45.772613525390625,163200,0.0,0,4.75,-0.25322372855126396,1.7485714285714287,1.93,3.7,8.608324951952419,-0.4222207471564854,-0.7304167378921216,-0.6578278039752303
2002-09-24,45.874168923686284,46.19930113984978,45.82844514672612,46.06721496582031,251900,0.0,0,4.74,-0.2490551132022416,1.7488095238095238,1.93,3.69,8.882714190999927,-0.4315501326799085,-0.7398256931235081,-0.6574636249918921
2002-09-25,45.772618347876715,45.90470468253662,45.34588324866442,45.50844955444336,127200,0.0,0,4.83,-0.1505646982178046,1.749047619047619,2.0,3.77,8.303736578240795,-0.34087951820333284,-0.6592346483548943,-0.5870994460085539
2002-09-26,45.23917861171812,45.48302601999255,45.015648590896,45.4017448425293,429000,0.0,0,4.85,-0.12364991618287213,1.7492857142857143,1.97,3.79,8.176819664944546,-0.3202089037267566,-0.6386436035862806,-0.6167352670252157
2002-09-27,45.48304273632406,45.74213409423828,45.45764405473158,45.74213409423828,298200,0.0,0,4.78,-0.18347051142351578,1.7495238095238095,1.82,3.69,8.49699671527135,-0.3895382892501793,-0.738052558817667,-0.7663710880418775
2002-09-30,46.05707784353783,46.17900151271297,45.762425423471306,45.924991607666016,297800,0.0,0,4.75,-0.2023284533479517,1.7497619047619049,1.72,3.63,8.659642027316906,-0.41886767477360376,-0.7974615140490533,-0.8660069090585394
2002-10-01,45.46758316250733,45.538976541041315,45.2839990775207,45.35539245605469,257500,0.343,0,4.81,-0.13494938032718373,1.75,1.8,3.72,8.069830674323399,-0.35819706029702747,-0.7068704692804402,-0.7856427300752011
2002-10-02,45.50836177981741,45.63075372371601,45.30437909729915,45.61545181274414,91000,0.0,0,4.78,-0.15645182320582318,1.7321739130434783,1.75,3.71,8.309677829630672,-0.38752644582045015,-0.7162794245118267,-0.835278551091863
2002-10-03,45.53896587646398,45.646055919186,45.28398847265544,45.50326919555664,29900,0.0,0,4.79,-0.13895264607402957,1.7143478260869565,1.75,3.7,8.177283011060986,-0.37685583134387457,-0.7256883797432128,-0.8349143721085248
2002-10-04,45.08004087272381,45.7531815872886,45.08004087272381,45.64609146118164,131000,0.0,0,4.77,-0.15085989793082089,1.6965217391304348,1.78,3.69,8.299893075303807,-0.39618521686729835,-0.7350973349745993,-0.804550193125187
2002-10-07,45.844903077464394,45.87549909761933,45.62052188794561,45.72251510620117,433800,0.0,0,4.75,-0.16220814125671001,1.6786956521739131,1.77,3.64,8.356104518941159,-0.41551460239072124,-0.7845062902059854,-0.8141860141418489
