Symbol,Name
MMM,3M
ABT,Abbot Labs
ACN,Accenture
AIG,AIG
MO,Altria
T,AT and T
BKR,Baker Hughes A
BAC,Bank of America
BK,Bank of NY Mellon
BAX,Baxter
BRK.B,Berkshire Hathaway B
BA,Boeing
BMY,Bristol Myers Squibb
CAT,Catepillar
C,Citigroup
KO,Coca cola
CL,Colgate Palmolive
GLW,Corning
DHR,Danaher
DE,Deere and Company
DVN,Devon Energy
D,Dominion Energy
DUK,Duke Energy
DD,Dupont
LLY,Eli Lilly
EMR,Emerson
EOG,Resources
EXC,Exelon
XOM,Exxon Mobil
FDX,FedEx
FDX,Ford Motor
BEN,Franklin Resources
FCX,Freeport Mcmoran
GD,General Dynamics
GE,General Electrics
GM,General Motors
GS,Goldman Sachs
HAL,Halli Burton
HD,Home Depot
HON,Honeywell
HPQ,HP Inc
IBM,IBM
ITW,Illinois Tool Works
JNJ,Johnson and Johnson
JPM,JPMorgran
KMB,Kimberly Clark
LVS,Las Vegas Sands
LMT,Lockheed Martin
LOW,Lowe's
MA,Mastercard
MCD,McDonald's
MRK,Merk and Co
MET,Metlife
MS,Morgan Stanley
NOV,National Oilwell Varco
NEM,Newmont Goldcorp
NKE,Nike
OXY,Occidental
PEP,Pepsi Co
PFE,Pfizer
PM,Philip Morris
PNC,PNC Financial
PG,Proctor and Gamble
PRU,Prudential Financial
RTX,Raytheon Techonologies
SLB,Schlumberger
SPG,Simon Property
SO,Southern
SCCO,Southern Copper
TGT,Target
TRV,Travelers
UNP,Union Pacific
UPS,United Parcel Service
UNH,United Health
USB,US Bancorp
VZ,Verizon
V,Visa
WBA,Walgreens Boots
WMT,Walmart
DIS,Walt Disney
WFC,Wells Fargo and Co
YUM,Yum Brands
