Symbol,Name
 KIRK,Kirkland's Inc
 PRPLW,Purple Innovation Inc WT
 ZM,Zoom Video Communications Cl A
 VSLR,Vivint Solar Inc
 TSLA,Tesla Inc
 TRIL,Trillium Therapeutic
 FVRR,Fiverr International Ltd
 PRTS,U.S. Auto Parts Netw
 OSTK,Overstock.com Inc
 RUN,Sunrun Inc
 DPHCW,Diamondpeak Holdings Corp Wt6
 LVGO,Livongo Health Inc
 SE,Sea Ltd ADR
 EXPI,Exp Realty International
 DKNG,Draftkings Inc
 GRVY,Gravity CO Ltd
 CELH,Celsius Holdings Inc
 NIO,Nio Inc
 STKL,Sunopta Inc
 SAVA,Cassava Sciences Inc
 SITM,Sitime Corp
 NLS,Nautilus Group
 PTON,Peloton Interactive Inc
 BCLI,Brainstorm Cell
 GLG,China Bat Group Inc
 PEIX,Pacific Ethanol Inc
 AWH,Aspira Womans Health Inc
 FLGT,Fulgent Genetics Inc
 GSX,Gsx Techedu Inc ADR
 PENN,Penn Natl Gaming Inc
 NVAX,Novavax Inc
 WKHS,Workhorse Grp
 PRPL,Purple Innovation Inc
 TFFP,Tff Pharmaceuticals Inc
 SWBI,Smith & Wesson Brands Inc
 SHL.W,Tortoise Acquisition Corp WT [Shll/W]
 PLUG,Plug Power Inc
 TWST,Twist Bioscience Corp
 DOCU,Docusign Inc
 QDEL,Quidel Cp
 NOVA,Sunnova Energy International Inc
 BE,Bloom Energy Corp Cl A
 BVXV,Biondvax Pharma Ads
 IMAB,I-Mab ADR
 MICT,Micronet Enertec Tec
 LAC,Lithium Americas Corp
 IMVT,Immunovant Inc
 APPS,Digital Turbine
 FMCIU,Forum Merger II Corp Unit
 BTAI,Bioxcel Therapeutics Inc
 SKYS,Sky Solar Holdings
 RDFN,Redfin Corp
 FMCIW,Forum Merger II Corp WT
 REGI,Renewable Energy
 ZG,Zillow Grp Inc Cl A
 ENPH,Enphase Energy Inc
 FUTU,Futu Holdings Ltd
 DQ,Daqo New Energy
 CRNC,Cerence Inc
 HZNP,Horizon Therapeutics
 Z,Zillow Group Cl C
 TRVN,Trevena Inc
 CYRX,Cryoport Inc
 FSM,Fortuna Silver Mines
 DRD,Drdgold Ltd
 OESX,Orion Energy Syst
 HL,Hecla Mining Company
 SEDG,Solaredge Tech
 TDOC,Teladoc Health Inc
 FBIO,Fortress Biotech Inc
 BAND,Bandwidth Inc
 BGFV,Big 5 Sporting
 VSTO,Vista Outdoor Inc
 ACMR,Acm Research Inc
 NVDA,Nvidia Corp
 PNTG,The Pennant Group Inc
 OAC.W,Oaktree Acquisition Corp WT
 ARCT,Arcturus Therapeutics Ltd
 SHL.U,Tortoise Acquisition Corp [Shll.U]
 UTZ.W,Utz Brand Inc WT
 CRDF,Cardiff Oncology Inc
 ATOM,Atomera Inc
 BNTX,Biontech Se ADR
 DPHCU,Diamondpeak Holdings Corp Units
 LCAHW,Landcadia Holdings II Inc WT
 HGBL,Heritage Global Inc
 GRA.U,Graf Indl Corp [Graf.U]
 SQ,Square
 NFE,New Fortress Energy Llc
 ZS,Zscaler Inc
 SHLL,Tortoise Acquisition Corp Cl A
 FTCH,Farfetch Ltd Cl A
 ELA,Envela Corp
 GFI,Gold Fields Ltd
 TGTX,Tg Therapeuticscmn
 AAWW,Atlas Air Ww
 AQST,Aquestive Therapeutics Inc
 CGEN,Compugen Ltd
 EVOK,Evoke Pharma
 CVNA,Carvana CO Cl A
