Symbol,Name
XLE,Energy Select Sector SPDR Fund
XLF,Financial Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
XLI,Industrial Select Sector SPDR Fund
XOP,Spdr S&P Oil & Gas Exploration & Production Etf
XLK,Technology Select Sector SPDR Fund
XLV,Health Care Select Sector SPDR Fund
XLY,Consumer Discretionary Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLB,Materials Select Sector SPDR Fund
XLC,Communication Services Sel Sec SPDR ETF
VNQ,Vanguard Real Estate Index Fund ETF Shares
SPY,SPY
IVW,iShares S&P 500 Growth ETF
IVE,iShares S&P 500 Value ETF
