Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown,Maxdrawup,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo
SOXL,37.7%,13.3%,10.2%,-13.7%,31.4%,0.1%,0.2%,0.2%,29.33,38.00,14.01,-80.8%,420.9%,-38.8%,-42.7%,-64.1%,9.0%,9.5%,6.8%,90.3%,81.6%,63.4%,85.0%,92.4%
USOI,31.6%,11.8%,-0.1%,0.0%,0.1%,27.5%,34.3%,23.1%,8.15,32.57,5.02,-14.5%,16.9%,-14.5%,-3.9%,22.6%,1.7%,1.5%,1.7%,80.6%,2.0%,0.3%,1.4%,82.8%
PBR,26.4%,8.7%,2.4%,0.2%,-3.7%,21.9%,33.3%,18.4%,12.54,34.99,11.10,-25.0%,33.3%,-19.5%,-12.1%,31.9%,2.1%,2.9%,2.7%,55.3%,26.9%,24.6%,23.9%,59.6%
ZIM,24.7%,-3.5%,8.5%,1.6%,-3.9%,18.0%,19.2%,19.2%,29.68,39.19,47.51,-35.9%,56.0%,-18.7%,-9.1%,51.6%,5.0%,5.1%,3.9%,27.3%,25.5%,23.2%,23.7%,30.4%
FNGU,23.6%,37.5%,1.6%,-6.8%,-2.7%,0.0%,0.0%,0.0%,50.31,43.71,8.26,-83.0%,490.0%,-24.6%,-33.4%,-76.4%,10.8%,10.1%,6.8%,88.7%,73.3%,53.4%,75.7%,92.4%
FSK,17.1%,8.8%,1.1%,-0.4%,-0.9%,10.1%,11.6%,10.7%,33.20,39.50,18.80,-15.8%,18.7%,-10.1%,-12.1%,-2.4%,2.7%,2.6%,1.5%,80.3%,40.4%,38.4%,38.0%,81.3%
MSB,16.4%,2.3%,3.2%,-1.8%,-0.1%,12.4%,14.6%,13.3%,15.84,37.16,22.74,-29.5%,41.8%,-21.4%,-13.3%,-26.5%,2.4%,2.7%,3.6%,42.4%,30.5%,25.7%,28.1%,45.3%
GGB,16.1%,6.3%,-1.1%,2.2%,-2.4%,8.3%,8.8%,8.8%,12.28,30.94,4.23,-33.6%,50.7%,-28.2%,-26.3%,-19.3%,2.9%,3.6%,2.8%,67.1%,28.1%,33.5%,31.5%,69.2%
QYLD,14.6%,5.3%,2.0%,1.4%,-4.5%,12.9%,9.8%,13.7%,44.71,41.51,17.47,-17.8%,21.6%,-3.6%,-11.3%,-11.8%,1.7%,2.0%,1.2%,82.9%,77.2%,67.3%,77.1%,84.5%
IEP,14.4%,0.1%,1.0%,0.2%,0.7%,12.5%,13.4%,13.4%,26.42,37.76,47.90,-10.4%,11.6%,-7.8%,-5.9%,-1.8%,1.3%,1.4%,1.2%,30.3%,30.9%,34.4%,34.4%,34.1%
RYLD,13.9%,5.1%,1.5%,0.1%,-2.2%,10.7%,9.9%,11.4%,37.34,39.99,20.37,-14.8%,17.3%,-4.9%,-9.9%,-10.5%,1.7%,1.7%,1.1%,83.5%,71.9%,60.4%,71.6%,84.5%
SBLK,13.1%,-5.6%,5.3%,0.7%,-5.0%,11.8%,21.0%,12.6%,34.73,42.19,25.11,-22.8%,29.5%,-11.3%,-8.0%,36.5%,4.7%,4.4%,4.0%,26.5%,13.7%,9.6%,9.5%,28.7%
GOGL,12.3%,-7.3%,2.1%,1.3%,-4.7%,13.0%,13.7%,13.9%,23.63,40.17,11.71,-27.1%,37.1%,-19.1%,-7.6%,43.2%,3.7%,4.5%,3.9%,29.8%,9.9%,9.1%,7.9%,35.1%
VALE,11.7%,5.7%,0.2%,1.5%,-3.4%,7.1%,17.9%,7.6%,14.72,32.57,13.92,-34.4%,52.5%,-22.2%,-16.6%,-31.2%,2.5%,2.9%,2.6%,65.1%,27.0%,31.9%,28.9%,68.2%
LIFZF,11.7%,-4.1%,3.2%,-1.1%,-0.6%,14.8%,5.8%,15.8%,23.58,35.24,22.21,-43.0%,75.6%,-18.9%,-21.2%,-37.2%,2.7%,3.1%,2.8%,43.5%,30.8%,26.3%,28.9%,44.8%
ARKK,11.4%,23.4%,-0.1%,-2.7%,-6.9%,1.5%,1.4%,1.6%,62.75,48.92,44.03,-66.1%,194.8%,-4.3%,-16.1%,-64.1%,6.2%,5.6%,3.6%,82.3%,59.1%,41.7%,60.6%,88.8%
KIROY,10.0%,-5.7%,-3.8%,-3.4%,9.3%,11.3%,10.3%,12.0%,29.23,42.42,10.50,-32.9%,49.0%,-18.6%,-4.0%,-16.9%,3.9%,4.3%,3.7%,30.3%,16.2%,16.4%,20.2%,32.5%
IVR,9.6%,-3.5%,-3.3%,-0.8%,3.9%,22.4%,19.1%,18.8%,38.73,32.92,11.85,-67.4%,206.9%,-26.0%,-34.9%,-66.7%,8.6%,5.0%,2.7%,75.2%,22.7%,33.0%,32.6%,78.3%
ORC,6.5%,-2.3%,-0.1%,-1.1%,0.1%,14.2%,11.9%,11.9%,51.94,46.62,2.85,-37.8%,60.8%,-9.2%,0.9%,-38.6%,4.9%,2.8%,1.9%,74.7%,22.5%,25.7%,26.4%,77.7%
