Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,Maxdrawdown,Maxdrawup,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_4mo,R2_Mom_4mo,R2_Vol_4mo,R2_Qual_4mo,R2_multi_ols_4mo
ARKK,0.27030677,0.39239493,-0.000107482,-0.02809991,-0.03004355,0.014016473,0.013667903,0.014950905,67.67047354,51.05075725,45.83000183,-0.646941116,1.832388718,0.060879653,-0.156761672,-0.631159414,0.059488299,0.05657639,0.036117145,0.829477789,0.582421479,0.431088052,0.612348224,0.889075991
ZIM,0.248591641,0.018439933,0.009812327,0.01186243,-0.014280148,0.184466025,0.196763761,0.196763761,27.26103913,38.20196523,46.34999847,-0.374597992,0.598971521,-0.121327043,-0.060803198,0.396853211,0.04235189,0.050414812,0.039028034,0.295812943,0.280117452,0.243339195,0.256810404,0.331864253
PBR,0.245500964,0.046197897,0.002589128,0.001450123,-0.014894202,0.221643839,0.337841102,0.186180825,11.51039619,34.12393475,10.94999981,-0.260135158,0.351598214,-0.189489295,-0.116895875,0.2755489,0.021447868,0.028864526,0.026921924,0.556864828,0.251121845,0.207648395,0.209396046,0.592111746
GOGL,0.222732634,0.038585403,0.002326254,0.011757417,-0.02094613,0.133420819,0.139982498,0.14231554,21.27809367,38.90641303,11.43000031,-0.288293855,0.405074281,-0.166909615,0.01220527,0.358529456,0.03546152,0.041289306,0.038889146,0.305348564,0.104550683,0.093747387,0.083389937,0.356389706
SBLK,0.186365419,0.030198561,0.006266681,0.006746689,-0.024268175,0.122629842,0.217642207,0.130805165,30.47889856,40.38333902,24.26000023,-0.253768026,0.34006587,-0.103142295,-0.054288971,0.247590934,0.04617773,0.043608917,0.039488105,0.255706915,0.140913844,0.106663818,0.103868335,0.28889817
USOI,0.175505813,-0.015532095,-7.56E-05,-7.50E-05,0.000358759,0.268543684,0.334695139,0.225576695,24.77321088,38.23914751,5.150000095,-0.122657548,0.139805782,-0.121160413,-0.004642554,0.253765883,0.020858745,0.015617633,0.017214184,0.809443882,0.020701031,0.00152313,0.011758588,0.82975068
KIROY,0.154716221,0.029779632,-0.004020277,-0.029221783,0.038748383,0.112144882,0.102727269,0.119621207,31.3138555,42.88428944,10.56000042,-0.325239573,0.482007481,-0.155875282,-0.001890312,-0.164544597,0.03938175,0.042392737,0.0370249,0.297606449,0.149167292,0.140398893,0.180600447,0.318148342
FNGU,0.143446776,0.264327823,0.00197588,-0.069361019,-0.013153998,0,0,0,61.22519664,47.11406456,9.319999695,-0.808742052,4.228540895,-0.033195087,-0.269019632,-0.74254145,0.111257875,0.103112363,0.068242315,0.890269877,0.731429426,0.534539273,0.759077284,0.92741292
MSB,0.137608513,0.05094163,0.003304666,-0.012649491,-0.000624618,0.118498321,0.139597315,0.126398209,33.15033278,42.26555019,23.84000015,-0.260608405,0.352463304,-0.148571423,-0.070453444,-0.236047132,0.032966904,0.028085095,0.036590198,0.424592093,0.265857638,0.189055181,0.222617174,0.441680473
RYLD,0.134120933,0.050959601,0.0016498,0.001023799,-0.009060664,0.105744883,0.098617328,0.112794542,45.68846918,42.27369499,20.54000092,-0.140464514,0.163419098,-0.040186856,-0.09472182,-0.100958985,0.017809154,0.017238624,0.010874001,0.83475722,0.720581274,0.599557795,0.716686097,0.844534156
IVR,0.134097745,0.051837787,-0.003591162,-0.006945452,0.017096252,0.197613723,0.169127519,0.165995528,55.88887572,41.20878048,13.40999985,-0.627668708,1.685780168,-0.135953644,-0.259116046,-0.631283601,0.099278108,0.054111334,0.028272052,0.755868641,0.223736466,0.334416476,0.32809655,0.785244614
GGB,0.132938099,0.050681807,-0.001270587,0.021552143,-0.010792467,0.07931818,0.084363635,0.084606059,25.08556949,34.49124989,4.400000095,-0.309688608,0.44862161,-0.212880148,-0.198943444,-0.194361938,0.035664924,0.036254982,0.028346626,0.662621023,0.271031924,0.328139735,0.305753084,0.684636737
LIFZF,0.128616053,0.021376151,0.00337276,-0.009273742,-0.002241457,0.140735981,0.054771072,0.15011838,39.5022717,40.37427927,23.37000084,-0.40074377,0.66873526,-0.132194557,-0.150799402,-0.340316893,0.035420764,0.031879479,0.027897657,0.43250067,0.290818072,0.218085696,0.254993859,0.45028125
SOXL,0.127549815,0.088113088,0.011411965,-0.129033902,0.143263041,0.001328273,0.001416825,0.001416825,43.8962853,41.35788477,15.81000042,-0.783356092,3.615869466,-0.250355604,-0.384105946,-0.614978482,0.104091127,0.097355533,0.068656932,0.896601844,0.817454378,0.615278576,0.840661549,0.92997929
FSK,0.126802319,0.049060391,0.001246963,-0.003856456,-0.003932073,0.097927465,0.112746118,0.104455963,47.89591772,43.74805924,19.29999924,-0.135291972,0.156459716,-0.049726176,-0.088327,0.003346154,0.028394279,0.026266727,0.015173574,0.802932585,0.408816385,0.37909894,0.381168755,0.812638817
IEP,0.124303093,-0.004583978,0.001270347,0.001376225,0.003627799,0.12466237,0.132973195,0.132973195,30.68544304,39.03484824,48.13000107,-0.099931052,0.111025997,-0.065436872,-0.061907111,-0.013743734,0.013256341,0.013608238,0.011692677,0.312002041,0.291442185,0.282854103,0.301816056,0.34596898
VALE,0.101316827,0.046592294,0.000236413,0.012089965,-0.014229152,0.069788733,0.175661974,0.074441316,23.11377651,34.85506586,14.19999981,-0.331135181,0.49507041,-0.169104758,-0.122373329,-0.306993917,0.027651588,0.028720833,0.026408259,0.66089381,0.254789582,0.271674609,0.257039579,0.688558544
