Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_21,Dollar_ADV_21,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
CLM,0.24944901441552475,-0.01546938749879829,-0.01169629115328383,-0.004810712934768475,0.03001216903777834,0.285334238801349,0.17524657044484987,0.17524657044484987,27.19690923725387,34.186238264457366,7.300000190734863,1651766.6666666667,12057896.981716156,-0.3246993610205885,0.011080388208860148,-0.1130011425551984,-0.1172914405486152,-0.4833687097232056,0.0213229544397137,0.0184479955287108,0.0246790361398753,0.3854195400384951,0.2716542899774784,0.3380478298868263,0.4009811700980706,0.4080698583320677,-0.49897046371743703,-0.25806447178878156,0.765441740161872,0.181
CRF,0.2293941031239611,-0.02502905979947189,-0.007788336902600488,-0.009039405004471793,0.031591057384802224,0.28019437012463383,0.17200845317851932,0.17200845317851932,28.4413702429068,35.2619471603142,7.099999904632568,824619.0476190476,5854795.159453437,-0.311348242903706,0.005665717022269368,-0.1080402172604267,-0.1113892230263536,-0.4832605514625296,0.026293810596779,0.0187157902847799,0.0245006522568561,0.379571228659343,0.2881384727579555,0.3483155937067954,0.3943198531897854,0.3992569387605331,-0.4982332087603244,-0.271378042574988,0.8090127716952753,0.173
LQDW,0.20049426718047633,-0.0044741626492392226,-0.0014012141489422587,-0.00724989510131906,-0.0026618958036321153,0.21551463761047485,0.11410262931381009,0.13451622169459915,26.73698909427979,31.91364996246687,34.16400146484375,20133.33333333333,687835.2294921875,-0.14461685930060741,0.005622167441553305,-0.0340966215284177,-0.048727513744551,,0.0073407175212633,0.0065586893301278,,0.3632612204527603,0.1306785939160826,0.2300719234027727,0.2274215472486888,0.3928412811184498,,,0.4894076632057998,0.531
TLTW,0.19800580689902914,-0.029175614300036942,-0.0006003774144777129,-0.0011843916954238734,0.0010477236499917817,0.2078553221841542,0.10888462114266956,0.12965385297601714,24.535061153299463,34.51793816055757,32.7599983215332,35590.47619047619,1165943.9402625675,-0.1781028784363522,0.011735554072978438,-0.0666666739120559,-0.0278932468879937,,0.0113442003344547,0.0095356274236179,,0.6941767631382361,0.0173298639892306,0.0872620385461543,0.1088356328818215,0.7335479987996796,,,0.6169955778100449,0.487
SOXL,0.19567401139726154,-0.026212470753965194,0.04682605772227487,0.07518080830298364,0.08969997237716261,0.005718717559540542,0.0025749740476324334,0.002574974047632435,38.72978464309124,44.26988220944904,9.670000076293944,100068066.66666669,967658212.3012542,-0.561848653828404,0.39538244095630803,-0.2561538402850812,0.0178947448730466,-0.8638028158268458,0.0694458474653132,0.0856602740125604,0.0815951167654521,0.884331295245019,0.5933087066616585,0.6518798789193535,0.8605691678119265,0.906077681190418,-0.8658807173239428,-0.6938973625256619,3.938925614601081,0.038
IEP,0.18482724356483646,0.0008663781768395946,0.026134345166393295,0.010185568846774502,0.0020616178269092914,0.15952143083927445,0.12761714467141957,0.12761714467141957,40.55868041166181,40.96384679983779,50.150001525878906,524876.1904761905,26322541.753278464,-0.08635448927812217,0.036585374507777546,-0.0071272383214636,-0.0811652648691414,0.0068259414417564,0.0058105684966832,0.0081299406956924,0.0117940610257893,0.1716108180427757,0.1934973647133956,0.1357203737922605,0.1556791896235894,0.2280492605855754,-0.09802153053617202,-0.012769768056794417,0.2237057122837075,2.0
HYGW,0.15023476424298682,0.004066228721350706,-0.0015519768164410435,-0.005988222130222435,-0.0009026088533558024,0.2051911062422456,0.09536087387267662,0.12671739693261472,35.270190574111254,38.56920460247392,36.22499847412109,9209.52380952381,333614.9859473818,-0.09283283597317316,0.01170191367699891,-0.0246365355563893,-0.0365691504202153,,0.0078748281024867,0.0059387976977764,,0.4026860813206246,0.2269708867166288,0.3171221457028926,0.3407893217941931,0.4219086838963787,,,0.4305718771830039,0.49
JEPQ,0.13493852855215685,-0.007811759793627424,0.00981002108080626,0.0012803246578409603,-0.00521295831379094,0.1500373374364599,0.10309877999159928,0.09322852258496973,31.981854108834614,40.1502560143831,40.84999847412109,619004.7619047619,25286343.57928321,-0.18136278106252857,0.013144811093956932,-0.06799003496327,-0.0572352469912932,,0.0136554337110209,0.0149278374585872,,0.9357939536464692,0.6667164735764468,0.7649690892660453,0.8932529110166358,0.941928561783576,,,0.7373240543729327,0.576
SVOL,0.13137272628490265,0.05826492630691732,0.0010716735862149114,0.004558119520636551,-0.009907964718839842,0.17250963154481316,0.11502172607827008,0.10668306787323228,46.42039887931335,51.62591216397169,21.90999984741211,61200.0,1340891.990661621,-0.06963904215621275,0.05743246011068348,-0.0166068594178803,0.0315442600524413,-0.1980234226882892,0.0087918487996263,0.0078204695999442,0.0121494098507399,0.4160067714107306,0.3040986534342329,0.3344423729018622,0.393384746823131,0.4385586521600426,-0.20788141835575513,-0.14859004457789604,0.3019926904306544,0.349
JEPI,0.09906564265669257,0.023585277364354656,0.010801065847294768,-0.01598751296713222,-0.008270914375735893,0.119723096225234,0.0807609179347997,0.07413055062189741,39.33895241296302,47.55105570595045,54.72999954223633,3818719.047619048,208998491.7281196,-0.05360543300473597,0.07566820741546243,-0.0263298268340509,0.0018304680974912,-0.1396007071672649,0.0084916868609023,0.0079320261018098,0.0097183840228277,0.7872741631722702,0.8056685133077571,0.8653456361503952,0.7399607146446402,0.8816900283915834,-0.1338819317666008,-0.08482349916350118,0.5213643921506427,0.61
