Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_21,Dollar_ADV_21,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SOXL,0.19498077680132164,0.11790015434959902,0.008499752667373019,0.02540402744201879,0.16685709989022168,-1.0151570175147464,0.9982429578793324,0.0018564745412097388,-0.0005148203670322093,-0.0005148203670322076,70.14495421205595,56.38235779936385,12.81999969482422,94222795.6190476,1207936211.081675,-0.4191209844995728,0.8499278517150624,0.3696581372926306,-0.0757029703964226,-0.8011786751334641,0.0514360859422342,0.0652406620349248,0.0816457075317416,0.8856646566770375,0.5007860719902975,0.6047354352349783,0.8570687034426352,0.9103343914219666,-0.8762057898355284,-0.6057520565327509,3.925567689694295,0.038
CLM,0.18398327416844937,-0.003131172971827712,-0.010720938842116088,-0.0071183621251185766,0.057345514493361255,-1.6616388436323355,0.309589158702943,0.27135091948648,0.1664370792764824,0.1664370792764824,39.8176250628131,43.38484465613844,7.659999847412109,1776645.0952380951,13609101.158429282,-0.29139689638571564,0.060941837951047795,0.0078947294121634,-0.0737606501313925,-0.4613221024212663,0.0142018907038294,0.0162058140954649,0.0248016573475147,0.3525092546285436,0.166154283979055,0.3108407449031694,0.3689613329865437,0.4184569507945532,-0.5010366512125735,-0.2529370960518741,0.7775062248070612,0.181
CRF,0.1770622734987847,-0.003500920677418728,-0.011583472498568854,-0.008259309574098248,0.060501844447641076,-1.511506261429705,0.2861342858176592,0.2672078126465047,0.16382692196729795,0.16382692196729798,41.09338291901928,44.07657350308551,7.429999828338623,918113.0476190476,6821579.786204973,-0.27934049214957724,0.052407916226329565,0.0122615359509223,-0.0815822387887275,-0.4568713696937924,0.0158539903926656,0.0180438694627473,0.0247274673935396,0.3218085728662024,0.1513180844973171,0.2885746771433199,0.3378997952968017,0.3886754551296514,-0.5010600612643092,-0.271378042574988,0.7851202540517324,0.173
LABU,0.08509128456655482,0.20906738003051004,0.007357433003318912,0.004792402660885557,-0.056271813151427666,-1.004164127180962,0.998236476819855,-0.0073958332751256715,-0.007916666620100536,-0.007916666620100536,56.54509799101033,53.80150767215758,7.679999828338623,57817792.95238096,444040639.9492038,-0.40557277221459553,0.2757474838324876,0.1479820273020275,-0.0013004198709265,-0.6964426853780841,0.057647632289197,0.0613291863797762,0.0855614588206994,0.7217250482470232,0.4157828464712996,0.4579205403256373,0.5762536023227549,0.7363178011760652,-0.7982415543558157,-0.4021286575019788,3.3341353761400603,0.005
TLTW,0.0823962799306511,0.027541967073927125,-4.1892121651799824e-05,-0.0002996357574000925,0.002535863198962725,-3.391692753481596,0.7405198697885691,0.1886768773977017,0.10728571811894763,0.11757143276055207,69.24326045538936,57.68728035960116,35.279998779296875,44920.28571428572,1584787.625165667,-0.11488000820764266,0.08956138404940583,0.069220526993817,0.036732296351432,,0.0126738942392956,0.0104907023466311,,0.7392818354508641,0.0013756694882219,0.0736740228173241,0.1088188487918457,0.7896415756267197,,,0.6525945656501164,0.517
JEPI,0.07247497627271311,0.0005387147881977996,0.004391700654809565,-0.007544818862559466,-0.005047851092193637,-5.0212928322868375,0.5596465436687048,0.11927443951451328,0.08045412296339405,0.07384789689414337,42.95293593456872,48.82440891213722,54.93000030517578,4201090.476190476,230765901.1392139,-0.05014700733282018,0.0795990399378852,0.0084449986077441,-0.0023610800013219,-0.1167390011553275,0.0085255616173548,0.0071980225302265,0.0098277867111318,0.7261665542358569,0.720688621529766,0.8354956452553745,0.6898189261743779,0.8445173566259816,-0.18238789261789567,-0.07070541127346952,0.496502982771612,0.61
TECL,0.07183523264091221,0.1652298213022498,0.0025290749125021885,-0.005390166831638946,-0.015714851943337795,-0.997279842757422,0.999330263897096,-0.008008130112188538,-0.00840650408975083,-0.00840650408975083,57.924974863976026,50.47393996265269,24.600000381469727,3565038.4285714286,87699946.70281138,-0.46695558899006495,0.23308267873194488,0.1452514388139771,-0.1310490693910424,-0.6681057815718425,0.0410725013724647,0.0496909761637029,0.0616588934001328,0.9755694318057516,0.5788466008384789,0.7567536071196398,0.9205362268667372,0.9778803075006928,-0.716619313486721,-0.3444602198067531,3.3013932035913607,0.049
LQDW,0.06311698937493287,0.014683070660696315,-0.0011872233938109093,-0.0022691884370779495,-0.0014586314263228854,-3.4894307411204344,0.2711033730616105,0.20016812808313494,0.10656332182995264,0.124847920692375,75.66671078867482,55.51799885452096,35.475101470947266,8723.47619047619,309466.20303653536,-0.11179011790891524,0.04421457972754439,0.0367380624596782,0.0053876044879477,,0.0048784699339211,0.0057264594368786,,0.364138976236626,0.0524928182566507,0.1764823008533975,0.1954002240152366,0.4102020735604478,,,0.4710593918845066,0.516
JEPQ,0.05655712464189533,0.038561933428092075,0.00247522134958275,0.0001842525314833404,-0.004596286573165843,-3.841907546313295,0.9196789865886916,0.14480928976634644,0.0994690211806348,0.08993485255279826,62.53074066622472,50.769354655406886,42.290000915527344,694027.0952380953,29350406.49301983,-0.15250501758812374,0.05068325255968564,0.0398328699168477,-0.0309348875573384,,0.0088703361758622,0.0106838515365171,,0.9213339850958224,0.5507009911637616,0.6962961939909107,0.8630487381451631,0.9234670555045038,,,0.7142199729170531,0.576
HYGW,0.04972574411354269,0.002184814079994764,-0.0007747520282998798,-0.0015040460990295285,-0.0018654579287407898,-3.218654067855553,0.1703616365379177,0.19562081881523344,0.11402607815870985,0.12068811585359705,75.2576542405798,57.15222064286273,37.448001861572266,9183.333333333334,343897.48376210534,-0.062205684521893234,0.04585829517144502,0.0306600495131625,0.0101969832711066,,0.0040382075471518,0.0053622921518603,,0.5261454963581896,0.1768461309846796,0.3047509814554798,0.3502157897987675,0.5343448822312913,,,0.5029201737890652,0.599
