Symbol,alpha,sys_alpha_mkt,sys_alpha_mom,sys_alpha_vol,sys_alpha_qual,hedge_ratio,shedge_ratio,R2_Hedge_3mo,div_yld_use,fwd_div_yld,exp_fwd_div_yld,RSI_7,RSI_21,Close,ADV_21,Dollar_ADV_21,Maxdrawdown_6mo,Maxdrawup_6mo,Returns_10,Returns_42,Returns_1yr,STD_10,STD_42,STD_1yr,R2_Mkt_3mo,R2_Mom_3mo,R2_Vol_3mo,R2_Qual_3mo,R2_multi_ols_3mo,Maxdrawdown_2yr,Maxdrawup_2yr,beta_mkt,last_dvd
SOXL,0.1550761777953829,0.1070497468361856,-0.0007632296162902601,0.06117851248194407,0.10075541548695618,-1.0164681251594447,-1.0164681251594447,0.9985538884002058,0.00046111512686986336,-0.0016311078985041094,-0.0016311078985041094,71.7256428788187,60.56583283361407,14.529999732971191,94199869.90476193,1368724084.5621116,-0.3416402386095765,1.0966811100851888,0.2138679539543424,0.1263566017552044,-0.6803080420447616,0.0635288755610103,0.0672875550884767,0.081669698137031,0.8857280233548029,0.4819296868697664,0.6270458784793382,0.8685611381493689,0.9066781701723396,-0.8641709179505879,-0.567424549258979,4.001483359047442,0.038
TLTW,0.08586001905077546,0.02597121012762588,-0.00010739432119825495,-0.0005039735672677213,0.0013473265941234753,-3.409108783810173,-3.409108783810173,0.7265803621834785,0.18966240155961353,0.1078538509946579,0.11819231298255653,62.02461581464065,55.64235871259234,35.099998474121094,47273.23809523809,1659290.5850096203,-0.11939593434574958,0.08400238777892621,0.038031564719724,0.0179814077759861,,0.0117933744095149,0.0106948987087845,,0.7242611735148268,0.0074333463566248,0.0713717155217857,0.1045303521801555,0.7670837305440645,,,0.6371611457305355,0.517
LQDW,0.06125599874373068,0.011075604798716467,-0.0006697579706585804,-0.005795522708621796,-0.00038926333155923844,-3.4876312374914966,-3.4876312374914966,0.2553935456993043,0.19985359549992404,0.10639341778849334,0.12464976516495214,73.82388556482756,56.21925020210759,35.529998779296875,9693.857142857143,344422.7324523926,-0.110415623411239,0.045830489686629505,0.0168860954715917,0.0031622201715182,,0.0027648288347619,0.0057038007664491,,0.3156136475102624,0.0500016672762839,0.1448373967004231,0.169712386487018,0.3542090342459079,,,0.4286699306487992,0.516
TMF,0.060864918143731676,0.12771183461040458,6.056968554805728e-06,0.0001837013642058466,7.468399393739307e-05,-1.00469831119461,-1.00469831119461,0.996990954262002,0.009957536993350403,0.005966029594680322,0.005966029594680322,57.58724413875439,54.576319922770416,9.420000076293944,14987475.047619049,141182016.09202504,-0.3375527496904751,0.4999999620352591,0.0915411299393946,0.1487805238300539,-0.6219903672771228,0.0414023828258403,0.0417097322336171,0.0387048698524761,0.9961853790893472,0.0168393069315899,0.0686825309858076,0.0739540844764951,0.9962012146903408,-0.7510899594232927,-0.4363852348382412,2.9701660713740243,0.047
JEPQ,0.057913739402001355,0.03851662581522333,0.0012283438557454118,0.00034525474018233705,-0.001939598480576052,-3.911951434921857,-2.0769115745352367,0.9122086435702996,0.14259829851885253,0.09793396154308902,0.08854192806687709,67.80678706389922,54.4351449512538,42.93000030517578,789489.2380952381,33892773.23236157,-0.13967937890920457,0.06658385851368398,0.0344578386789344,-0.0212038370322386,,0.0070625339048914,0.0108518467500404,,0.914654674118901,0.5326098789088505,0.6991830517205082,0.8638846210922807,0.916746301751434,,,0.6959751594236357,0.576
HYGW,0.04930730252801435,0.0013319472489892552,-0.00036625908375515875,-0.0033958448381892128,-0.0007863519632874565,-3.197702320122324,-3.197702320122324,0.1632546920438448,0.19534,0.11385839999999998,0.1205112,76.31372499723363,57.92348488687791,37.5,10817.047619047618,405639.2857142857,-0.06090351735117927,0.047310513760013606,0.0107817127312803,0.0052541052170871,,0.0016208966452274,0.0053307525020081,,0.4971864280184841,0.1707064435943025,0.2735853460835119,0.3243378790778543,0.5012614156178261,,,0.4821041265001572,0.599
CRF,0.04554049267140299,0.001322115584537562,-0.00538443190969989,-0.01660820587794547,0.03208344365264873,-1.71379612244685,-1.0481510891209962,0.3248792636215939,0.17085084563680952,0.10312203275119,0.10312203275118999,62.15860648421254,50.18087086090404,7.670000076293945,778175.6666666666,5968607.4227034245,-0.25606209853296036,0.08640228590062082,-0.0090438884876228,-0.0519159540633126,-0.4176157910507549,0.0136062373126672,0.0178662670417929,0.0247442404961081,0.3699342844203319,0.1764676374660518,0.3159436785979752,0.3870299806942374,0.4250288198508303,-0.5010600612643092,-0.271378042574988,0.8163569555298813,0.117
IEP,0.04253966760990803,-0.003647990331852198,-0.0006983102403382266,9.420505146709763e-05,-0.0008965242012051598,-1.3764193072798836,-0.7674321276162107,0.0432744410504717,0.14919806339725333,0.11935845071780268,0.11935845071780267,74.87573814613677,62.29024440413343,53.619998931884766,433516.90476190473,23245175.970287323,-0.02313719205475484,0.0976458670779825,0.0103636563072033,0.0519913213206919,0.0395501556497011,0.0055903483230497,0.007380325311488,0.011158608445307,0.0619434910515952,0.0157354112813291,0.0330442460302341,0.0452414009404528,0.0829545150931261,-0.13848915754604074,-0.012769768056794417,0.1443495612941953,2.0
CLM,0.04197909690866396,0.0012083524544866512,-0.0053149230066196936,-0.018463492891582715,0.030664074546948812,-1.7880806146951016,-1.0670519975779331,0.3300953448267345,0.17392862950202986,0.10506103658627881,0.1050610365862788,63.77161553587349,50.4301806817457,7.929999828338623,1546792.142857143,12266061.427332675,-0.2664200258541891,0.0983379582796533,-0.0037688705608767,-0.0468749856719599,-0.4241104165056432,0.0141662416669746,0.0161836537348735,0.0248528622882937,0.3798878019638638,0.1762826750963034,0.3245281017726649,0.3964212649697342,0.4393450307164463,-0.5010366512125735,-0.2529370960518741,0.7992382228513727,0.123
TECL,0.04190124288513495,0.16423943608742916,0.00023450562325129503,-0.020363099716349087,-0.003723696943619882,-0.9988218680992006,-0.9988218680992006,0.9993353143264812,-0.008191214480472454,-0.008552971584377962,-0.008552971584377962,68.98850874029816,55.95961412998018,27.09000015258789,3452393.9523809524,93525352.69679353,-0.4130010995254897,0.35789469256122586,0.1631601154007298,-0.0318084133026866,-0.5522314024365638,0.0398690091930376,0.0511606446167789,0.0616889584409529,0.97607013850402,0.5651320625877475,0.768929963101085,0.9298090989853538,0.9791871814854428,-0.716619313486721,-0.3444602198067531,3.2809520785862585,0.049
JEPI,0.037177515444470406,-0.00012825046810136653,0.0023265403353539614,-0.022060589110575957,-0.0018313091546711057,-5.402554169526124,-3.925901333095055,0.5564909824948483,0.1187625094027516,0.08010406114497766,0.07352538092373351,51.48021010884776,50.71513165717199,55.15999984741211,4510853.0,248818650.7916985,-0.046169840897511194,0.0841194710976334,-0.0005435546302469,-0.0186799369180312,-0.0846332329269028,0.005354775882486,0.0071076408171338,0.0097813808824728,0.7079397322539279,0.7071080234858427,0.8211218283437953,0.6762426057028139,0.8294626661225725,-0.18238789261789567,-0.07070541127346952,0.468860930641692,0.61
SVOL,0.032051272071317465,-0.0028012707771672275,0.003899460370403924,0.011382451850379225,-0.01508290042814895,-4.596283285631555,-2.68627072912462,0.3438031575737995,0.16481834344686225,0.10981572244328863,0.10183755637152321,79.16668420913348,65.4421535533847,22.899999618530277,144165.7619047619,3301395.892624174,-0.02760083395278279,0.10521237342757694,0.0250671200589724,0.0409090735695578,-0.1001965056174974,0.004844925933582,0.007483276113361,0.0117709005098373,0.3539265308687264,0.2938248339775869,0.2636565133992542,0.326172559659966,0.4318847919258324,-0.220173144473513,-0.11366204337412777,0.3062814314762567,0.349
LABU,-0.009620939855509875,0.029855534279620743,0.014677941180691103,0.0377918791065723,-0.0136242917917117,-1.001665735130182,-1.001665735130182,0.998196463706707,-0.007607655404145175,-0.008086124323316141,-0.00808612432331614,67.46541512817883,57.77725460648539,8.359999656677246,55831921.571428575,466754845.1687738,-0.35294120686450625,0.38870426630642485,0.1675977422958829,0.2098407874506946,-0.5639019497440999,0.0507401145804207,0.0600642615960679,0.0846938465617257,0.6996954221337284,0.4703030967458722,0.465604437278154,0.5872019875384995,0.712488748752907,-0.7982415543558157,-0.4021286575019788,3.174843522715596,0.005
