Symbol,alpha,,,,
AAPL,0.308295949,,,,
AI,0.114278111,,,,
AMD,0.26591352,,,,
AMZN,0.752873988,,,,
BITO,0.581819902,,,,
CLM,0.181970652,,,,
COIN,1.167881883,,,,
CRF,-0.163777908,,,,
META,0.668564262,,,,
FEPI,1.698664217,,,,
GOOGL,0.687638336,,,,
ISPY,3.322207153,,,,
IWMY,1.056188746,,,,
JEPY,2.072048972,,,,
MSFT,0.367349108,,,,
NFLX,0.628527071,,,,
NVDA,0.722599669,,,,
ARKK,0.901213427,,,,
PYPL,0.769707173,,,,
QQQY,1.08571637,,,,
SQ,0.785617436,,,,
SVOL,1.552243457,,,,
TMF,-0.090706352,,,,
TSLA,0.53546707,,,,
