,ARKK,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TLT,USOI,VALE,ZIM
ARKK,0.057111186130144355,0.0636047245726652,0.002862993042778867,0.003953580666802287,0.004693455746229738,0.004270856593508404,0.01744079848198244,0.007747619523579371,0.013941855194628714,0.006732932725734106,0.011957460050200546,0.002512556985250019,0.004413455941469802,0.00788186443125276,0.00019115039937006023,0.07728516354721332,-3.4052036456081486e-05,4.432584222518908e-05,0.0021951933078993057,0.013503677660111787
FNGU,0.0636047245726652,0.0917319590270025,0.004997931616960384,0.007533338922446152,0.010165181446701543,0.007577603673189397,0.024185096476488623,0.013489973907763561,0.020696269616533345,0.011809237296128962,0.01589184172895052,0.005521103797544286,0.005793649666125255,0.01650970035309795,0.00012522185196903732,0.11007153148680975,-0.0007751626018017685,0.0030869688092603916,0.004453564460331026,0.0182854660247607
FSK,0.002862993042778867,0.004997931616960384,0.000824998360058055,0.0005909641330560893,0.002024441459103958,0.0009537381001406,0.002489775344324514,0.0005630566622463966,0.0014170454609501119,0.001098686858883809,0.0016390377218520053,0.0009070450609858102,0.0004409091283500147,0.0026104457649104122,-1.954570618552059e-06,0.007236195317539039,2.2843199139038824e-05,-7.773493883237916e-06,0.0004339434186847847,0.0021007620261163235
GGB,0.003953580666802287,0.007533338922446152,0.0005909641330560893,0.002788197758534641,0.0038120856079433886,0.0011652901530988156,0.00339758193519063,0.0031127537066631375,0.005189795107253105,0.002818854621988138,0.0015897315494019899,0.0018514073750890224,0.0006192397196516149,0.004794069816518818,9.23913601080058e-06,0.011226694448263942,-0.00013609421689679153,0.0012335380002405528,0.0013955356070508736,0.005031744712983374
GOGL,0.004693455746229738,0.010165181446701543,0.002024441459103958,0.0038120856079433886,0.02337762282133206,0.0027301007746732206,0.004080472355633436,0.003179781036689675,0.010149352285918753,0.006633951628791195,0.0044162879157552985,0.0049420304627193325,0.0012680674936427227,0.028169735726649495,-5.695569024980204e-05,0.016650623353837397,-0.0005642343560206083,0.003049804289508796,0.002386950516999947,0.016301630392840532
IEP,0.004270856593508404,0.007577603673189397,0.0009537381001406,0.0011652901530988156,0.0027301007746732206,0.0027300124651854275,0.003679697130750771,0.001867567887812071,0.0031977700928241828,0.0018186558214788276,0.002389396092125684,0.0016518246942637295,0.0007568027177661217,0.0033707851166791874,-1.3394623995165593e-05,0.010949786725104561,-7.421978883604464e-05,0.0009903089982331097,0.00076218443576195,0.0029083310947080896
IVR,0.01744079848198244,0.024185096476488623,0.002489775344324514,0.00339758193519063,0.004080472355633436,0.003679697130750771,0.03129004132667422,0.0030416399394309758,0.007209077537451641,0.0031515481426136077,0.016342014509607868,0.0021697308169799003,0.002395862169702068,0.004480869667834628,0.00019042524544506342,0.03760082885338311,0.0014190145572777794,0.00043396745510325413,0.001998249203739564,0.008032560938214198
KIROY,0.007747619523579371,0.013489973907763561,0.0005630566622463966,0.0031127537066631375,0.003179781036689675,0.001867567887812071,0.0030416399394309758,0.01499054883770514,0.0089610283200761,0.004409925862042275,0.0013037037060356937,0.0026548841027610936,0.0009722468910434119,0.005894922290688582,1.5623258063288572e-05,0.01754183756552701,-0.0003052325918098668,0.0017637659044436303,0.0023710509903519636,0.003852398646279407
LIFZF,0.013941855194628714,0.020696269616533345,0.0014170454609501119,0.005189795107253105,0.010149352285918753,0.0031977700928241828,0.007209077537451641,0.0089610283200761,0.019552936525328513,0.008595513707901127,0.004281956015203104,0.004197538413942951,0.0017792565477677148,0.012874106339852616,3.177504555295288e-05,0.029770014443149945,-0.0002969576451215489,0.004011643513426285,0.0030977201828164174,0.010565565562267122
MSB,0.006732932725734106,0.011809237296128962,0.001098686858883809,0.002818854621988138,0.006633951628791195,0.0018186558214788276,0.0031515481426136077,0.004409925862042275,0.008595513707901127,0.009729088838036793,0.0015002445239801607,0.0037036717233923694,0.0010375934076436305,0.008489117159509275,2.169659039640958e-05,0.019421078940616312,3.2983048911543834e-05,0.002890833320407479,0.001958274513775534,0.006900033487244233
ORC,0.011957460050200546,0.01589184172895052,0.0016390377218520053,0.0015897315494019899,0.0044162879157552985,0.002389396092125684,0.016342014509607868,0.0013037037060356937,0.004281956015203104,0.0015002445239801607,0.013274147094056155,0.0015679202571242262,0.0015783645063483355,0.006440037494850788,0.00010161115571729168,0.024067156496283142,0.0004237058069370614,-0.00020118277853168524,0.0009659855620352228,0.0064311568383951774
PBR,0.002512556985250019,0.005521103797544286,0.0009070450609858102,0.0018514073750890224,0.0049420304627193325,0.0016518246942637295,0.0021697308169799003,0.0026548841027610936,0.004197538413942951,0.0037036717233923694,0.0015679202571242262,0.004000676522852132,0.0006990828827006804,0.006056274916661167,6.500818145235388e-06,0.00912685119435335,4.5654097953103826e-05,0.001680649987482198,0.0013340613455447242,0.004692178237889014
RYLD,0.004413455941469802,0.005793649666125255,0.0004409091283500147,0.0006192397196516149,0.0012680674936427227,0.0007568027177661217,0.002395862169702068,0.0009722468910434119,0.0017792565477677148,0.0010375934076436305,0.0015783645063483355,0.0006990828827006804,0.0005918821012156911,0.0016249965086609856,7.061526785303463e-06,0.008294483441898495,2.66410328274351e-06,0.0002218740208319833,0.00037293028140953434,0.0017916544242521754
SBLK,0.00788186443125276,0.01650970035309795,0.0026104457649104122,0.004794069816518818,0.028169735726649495,0.0033707851166791874,0.004480869667834628,0.005894922290688582,0.012874106339852616,0.008489117159509275,0.006440037494850788,0.006056274916661167,0.0016249965086609856,0.043431447824679816,-9.994409134386805e-05,0.024445920407475532,-0.0009131528268078264,0.003247870237636041,0.0027570058883210277,0.023629626386981278
