,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,KIROY,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,VALE,ZIM
ARKK,0.010552455946731426,0.0019971788678897163,0.028461596580413914,0.003700078855161393,0.004238330449680057,0.0007625561824242764,0.001959987277973785,0.0041593294275285705,0.0033934954840745086,0.0023340199868109803,0.002371760493850046,0.00500451934537607,0.0014789023344533771,0.004960664828796708,0.0011215877892775204,0.00016935725881201546,0.008987539754435827,-0.00017132653330493124,0.00012044063695519529,-0.0007776568974657833,0.0009450009136613344,0.006198978803602004
CLM,0.0019971788678897163,0.006771220842893023,0.0072403028846910735,0.0025850953200632215,0.001138631534983002,0.0003710571996854884,0.0012987488101240902,0.0024645941418919076,0.00013765261764458637,6.188736567723198e-05,0.00017622653912993574,0.0031974489117945564,0.0016478743082399313,0.0015073023309657794,0.0003192183192791612,0.00019485665722159042,0.0024158764161747994,-0.0007360334947199851,0.0008031445609274956,-0.00072724180714994,0.0003503628301178312,0.0015644580593945027
FNGU,0.028461596580413914,0.0072403028846910735,0.09972065918509102,0.015009411541641825,0.021107400692158322,0.005349360432991966,0.00829603897512631,0.013856310380933413,0.014857511405200691,0.009117463084999531,0.011052376763175413,0.01632978178739109,0.009202757017950364,0.01604383280662305,0.007332507604057807,0.0002745925409312946,0.03202085096241121,0.0002998634976095452,-0.0005056531823439125,0.0009093443502087155,0.005155847483146509,0.02190009842805456
FSK,0.003700078855161393,0.0025850953200632215,0.015009411541641825,0.006505025518034408,0.004232403605469502,0.0029129345910402504,0.0028225642366869934,0.0038562523718517847,0.001616475215138259,0.0016214120023650598,0.0026460523732940657,0.004633969180308063,0.004043727898027395,0.0032744265246109133,0.0030891455182340466,2.249998493343311e-06,0.005560507226147691,-0.00015177781524627014,0.0001301047526205787,-0.000329613735965183,0.0012966060328384766,0.006473333342259796
GGB,0.004238330449680057,0.001138631534983002,0.021107400692158322,0.004232403605469502,0.021441160415892425,0.006227048307842459,0.00329077848586617,0.004841259726653177,0.009150118547684691,0.006622708570497183,0.007336744527754813,0.004467451293053462,0.008801829784448708,0.004518719079461675,0.006570366045728893,3.327398350426734e-05,0.00909339545640467,0.0004547337043432034,-0.00047507314835280656,0.003276127153838834,0.004545167767377161,0.017241497949185853
GOGL,0.0007625561824242764,0.0003710571996854884,0.005349360432991966,0.0029129345910402504,0.006227048307842459,0.007943653225015737,0.0015154650480262463,0.0009469953305355364,0.0018187215364493237,0.0025782688958270405,0.0034506819586739394,0.002184075581800435,0.004783242989448473,0.0018551709109526128,0.007936150592972431,-8.723158534652114e-05,0.0029913295324960573,0.00034905708753490923,-0.0003819473240836191,0.0014299114575397093,0.0016851435807836328,0.012009691535726692
IEP,0.001959987277973785,0.0012987488101240902,0.00829603897512631,0.0028225642366869934,0.00329077848586617,0.0015154650480262463,0.0029703234036807407,0.0021141149729484387,0.0020816422924020022,0.0014532981129841596,0.0017437047115916283,0.0024964410761257085,0.0028657490728210525,0.002103576111562403,0.0015515698500510097,-2.238104509259088e-05,0.0031691983737905374,3.092892975729931e-05,-4.3913223250201926e-05,0.0006730879883821639,0.0008913500419432111,0.003485287711878321
IVR,0.0041593294275285705,0.0024645941418919076,0.013856310380933413,0.0038562523718517847,0.004841259726653177,0.0009469953305355364,0.0021141149729484387,0.00911393571836664,0.0018058228933996569,0.0017170140895798503,0.0015510549390988805,0.00883850058824213,0.0019125652847623335,0.003428132089938423,0.0008245076395561,0.0002133510434015894,0.00547328196282342,-0.0007111799772568172,0.0007721899233413306,0.00011668485069065065,0.0011518816832246641,0.0045418083550270326
KIROY,0.0033934954840745086,0.00013765261764458637,0.014857511405200691,0.001616475215138259,0.009150118547684691,0.0018187215364493237,0.0020816422924020022,0.0018058228933996569,0.01717044804940294,0.004470032465349687,0.004531478943723671,0.001666442579138805,0.004921214948970124,0.002766725726302049,0.0029327722103133294,3.8742211672496604e-05,0.005266401257407485,0.000311224006422684,-0.00033956591423624287,0.0019284642208100048,0.0029121261418150247,0.004699314385859652
LIFZF,0.0023340199868109803,6.188736567723198e-05,0.009117463084999531,0.0016214120023650598,0.006622708570497183,0.0025782688958270405,0.0014532981129841596,0.0017170140895798503,0.004470032465349687,0.004182496249148572,0.0038386622565687117,0.002009495721780528,0.0034381983359455886,0.002093799967043827,0.002784103813959216,3.271523593646305e-05,0.0036657465748615317,0.00013624752885118334,-0.000160871528294402,0.0019561120377909404,0.0016355400325975835,0.005618193590463432
MSB,0.002371760493850046,0.00017622653912993574,0.011052376763175413,0.0026460523732940657,0.007336744527754813,0.0034506819586739394,0.0017437047115916283,0.0015510549390988805,0.004531478943723671,0.0038386622565687117,0.008470264437985996,0.0015262471469034544,0.0060211610735823855,0.002508669304363862,0.0036947850558898465,4.9126023795482366e-05,0.004926637166221624,1.12087213245418e-05,-2.096262250890863e-06,0.0029031066660435718,0.002102820430376146,0.007394117882695855
