,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,LIFZF,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.05072558080673151,0.008842519013349332,0.04384857778314164,0.010808356492796075,0.007372856790364983,0.004535998730352703,0.0023756831524759914,0.010359232276036426,0.010193943002680882,0.004078566183820819,0.011340655204673073,0.0025651924443735297,0.01126587180795336,0.002373549168697484,0.00020610381705489923,0.042055172129508725,-0.00020012218176498968,2.4669189419176945e-05,-0.0013937163271308445,0.011872526201374913
CLM,0.008842519013349332,0.026249960072719798,0.010455327209943441,0.0067779568178921844,0.0020807369106379298,0.0015574043473174602,0.0012749819522117991,0.005528327685626792,0.0004860735708569994,0.0006479727311696472,0.006287410552515467,0.002274838181056381,0.0031448127365265336,0.0005123224995040866,0.00022342029818331812,0.01104474466373968,-0.0015435912215329157,0.000937004106049613,-0.0012176099655189527,0.003287866875422543
FNGU,0.04384857778314164,0.010455327209943441,0.049622250863423555,0.014394447068413457,0.011243335401592676,0.008655953011159455,0.0031725976346981453,0.011116828177708475,0.012328843254584445,0.006270576471882429,0.011834499336598392,0.0046396017489425895,0.011874172020727321,0.004095870917467082,8.838281402558058e-05,0.048112066067167815,0.0004029008203408367,-0.0003270770940602645,0.0002647669323724168,0.013739084694330002
FSK,0.010808356492796075,0.0067779568178921844,0.014394447068413457,0.011662738205009644,0.003951255451176304,0.007230930904163755,0.0018681590905545182,0.005820646763149356,0.004069126600327269,0.0031043701308455583,0.0063541417923257525,0.0036395079875939807,0.004585638372430114,0.0025958500325978153,-8.515679850103293e-07,0.016107380681336866,-0.00015557284162797983,6.214814333445816e-05,-0.0003747140536246874,0.0072067005742257354
GGB,0.007372856790364983,0.0020807369106379298,0.011243335401592676,0.003951255451176304,0.011218286225014164,0.008589122524820277,0.0012529311443652445,0.003971085528951549,0.008980638258521172,0.004851394127450656,0.0032369971793165062,0.004496051013605592,0.003355858434309448,0.0032181539499080833,4.791486822492476e-06,0.014945789404699733,0.00043354113530128825,-0.0002636880289555339,0.002401825553285145,0.010504267019348378
GOGL,0.004535998730352703,0.0015574043473174602,0.008655953011159455,0.007230930904163755,0.008589122524820277,0.028438146609739114,0.0014491370895341738,0.0022862235493315837,0.00962690279946011,0.006000194030641853,0.004241360416180112,0.006554036251154989,0.0037404296035704085,0.009753896126018359,-7.443165272437278e-05,0.013382873794308572,0.000779530506222166,-0.0004892883124446825,0.0031763969841821747,0.01846630727940135
IEP,0.0023756831524759914,0.0012749819522117991,0.0031725976346981453,0.0018681590905545182,0.0012529311443652445,0.0014491370895341738,0.0007283645139655752,0.0012358616931832005,0.0015161509739828483,0.0008786760129574698,0.001358782040550424,0.0010231280527648798,0.0011180761134921562,0.000530833329176277,-2.799736248261127e-06,0.0038913753973708384,2.5391755097754578e-05,-2.163513624016189e-05,0.00041353722233459356,0.0016529180284870306
IVR,0.010359232276036426,0.005528327685626792,0.011116828177708475,0.005820646763149356,0.003971085528951549,0.0022862235493315837,0.0012358616931832005,0.011834489957820507,0.003749344415658073,0.0013807473516279718,0.01026110186031271,0.0015547238589988111,0.00405202967613153,0.0007584631929740946,0.00014780409398564248,0.013162827824367437,-0.000842374666993618,0.0005081692816008894,0.00015093500177744401,0.004329785367590686
LIFZF,0.010193943002680882,0.0004860735708569994,0.012328843254584445,0.004069126600327269,0.008980638258521172,0.00962690279946011,0.0015161509739828483,0.003749344415658073,0.01417482980345308,0.0062517962757791794,0.004179049674783238,0.004672563498307464,0.004088202555885768,0.0036530399335354836,2.169277972710619e-05,0.014780932231352174,0.00033544915355797214,-0.00021736804656965754,0.003512032558730342,0.008693914267192255
MSB,0.004078566183820819,0.0006479727311696472,0.006270576471882429,0.0031043701308455583,0.004851394127450656,0.006000194030641853,0.0008786760129574698,0.0013807473516279718,0.0062517962757791794,0.0060704230065996775,0.001153596944875432,0.0035787142558620856,0.002162581792024583,0.0022594837116929303,2.713479247954466e-07,0.008953036432174374,0.00018944779031440366,-0.00011507425621497326,0.00209046388270005,0.005335588183249719
