,ARKK,CLM,FNGU,FSK,GGB,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.043881694,0.004815848,0.082173813,0.00679081,0.008428032,0.002415844,0.002281815,0.016043968,0.006281824,0.00576052,0.004195038,0.003325989,0.004045949,0.000201123,0.031811524,-8.93E-05,-1.05E-05,-0.002296675,0.013704051
CLM,0.004815848,0.008906553,0.012377215,0.002697063,0.001520898,0.000539302,0.000783403,0.005395317,0.000627415,0.002042448,0.002393001,0.000584045,0.000581775,0.0001311,0.005280819,-0.000565302,0.001175608,-0.001101696,0.002463935
FNGU,0.082173813,0.012377215,0.202133113,0.019671931,0.028017633,0.010201904,0.006617514,0.037464109,0.021049185,0.013031226,0.016557525,0.007616313,0.015558468,0.000198182,0.079105036,0.000590691,-0.001591429,0.000264125,0.034418787
FSK,0.00679081,0.002697063,0.019671931,0.005400569,0.003344834,0.002906293,0.001338385,0.006462195,0.003494321,0.002355235,0.004456658,0.00098913,0.003407202,-1.98E-06,0.008925418,-5.14E-05,6.05E-05,-0.000373791,0.006212718
GGB,0.008428032,0.001520898,0.028017633,0.003344834,0.017250124,0.006314002,0.001634038,0.008047854,0.009975235,0.002158873,0.009979806,0.001319644,0.007756337,4.92E-06,0.015104434,0.000361214,-0.000750407,0.004792301,0.016540993
GOGL,0.002415844,0.000539302,0.010201904,0.002906293,0.006314002,0.010073106,0.000888457,0.002225342,0.005925279,0.001377333,0.006931089,0.000702885,0.011363597,-4.37E-05,0.006436093,0.000301141,-0.000646647,0.002978863,0.013927214
IEP,0.002281815,0.000783403,0.006617514,0.001338385,0.001634038,0.000888457,0.000802702,0.002000899,0.001512783,0.000750255,0.001938356,0.000369533,0.001058545,-4.37E-06,0.003309345,2.68E-05,-6.87E-05,0.000727837,0.002195857
IVR,0.016043968,0.005395317,0.037464109,0.006462195,0.008047854,0.002225342,0.002000899,0.035460158,0.003854443,0.009944814,0.004210162,0.002162368,0.002279525,0.000276976,0.017814878,-0.000955957,0.001967158,-0.000246487,0.008680942
MSB,0.006281824,0.000627415,0.021049185,0.003494321,0.009975235,0.005925279,0.001512783,0.003854443,0.016732712,0.001054436,0.010576572,0.00114036,0.00734789,9.18E-07,0.012131199,0.000203571,-0.000423205,0.005543531,0.011254991
ORC,0.00576052,0.002042448,0.013031226,0.002355235,0.002158873,0.001377333,0.000750255,0.009944814,0.001054436,0.004396541,0.001909731,0.000767122,0.001910668,7.96E-05,0.006137311,-0.000123678,0.000222681,-3.75E-05,0.003624798
PBR,0.004195038,0.002393001,0.016557525,0.004456658,0.009979806,0.006931089,0.001938356,0.004210162,0.010576572,0.001909731,0.017986954,0.001253807,0.008345955,2.09E-05,0.009957552,6.82E-05,-0.000145561,0.005730768,0.0127961
RYLD,0.003325989,0.000584045,0.007616313,0.00098913,0.001319644,0.000702885,0.000369533,0.002162368,0.00114036,0.000767122,0.001253807,0.000460264,0.00083203,7.49E-06,0.003549283,-1.57E-06,-1.26E-05,0.000162201,0.001942984
SBLK,0.004045949,0.000581775,0.015558468,0.003407202,0.007756337,0.011363597,0.001058545,0.002279525,0.00734789,0.001910668,0.008345955,0.00083203,0.01628776,-5.97E-05,0.008563549,0.000412497,-0.000905137,0.003768657,0.018424515
SHY,0.000201123,0.0001311,0.000198182,-1.98E-06,4.92E-06,-4.37E-05,-4.37E-06,0.000276976,9.18E-07,7.96E-05,2.09E-05,7.49E-06,-5.97E-05,2.10E-05,5.56E-05,-5.75E-05,0.000122315,2.59E-06,1.18E-05
SOXL,0.031811524,0.005280819,0.079105036,0.008925418,0.015104434,0.006436093,0.003309345,0.017814878,0.012131199,0.006137311,0.009957552,0.003549283,0.008563549,5.56E-05,0.040187684,0.000266003,-0.000637133,0.002069773,0.021155837
TBF,-8.93E-05,-0.000565302,0.000590691,-5.14E-05,0.000361214,0.000301141,2.68E-05,-0.000955957,0.000203571,-0.000123678,6.82E-05,-1.57E-06,0.000412497,-5.75E-05,0.000266003,0.00032233,-0.000690285,0.000273203,0.00031397
TLT,-1.05E-05,0.001175608,-0.001591429,6.05E-05,-0.000750407,-0.000646647,-6.87E-05,0.001967158,-0.000423205,0.000222681,-0.000145561,-1.26E-05,-0.000905137,0.000122315,-0.000637133,-0.000690285,0.00148644,-0.000606376,-0.000699329
USOI,-0.002296675,-0.001101696,0.000264125,-0.000373791,0.004792301,0.002978863,0.000727837,-0.000246487,0.005543531,-3.75E-05,0.005730768,0.000162201,0.003768657,2.59E-06,0.002069773,0.000273203,-0.000606376,0.008659729,0.002717231
ZIM,0.013704051,0.002463935,0.034418787,0.006212718,0.016540993,0.013927214,0.002195857,0.008680942,0.011254991,0.003624798,0.0127961,0.001942984,0.018424515,1.18E-05,0.021155837,0.00031397,-0.000699329,0.002717231,0.040568374
