,ARKK,CLM,FNGU,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.017788726969486995,0.004653028358431954,0.05123735012209984,0.003617218504361349,0.006717472169234869,0.0003548285050792731,0.0029719490325773013,0.0008511797967382337,0.008389824805007927,0.0019242856519901602,0.004246518349808948,0.00108111318698673,0.0039594466177598495,0.004225698969639082,0.0002027299913815191,0.00920336976970158,3.493444185770946e-05,-0.00026235886292707346,-0.0015754598572003745,0.00628772181596464
CLM,0.004653028358431954,0.02022763228489558,0.018010456847679907,0.003337758150474139,0.0032013464399061574,-0.0006867612058909543,0.0013894359945600826,0.0007256959954665114,0.006750516063752794,0.0003713017204732728,0.003599362120916425,0.0013695410482296067,0.0016708639282543907,0.0011109759653343196,0.00031926880460166345,0.0034823060939855443,-0.0010515482159214524,0.002567276018565008,-0.0016048625511205427,0.0027507213113610626
FNGU,0.05123735012209984,0.018010456847679907,0.19274288870740028,0.015595872191841081,0.03326270353267385,0.0057958216628190735,0.01908225011692816,0.0037286729213421633,0.029706573852130345,0.010323205036281115,0.014433454322706322,0.006290479319424633,0.013911598459276022,0.023552687295728722,0.0003027904390072137,0.03516682116444877,0.0012374498796922453,-0.003548875068390662,0.0001852372307407349,0.023622312066587308
FSK,0.003617218504361349,0.003337758150474139,0.015595872191841081,0.003487098856201994,0.0033980010025120564,0.0016615008169224576,0.004617598580587215,0.0006282926746693506,0.00427822345083869,0.001520114969176077,0.002179483006880645,0.0012898999856960603,0.00149062950210278,0.0044393506513863545,5.760492417593576e-06,0.0032668543539558777,-3.849920722850038e-05,4.3592547242539565e-05,-0.00041626084660280853,0.003681953541843632
GGB,0.006717472169234869,0.0032013464399061574,0.03326270353267385,0.0033980010025120564,0.02416722043929494,0.006302521102717308,0.01524675294454532,0.0012031225981266496,0.008237343635118166,0.006443304105728083,0.0034524444390786253,0.004521616243505748,0.0028056718223101263,0.01525074342137536,1.27607327514491e-05,0.008076302109088215,0.00043224276857009683,-0.0010506077926692508,0.0049569621556606654,0.014785643902584866
GNK,0.0003548285050792731,-0.0006867612058909543,0.0057958216628190735,0.0016615008169224576,0.006302521102717308,0.005869017394581424,0.012671988949279104,0.00035168004459135784,0.0017842463715718466,0.0025416131204295013,0.0013672738159943572,0.0020725637521846864,0.0006811080384164329,0.013296945343946355,-5.7061397367796106e-05,0.0018045045512923158,0.0003068509907076211,-0.0007662906866576418,0.0018731307515565511,0.008267681655093822
GOGL,0.0029719490325773013,0.0013894359945600826,0.01908225011692816,0.004617598580587215,0.01524675294454532,0.012671988949279104,0.03939721836322566,0.0009639836220277239,0.004158324033720037,0.005944310820251179,0.0030874393460234998,0.0047926276805569466,0.0024528012621461634,0.0350981390346151,-0.00016840613517620336,0.0058798447471362794,0.0008787300993467916,-0.0022057017454375216,0.004819431864990774,0.020054034086888394
IEP,0.0008511797967382337,0.0007256959954665114,0.0037286729213421633,0.0006282926746693506,0.0012031225981266496,0.00035168004459135784,0.0009639836220277239,0.0002842059804185302,0.0009859557562881438,0.000512244117282294,0.0005134559346694206,0.00042298676521869394,0.00041223356341561757,0.0009306935864248386,-2.963424434769236e-06,0.0008986330847678809,8.280424973970747e-06,-3.060208977905692e-05,0.00033668582950385843,0.0010262637194215466
IVR,0.008389824805007927,0.006750516063752794,0.029706573852130345,0.00427822345083869,0.008237343635118166,0.0017842463715718466,0.004158324033720037,0.0009859557562881438,0.02265485870775978,0.001942834638532006,0.008888220739007757,0.0014430184261784622,0.0033171909093275254,0.003768530413912975,0.00038956047789403126,0.006647008355544977,-0.000969333109313699,0.0023496220400650754,-0.00025996948965334796,0.005565544997226062
MSB,0.0019242856519901602,0.0003713017204732728,0.010323205036281115,0.001520114969176077,0.006443304105728083,0.0025416131204295013,0.005944310820251179,0.000512244117282294,0.001942834638532006,0.005093824699946861,0.0007283019361234565,0.0019939549357023204,0.0011487849455352214,0.005873452935846059,-2.181806070617008e-05,0.002891792648802532,0.00013173002180733238,-0.00031538041306120637,0.002525888177938791,0.0043477356301276065
ORC,0.004246518349808948,0.003599362120916425,0.014433454322706322,0.002179483006880645,0.0034524444390786253,0.0013672738159943572,0.0030874393460234998,0.0005134559346694206,0.008888220739007757,0.0007283019361234565,0.00545930715912992,0.0009101797029709296,0.0016085234892738332,0.003564772916568539,0.0001560683444473336,0.0031538715684386945,-0.00019525396685951316,0.00042438339813679504,-0.00018321401167932386,0.0033873802136764023
PBR,0.00108111318698673,0.0013695410482296067,0.006290479319424633,0.0012898999856960603,0.004521616243505748,0.0020725637521846864,0.0047926276805569466,0.00042298676521869394,0.0014430184261784622,0.0019939549357023204,0.0009101797029709296,0.002258434070943074,0.0008266602237257837,0.004565702768676651,6.315834448420219e-06,0.0016147419392412968,1.287236468396415e-05,-3.410242009448055e-05,0.001892349962274324,0.003446486513808483
