,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,ZIM
ARKK,0.0609390434506844,0.010527508979773443,0.002564801966905382,0.011744810830960531,0.005577193136589165,0.008672432692767492,0.0014617017991860406,0.015076474619361587,0.005474482020163022,0.005201262580073077,0.0013992853114045932,0.007915433400164882,0.0026543012226256796,0.00027002467646128353,0.08338433668200487,0.0003914424766618599,-0.0006205336207411226,-0.001430311405096387,0.014999271593863323
CLM,0.010527508979773443,0.03370611591251524,0.0017968065350878,0.004142389387877144,0.0029141604644512577,0.006103722346418605,0.001224655793283768,0.009229928510343743,0.0007672817043989,0.003651916267612333,0.0021393003624748342,0.0024109767258715257,0.0018305041605583099,0.0004329869458969914,0.023412961272780128,-0.0033924509240739163,0.0031243579750568264,-0.0010087686988768734,0.006223973273826461
FSK,0.002564801966905382,0.0017968065350878,0.0005066577062527971,0.000997551339224841,0.001601848290422662,0.001521757541592903,0.00027205447165284605,0.0016224345574780696,0.0006045627793041231,0.0005662057289110383,0.00040378595027703814,0.0005940713852729991,0.00048095870209870293,1.1476000272332146e-05,0.005805294879077729,-3.6096763376259715e-05,6.663928812210674e-06,-8.401923068700414e-05,0.0015481586937735445
GGB,0.011744810830960531,0.004142389387877144,0.000997551339224841,0.02548981592143076,0.013750933699163559,0.012659084638954312,0.0013472968959238809,0.008574039208943665,0.01056507892293652,0.002817021651330427,0.004772911161169722,0.002955540285424945,0.003942823477582065,0.0001552513200227164,0.03651138105159355,0.0015137252324545403,-0.001370410620017614,0.003279749635319956,0.016187953666203632
GNK,0.005577193136589165,0.0029141604644512577,0.001601848290422662,0.013750933699163559,0.03408387905519259,0.024017222827994494,0.0011745167582652223,0.006566480848826828,0.014253676632992008,0.0030491265524473475,0.004891242526755898,0.002278268912774133,0.008711780625371465,-9.256484101536835e-05,0.03006565368244793,0.001183184570905495,-0.001161972466045648,0.0030603490560637617,0.021012994151427693
GOGL,0.008672432692767492,0.006103722346418605,0.001521757541592903,0.012659084638954312,0.024017222827994494,0.02744946657670308,0.0011313565849719674,0.003945740448914615,0.012033320673270745,0.0020542172448366172,0.003976676496586858,0.002801437405657291,0.0081641916677854,-2.0441479912786258e-05,0.03128585944764664,0.0010076976624270452,-0.0010148401788319767,0.0024543980593160616,0.017971468408623088
IEP,0.0014617017991860406,0.001224655793283768,0.00027205447165284605,0.0013472968959238809,0.0011745167582652223,0.0011313565849719674,0.000421037507472694,0.0011681279225844578,0.0010984183710676945,0.0003963981016265084,0.0005139987186704076,0.0004947553946178549,0.00030156990516922084,-6.004353263626502e-07,0.004107101323092871,-7.903025592537304e-06,-6.491580846654839e-06,0.00020505834625481203,0.0012129155850010987
IVR,0.015076474619361587,0.009229928510343743,0.0016224345574780696,0.008574039208943665,0.006566480848826828,0.003945740448914615,0.0011681279225844578,0.022433514080562485,0.003592148069486633,0.005787247535188656,0.0015221067034350026,0.003496745415983797,0.0014188776324018694,0.00044364247825452805,0.030179239816825087,-0.002608732112885184,0.0023794895091257384,-0.00011529055967641867,0.006620155113644308
MSB,0.005474482020163022,0.0007672817043989,0.0006045627793041231,0.01056507892293652,0.014253676632992008,0.012033320673270745,0.0010984183710676945,0.003592148069486633,0.02499523581142933,0.0010307271503986234,0.0031376025318319268,0.0019493857242116833,0.0039325225401444395,-0.00012024063684620896,0.02464676686773733,0.0012639872318102351,-0.0012599989961571613,0.003373919018862832,0.008611516097517874
ORC,0.005201262580073077,0.003651916267612333,0.0005662057289110383,0.002817021651330427,0.0030491265524473475,0.0020542172448366172,0.0003963981016265084,0.005787247535188656,0.0010307271503986234,0.002283265378341434,0.0006504945692630922,0.0011522331579480322,0.0007540733015412807,0.0001093793720539733,0.009841355795835855,-0.00044021616903262747,0.00037570034814746206,-0.000174426018682754,0.0027554339590900975
PBR,0.0013992853114045932,0.0021393003624748342,0.00040378595027703814,0.004772911161169722,0.004891242526755898,0.003976676496586858,0.0005139987186704076,0.0015221067034350026,0.0031376025318319268,0.0006504945692630922,0.0023127561204880974,0.0008176854104234019,0.0012658847313761093,3.217923116273354e-05,0.006950972079753112,0.0003137766274261932,-0.0003102415428290937,0.0013036857474389182,0.00390925854423187
RYLD,0.007915433400164882,0.0024109767258715257,0.0005940713852729991,0.002955540285424945,0.002278268912774133,0.002801437405657291,0.0004947553946178549,0.003496745415983797,0.0019493857242116833,0.0011522331579480322,0.0008176854104234019,0.0020044364828123167,0.0008065323375783578,2.7928875254872808e-05,0.01489776915896676,0.00010813113745053889,-0.00015395273002594806,4.279604029150434e-05,0.0031350925761472748
SBLK,0.0026543012226256796,0.0018305041605583099,0.00048095870209870293,0.003942823477582065,0.008711780625371465,0.0081641916677854,0.00030156990516922084,0.0014188776324018694,0.0039325225401444395,0.0007540733015412807,0.0012658847313761093,0.0008065323375783578,0.00308893092475869,-2.7178121457815186e-05,0.010065831169538873,0.000326748833410261,-0.0003341899956493869,0.0007382607387537242,0.0062286924793092
SHY,0.00027002467646128353,0.0004329869458969914,1.1476000272332146e-05,0.0001552513200227164,-9.256484101536835e-05,-2.0441479912786258e-05,-6.004353263626502e-07,0.00044364247825452805,-0.00012024063684620896,0.0001093793720539733,3.217923116273354e-05,2.7928875254872808e-05,-2.7178121457815186e-05,6.594205270900558e-05,0.00010413325755451256,-0.0003473408505217671,0.000327929020508241,-2.068208305417268e-05,-1.8945330809588404e-05
SOXL,0.08338433668200487,0.023412961272780128,0.005805294879077729,0.03651138105159355,0.03006565368244793,0.03128585944764664,0.004107101323092871,0.030179239816825087,0.02464676686773733,0.009841355795835855,0.006950972079753112,0.01489776915896676,0.010065831169538873,0.00010413325755451256,0.18303729498353696,0.004314193833165423,-0.004223114881085966,0.0014509498906960744,0.03841930367891699
TBF,0.0003914424766618599,-0.0033924509240739163,-3.6096763376259715e-05,0.0015137252324545403,0.001183184570905495,0.0010076976624270452,-7.903025592537304e-06,-0.002608732112885184,0.0012639872318102351,-0.00044021616903262747,0.0003137766274261932,0.00010813113745053889,0.000326748833410261,-0.0003473408505217671,0.004314193833165423,0.004151014464574482,-0.0039021295341464903,0.0008871250771530316,0.001413202005414134
TLT,-0.0006205336207411226,0.0031243579750568264,6.663928812210674e-06,-0.001370410620017614,-0.001161972466045648,-0.0010148401788319767,-6.491580846654839e-06,0.0023794895091257384,-0.0012599989961571613,0.00037570034814746206,-0.0003102415428290937,-0.00015395273002594806,-0.0003341899956493869,0.000327929020508241,-0.004223114881085966,-0.0039021295341464903,0.003689863434349667,-0.0008644392803030307,-0.0013563426114740129
