,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,IVR,MSB,ORC,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,XYLD,ZIM
ARKK,0.07292491732981547,0.026200830919529395,0.001552014726010406,0.005817672681332469,-0.028863094048300578,0.004259338440753705,0.004221789750160349,0.004275791152068953,-0.0007918278456016808,0.007737261048293813,-0.021189086138821166,0.0014787535964290866,0.004550108420186485,-0.0006307124538795738,0.027999270769100852,-0.00044519698805911036,2.7877188727250153e-07,-0.01780225616949373,0.0007585642415775007,0.02003734706039876
CLM,0.026200830919529395,0.02078524307288842,0.0007552394662078807,0.0031868816866499616,-0.010323657436318722,0.0027664163570456793,0.0023647073647306573,0.004134895537785892,-0.0009313119410099178,0.005589881788490843,-0.003858040361986086,0.0007507585860752423,0.003580737851358216,-0.0001617510031213339,0.00927970142761825,-0.0007515138564738195,0.0009680053757734988,-0.0068644806596177875,0.0003815352500327533,0.010375456670914078
FSK,0.001552014726010406,0.0007552394662078807,7.447899656006856e-05,0.00024063250057761352,-0.00030678890964952677,0.0002073976788279757,0.0001706840775492931,0.00043272340622440945,-1.388010260862037e-05,0.00039210478979962257,-0.00013660431735486328,6.752125195398679e-05,0.00021193937911446792,-8.798292966507219e-06,0.0008111916484181471,-6.914024581749717e-06,-5.311829980057546e-06,-0.00032368539753808886,3.15640227842478e-05,0.0007055738727135122
GGB,0.005817672681332469,0.0031868816866499616,0.00024063250057761352,0.002155088324388674,-0.0009380898678149012,0.001454548986746652,0.0010030220820351102,0.0013818499397155756,0.0009948637229264872,0.001361753076415278,0.0010537229523062456,0.00019261156882992915,0.002221112679903721,-6.253380592111732e-05,0.0032920325862188815,0.000311342446307741,-0.0005905371948036202,0.00023196272221818765,9.127433093230952e-05,0.0038475093072863438
GNK,-0.028863094048300578,-0.010323657436318722,-0.00030678890964952677,-0.0009380898678149012,0.04492879899825289,0.0038472908550518845,-0.0013917665987654088,0.0075823979352903585,0.005034448505847088,0.0027421579649268314,0.021078026023548666,0.0001860010005359487,0.011366773930711793,0.000688610281070722,0.002729345648669771,-0.00012386360478756767,0.0008054259135008736,0.01588573387652864,0.00013777701599079124,0.006444749008732704
GOGL,0.004259338440753705,0.0027664163570456793,0.0002073976788279757,0.001454548986746652,0.0038472908550518845,0.0034983470496735454,0.0007722336240983367,0.0008851300470084401,0.0014231509904863008,0.0013985337641771738,0.0008332820323451876,0.00021746546367235574,0.005369783235143942,-4.0812351297058766e-05,0.003585415136462906,0.00016962048123364245,-0.0003669756430057419,0.0007130978796497585,9.439425817377464e-05,0.006351461132544537
IEP,0.004221789750160349,0.0023647073647306573,0.0001706840775492931,0.0010030220820351102,-0.0013917665987654088,0.0007722336240983367,0.0013613675082393797,0.0011396812229198803,0.0005082439437505965,0.0017115741866016532,-0.0001916717266176812,0.0001968363250172712,0.0005933899499045192,-3.500084290080558e-05,0.002121907343792991,-7.991003510969045e-05,7.693300670873166e-05,-0.000469131234882694,8.031684155285076e-05,0.0010755190797530662
IVR,0.004275791152068953,0.004134895537785892,0.00043272340622440945,0.0013818499397155756,0.0075823979352903585,0.0008851300470084401,0.0011396812229198803,0.012735246586322966,0.0008111611403480793,0.00656717442758054,0.0050301200356077744,0.0007409998370079434,0.0015671618067077248,0.00024471177596552257,0.006550495947102184,-0.0010697869324007663,0.0018823825667522755,0.0011831328333879636,0.00034443238449857744,0.0034347195089782447
MSB,-0.0007918278456016808,-0.0009313119410099178,-1.388010260862037e-05,0.0009948637229264872,0.005034448505847088,0.0014231509904863008,0.0005082439437505965,0.0008111611403480793,0.005157966319832561,0.00039280342292369997,0.0023062968009289323,4.477529520820112e-05,0.003495113983653852,3.6549153585827866e-06,0.0024406054062660765,0.0004691147274214624,-0.0008087381458307213,0.003153942106980261,5.2151393862212283e-05,0.0024985950309005483
ORC,0.007737261048293813,0.005589881788490843,0.00039210478979962257,0.001361753076415278,0.0027421579649268314,0.0013985337641771738,0.0017115741866016532,0.00656717442758054,0.00039280342292369997,0.006584331881429627,0.0016340890034730394,0.0005716784882261813,0.0021317359811708126,8.003180414622967e-05,0.005420130756378947,-0.000499740635957482,0.0008081954861817192,-0.0009249750162942996,0.00026263526798014735,0.0019034066316102412
