,ARKK,CLM,FSK,GGB,GNK,GOGL,IEP,MSB,PBR,RYLD,SBLK,SHY,SOXL,TBF,TLT,USOI,XYLD,ZIM
ARKK,0.06046926397577585,0.008197829686834118,0.01089274784295375,0.014965808113632382,-0.013200945555361204,0.008696977113142632,0.004084456560231306,-0.0001513883175066477,-0.02567940294637965,0.003948054909556397,0.004141355874706444,-0.0007609169031358335,0.06323753080000429,-0.0007688064634001568,1.586519295883777e-07,-0.018691930285359683,0.0029882058622182814,0.007470235762149352
CLM,0.008197829686834118,0.002351435639267463,0.001995694254260085,0.0029527307041296346,-0.0019171852532801745,0.0019467984667226172,0.0008616520601531806,-0.00012486326370322239,-0.0017237548806696237,0.0007464689951293211,0.0008903411764273975,-7.524833071022838e-05,0.007713116317440408,-0.0003938322293043624,5.232640673357741e-05,-0.002677761785137177,0.0005554005535770603,0.0012733660917303834
FSK,0.01089274784295375,0.001995694254260085,0.004364333011546663,0.004952483908616642,-0.001325128048516978,0.0031216350753346315,0.0014508384718934818,7.203755241943232e-05,-0.0012014708149465617,0.0015063981475802518,0.0013018225639338933,-8.369720657090922e-05,0.015364022183454515,-0.00018964016778549687,1.0790992220066604e-05,-0.0026295986656508265,0.0010202565238446716,0.0020239072643097227
GGB,0.014965808113632382,0.0029527307041296346,0.004952483908616642,0.015958054048827698,-0.0020468676013215906,0.00728443239782025,0.003058939833617863,0.0016000556335159508,0.004190519092044689,0.0015393858300734023,0.004009093754006844,-0.00022621050166510693,0.021602371519296296,0.001659077638420482,-0.00036638631896027265,0.0010728506930750739,0.0011116193807270958,0.0035605032515266056
GNK,-0.013200945555361204,-0.0019171852532801745,-0.001325128048516978,-0.0020468676013215906,0.011942394470500464,0.003882961546200302,-0.000703350472381373,0.0013245583476212666,0.015381131964452741,0.00031585292713226515,0.004188783941591547,0.0004688725889567838,0.0033138938713798203,0.0002202379885901337,1.9266795680788897e-05,0.009926618402786634,0.000397574657099132,0.0006334193879515649
GOGL,0.008696977113142632,0.0019467984667226172,0.0031216350753346315,0.00728443239782025,0.003882961546200302,0.013958234630767374,0.0017196313371284117,0.0015138919247854594,0.0030363942262276278,0.0013527355796871764,0.008068933655252264,-0.00011061637073315033,0.017818916023681904,0.0009745974713057552,-0.00023291697588458417,0.0021050863290084268,0.0009622062318682751,0.0043011688605999274
IEP,0.004084456560231306,0.0008616520601531806,0.0014508384718934818,0.003058939833617863,-0.000703350472381373,0.0017196313371284117,0.0015611486400257015,0.0003311300456738784,-0.0003883979488898952,0.0006236862017122152,0.0006086604206290355,-4.819508834362926e-05,0.006008906819470065,-0.00023374694545467156,3.295493160688771e-05,-0.0005349166115483369,0.0003493860051663343,0.0005730402639965922
MSB,-0.0001513883175066477,-0.00012486326370322239,7.203755241943232e-05,0.0016000556335159508,0.0013245583476212666,0.0015138919247854594,0.0003311300456738784,0.0015507955866291088,0.0016048165165409062,0.00011849556960782867,0.0014610672547840655,2.5147164776269304e-06,0.0037127796210023106,0.0003869538917888427,-7.704859242152457e-05,0.0020159600121530193,0.0001319992827586426,0.000578661283932119
PBR,-0.02567940294637965,-0.0017237548806696237,-0.0012014708149465617,0.004190519092044689,0.015381131964452741,0.0030363942262276278,-0.0003883979488898952,0.0016048165165409062,0.05091402585783218,0.0005326728005645288,0.0026952859514800536,0.000933666451162257,-0.007892744036792807,0.0026767494617035894,-0.00040799641491399963,0.021900896360858714,0.0004342905276462713,-0.0003822132907674294
RYLD,0.003948054909556397,0.0007464689951293211,0.0015063981475802518,0.0015393858300734023,0.00031585292713226515,0.0013527355796871764,0.0006236862017122152,0.00011849556960782867,0.0005326728005645288,0.0011386504498796563,0.0006735808298136284,2.5159723655448977e-05,0.009104486270057355,-0.0004898156766681115,9.058395541626468e-05,-0.0007502460612021328,0.0007736365675670182,0.0007853885345675438
