,ARKK,CLM,CRF,FSK,GGB,GNK,GOGL,IEP,MSB,PBR,RYLD,SBLK,SHY,SOXL,SVOL,TBF,TLT,USOI,XYLD,ZIM
ARKK,0.015013121774262608,0.006327050543975798,0.004069815631448239,0.005048346159314581,0.005797147976985908,0.0014663598509813518,0.006009737149014551,0.0013339359246113214,-3.7908318211481454e-05,0.002387015063691473,0.004959412963933383,0.0070434546630371965,5.710784009199304e-05,0.041250132063129906,0.004651198095713323,-0.00064008115823934,0.001822356296206467,-0.0016277068243204362,0.004072529442673652,0.003453046889550589
CLM,0.006327050543975798,0.011120528836075613,0.0069125805250982025,0.003964383327582086,0.0038676607263175653,0.0013026611031952476,0.006647681552258572,0.0017848635128314865,-0.0009490514329943545,0.005568085970102624,0.0038346166115480656,0.006563255410956276,7.270116648102605e-05,0.01914129784753745,0.0026764660820189795,-0.0008910472275514738,0.0024486022694999755,-0.001145297067340566,0.003014649628160487,0.00261476196555185
CRF,0.004069815631448239,0.0069125805250982025,0.004915582604486469,0.0023047084826035773,0.002083359384165608,0.00047353924092455026,0.003483633620982487,0.0009549342017313793,-0.0011900121841529482,0.0030530582830284917,0.0023405878534805144,0.0032149117782645778,2.8222008745077506e-05,0.012044373126454651,0.001402911523770101,-0.0003922640726171557,0.0010245902037896279,-0.00046911054478780435,0.001773189307698066,0.0015168226044027019
FSK,0.005048346159314581,0.003964383327582086,0.0023047084826035773,0.005031976886638007,0.0051263733552196255,0.001403207751335962,0.005433116953643525,0.0019020230708358713,0.0004119336470929863,0.005646921058157603,0.0035236741125556116,0.004518618797807587,4.226668661545931e-05,0.02015443904410066,0.00293137768213766,-0.00032119328100510953,0.0009015601828745741,6.918717858230427e-07,0.0025610194384792532,0.0020870120435127187
GGB,0.005797147976985908,0.0038676607263175653,0.002083359384165608,0.0051263733552196255,0.025515344382380813,0.003920254483992841,0.017017108076282657,0.0044976993707512005,0.006061953107593531,0.021701895883406253,0.0045527482999950086,0.015462137376541259,1.7402381300023416e-05,0.03392559752988682,0.003432602378016776,0.00046237910847943,-0.0012936115753335387,0.010581482150286255,0.0036992869629263554,0.004467517759349123
GNK,0.0014663598509813518,0.0013026611031952476,0.00047353924092455026,0.001403207751335962,0.003920254483992841,0.0043224246887634,0.013064711297138555,0.001048723268872265,0.0026496297567925905,0.006458252888287458,0.0014896322227905972,0.013827555739158136,-7.927159012755244e-06,0.01248762873954287,0.0002554165772365644,0.00017859753080581254,-0.000515815168292826,0.00420167267567315,0.0011364657426246264,0.0029046139164413203
GOGL,0.006009737149014551,0.006647681552258572,0.003483633620982487,0.005433116953643525,0.017017108076282657,0.013064711297138555,0.05701970757174852,0.0042026714462407525,0.007881892006206552,0.020691207645624446,0.006173457200167755,0.05205822515640536,-3.519152628655931e-05,0.045320681679640956,0.0011924664556269842,0.0007586775661692492,-0.002365821207369388,0.011723270344127373,0.004631338956238422,0.010507192217734442
IEP,0.0013339359246113214,0.0017848635128314865,0.0009549342017313793,0.0019020230708358713,0.0044976993707512005,0.001048723268872265,0.0042026714462407525,0.00290432352170034,0.0014647117221146635,0.003604033140456873,0.0016722364704199859,0.0024303734372473425,1.381804023498266e-05,0.009962041709998077,0.0014151429758085283,-0.00023793603412170742,0.0006526145114478398,0.0011713781782079489,0.001211877234388546,0.001025208061749021
MSB,-3.7908318211481454e-05,-0.0009490514329943545,-0.0011900121841529482,0.0004119336470929863,0.006061953107593531,0.0026496297567925905,0.007881892006206552,0.0014647117221146635,0.008287949272152578,0.006404364065439406,0.0009063653996036724,0.009149148348625189,-3.11362270344194e-05,0.010112526982222396,-7.3743908328374935e-06,0.0004565894219441454,-0.0013122235488106843,0.005671638939657885,0.0006614850136022028,0.0018936805490370804
PBR,0.002387015063691473,0.005568085970102624,0.0030530582830284917,0.005646921058157603,0.021701895883406253,0.006458252888287458,0.020691207645624446,0.003604033140456873,0.006404364065439406,0.0463997909065131,0.004037367435055938,0.019648725368235614,4.1122799281316877e-05,0.02219603491470641,0.002327484305302346,-0.0003789798359778084,0.001029357509253019,0.014042552733759556,0.0027360097958267294,0.006067279983023084
