,ARKK,CLM,CRF,GNK,GOGL,IEP,MSB,PBR,RYLD,SBLK,SHY,SOXL,SVOL,TBF,TLT,USOI,XYLD,ZIM
ARKK,0.026453559828432786,0.00567596617969899,0.008006508197971201,0.0031787543306388785,0.001467953256088814,0.0023679936932422437,-0.0011086190477076288,0.0015095026726368802,0.00669504360052964,0.007023331295324495,0.0003760352119433601,0.009452672943865984,0.0051568293683399045,-0.0014092767995782204,0.00048425712484283305,-0.0020541667653873608,0.004885775130939667,0.005996756103744383
CLM,0.00567596617969899,0.006090366815900435,0.008007178604689209,0.0010921839474485099,0.0009162071467096064,0.0016442451156967787,-0.002763130957524209,0.001843830649703774,0.002593727812322404,0.003307969687114926,0.00022226736294791974,0.002132096565321983,0.0011589692635750515,-0.0011810979602290433,0.0003783327835778352,-0.0008450652870852173,0.0017609889890381602,0.00221577523709426
CRF,0.008006508197971201,0.008007178604689209,0.011209054398696088,0.0009511476858647443,0.0010302988654910643,0.002085657420794878,-0.0042790881585325095,0.0024623363879857953,0.00363610904093032,0.0036403717243427983,0.0002241751069471069,0.003135360575194636,0.001709532018118068,-0.0012159398638795147,0.00037072429916541874,-0.0006527600471905174,0.002469177098684673,0.002956447943108373
GNK,0.0031787543306388785,0.0010921839474485099,0.0009511476858647443,0.0242656717306296,0.0072946492829295585,0.0032326244894416013,0.012483187246601864,0.007698634580299554,0.002778831040723162,0.03254092127774654,-0.0003025567112418048,0.004462175813658727,-0.00044746737935325714,0.0023672140464628673,-0.0008700087472294405,0.010054806880203604,0.0017181357726201013,0.010269304626448126
GOGL,0.001467953256088814,0.0009162071467096064,0.0010302988654910643,0.0072946492829295585,0.0032049464106752327,0.0013605976592572075,0.0036872757114477586,0.002433922166723611,0.0012072772436769641,0.012341788952065393,-0.00010421247954607278,0.0016324046711523696,-2.7285445039449703e-05,0.0008019812520480625,-0.00030990590150548525,0.0027573715101895198,0.0007241552473903518,0.0037995747340263154
IEP,0.0023679936932422437,0.0016442451156967787,0.002085657420794878,0.0032326244894416013,0.0013605976592572075,0.006898788756932402,0.00435956495595162,0.002913461200671131,0.0025634534957514198,0.002651637664769152,7.921394808995905e-05,0.002572408843650261,0.0017206844702003705,-0.0005648803394195991,0.0001777051085897649,0.0018264085029136914,0.0016566577931979344,0.0018929302003519624
MSB,-0.0011086190477076288,-0.002763130957524209,-0.0042790881585325095,0.012483187246601864,0.0036872757114477586,0.00435956495595162,0.036182536179695204,0.006891647862847996,0.0015164311046641538,0.018045226837439452,-0.0005294392783059588,0.003273626104039061,-0.0006574907426945386,0.0038430249415400864,-0.0014004873525729426,0.011729496527184533,0.0009549210207388073,0.005458767026044613
PBR,0.0015095026726368802,0.001843830649703774,0.0024623363879857953,0.007698634580299554,0.002433922166723611,0.002913461200671131,0.006891647862847996,0.013741746133894178,0.0023729418469852575,0.009415370341191746,0.00010106654392505803,0.002130817246997962,0.0009545458815174539,5.994299097738187e-05,-4.394735911746828e-05,0.007481084327472491,0.001547071460997423,0.004471342365648974
RYLD,0.00669504360052964,0.002593727812322404,0.00363610904093032,0.002778831040723162,0.0012072772436769641,0.0025634534957514198,0.0015164311046641538,0.0023729418469852575,0.004850474505017523,0.004139536079407545,0.00015002373764992405,0.003955518366449033,0.0023937410412865263,-0.0003136729996179498,7.889362676886708e-05,0.00011103599091275293,0.003328946649569095,0.002591380249825059
SBLK,0.007023331295324495,0.003307969687114926,0.0036403717243427983,0.03254092127774654,0.012341788952065393,0.002651637664769152,0.018045226837439452,0.009415370341191746,0.004139536079407545,0.06254446760786482,-0.0004738255733579849,0.006209040169305384,-0.0010822170412310645,0.0038828390972275705,-0.0015120984019845773,0.012534173527092417,0.0023354273708199205,0.01748597926231591
