,CLM,CRF,GNK,GOGL,IEP,MSB,PBR,QQQX,RYLD,SBLK,SHY,SVOL,TBF,TLT,USOI,XYLD,ZIM
CLM,0.003590504353102969,0.0048565815696956696,0.0011003144099806217,0.0008786370541352462,0.0009788982428314127,-0.0013413791880331266,0.0012832825335208993,0.0034480299295924634,0.0021904829875635493,0.0034082897038184073,2.318624998588912e-05,0.0010461860533851183,-0.0007647643744717859,0.00023978475090130052,-0.0009523236325275313,0.0016531474990459966,0.002662178110806515
CRF,0.0048565815696956696,0.007038710947912097,0.0010967745054853183,0.0010337144359985615,0.0012514522441613586,-0.0022721832281896977,0.0017706646220029473,0.005143033179129025,0.003174010397877299,0.004066037188456913,2.227558165505942e-05,0.0015988541870789674,-0.0007089840972807557,0.00020516634253329503,-0.0009029991995388104,0.002395327291427924,0.003679210126211106
GNK,0.0011003144099806217,0.0010967745054853183,0.02469060619545152,0.008232503903434787,0.0034116362353334537,0.0109376356412876,0.006629829218848684,0.0034442400991011365,0.003038625107890866,0.0328126378205721,-4.523368023191182e-05,-0.0005040254591331921,0.002539168745655733,-0.0009203466440372664,0.010803530982109217,0.0020670975610473223,0.012257399607062937
GOGL,0.0008786370541352462,0.0010337144359985615,0.008232503903434787,0.004041188966844209,0.0016160568808278601,0.003456999057509819,0.0023425581694110557,0.0011731029330997217,0.001486791765833846,0.01377101928666119,-1.7846802605117785e-05,-2.6670091037858134e-05,0.0009320604228760468,-0.00035765831507845325,0.003324526337217287,0.0009836965912003723,0.004955066860568845
IEP,0.0009788982428314127,0.0012514522441613586,0.0034116362353334537,0.0016160568808278601,0.00665412922622264,0.004030410052823125,0.0025293972934158585,0.0028243990271318974,0.0027603477426330542,0.0030585893879031757,7.234651389552225e-06,0.0019658021439220353,-0.00046229199600935825,0.00014146462761170214,0.0018060296853551973,0.0019773596814384137,0.0024267783422920234
MSB,-0.0013413791880331266,-0.0022721832281896977,0.0109376356412876,0.003456999057509819,0.004030410052823125,0.028564399206451978,0.005098814290056469,0.002563582168735189,0.0013619154665943892,0.01560812165538251,-6.435548545098139e-05,-0.0006224237340948118,0.003606743538448212,-0.001296745973795526,0.011080040141550217,0.0009273287798692523,0.0057410800064814655
PBR,0.0012832825335208993,0.0017706646220029473,0.006629829218848684,0.0023425581694110557,0.0025293972934158585,0.005098814290056469,0.010034458617425367,0.0021122739444505083,0.0022008616828762618,0.008004786457923883,1.3793373697745835e-05,0.0009589995735110687,1.2842695220755573e-05,-2.7325119944528414e-05,0.006759441248773165,0.0015822378375943847,0.0044896679800337696
QQQX,0.0034480299295924634,0.005143033179129025,0.0034442400991011365,0.0011731029330997217,0.0028243990271318974,0.002563582168735189,0.0021122739444505083,0.01521830025901441,0.007114544674785868,0.0038273425060627304,5.8950432706778506e-05,0.0049254493797761655,-0.0006252156153648032,0.00020152021523169524,0.0003446363890038006,0.006068865821678265,0.004908547369293973
RYLD,0.0021904829875635493,0.003174010397877299,0.003038625107890866,0.001486791765833846,0.0027603477426330542,0.0013619154665943892,0.0022008616828762618,0.007114544674785868,0.005634527158206584,0.004476084306603827,2.4576569466498798e-05,0.003011706762812768,-0.0003862899785018391,9.549273598177211e-05,0.00014391543549614665,0.004266551881668153,0.003290486381798961
SBLK,0.0034082897038184073,0.004066037188456913,0.0328126378205721,0.01377101928666119,0.0030585893879031757,0.01560812165538251,0.008004786457923883,0.0038273425060627304,0.004476084306603827,0.06262186115933382,-6.447988614532803e-05,-0.001197631909697323,0.00398997219617667,-0.0015490064525264231,0.013564340328916642,0.0027643528478992225,0.02072131599109148
