,CLM,CRF,GNK,GOGL,IEP,MSB,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.008350535888146797,0.012453575515053711,0.000709498643355228,0.005669390627005294,0.0009835480289617957,-0.0009893302266673534,0.004968797960890166,0.005785316960701787,0.003002737841301631,0.000924257399859122,0.001641334269203593,-0.001159315199625862,-0.0005153001260766172,0.002864395175904592,0.004756658149068679
CRF,0.012453575515053711,0.0198709995692143,0.0007907777456331841,0.00746134517416444,0.0013965794075951415,-0.002035482906158821,0.007518148814146489,0.009520572201629957,0.004872125591010015,0.0012471122515359694,0.0028632222159964533,-0.0013522733596402488,-0.0005579654816580942,0.0046140212231269425,0.0074085464641404
GNK,0.000709498643355228,0.0007907777456331841,0.004876453638063004,0.01468179231435836,0.0008909630594948862,0.0028001675006092182,0.007136194368262586,0.0015913847788574347,0.0011611546756191379,0.0024714258536771925,-0.0002351420070977422,0.0010690990381068929,0.0021056630404886105,0.0009575220884832965,0.0061246800420337085
GOGL,0.005669390627005294,0.00746134517416444,0.01468179231435836,0.06574677358136154,0.003959420636242959,0.00839354118349039,0.023305598033776197,0.005235279766568163,0.005193897811548079,0.00943019757734481,-0.0002590432742996151,0.0037155542763106417,0.006113978692480537,0.004307163142546442,0.022454945511249373
IEP,0.0009835480289617957,0.0013965794075951415,0.0008909630594948862,0.003959420636242959,0.00239381375313684,0.0014900123299306633,0.003780292531455206,0.0018603706869543897,0.0014327813453166062,0.00031285439073701343,0.0011469932244276,-0.00020284638329946732,0.000537022949172952,0.001288414780332082,0.0016157221822474905
MSB,-0.0009893302266673534,-0.002035482906158821,0.0028001675006092182,0.00839354118349039,0.0014900123299306633,0.009774549782640078,0.007431988707133667,0.0018246175068930993,0.0008142078817992651,0.0015909016853476341,-0.000306331650415397,0.0018591678397952853,0.0029342549506446566,0.0007633557740856964,0.003997953647516928
PBR,0.004968797960890166,0.007518148814146489,0.007136194368262586,0.023305598033776197,0.003780292531455206,0.007431988707133667,0.05974764334021579,0.0057456650056250825,0.004776538806536526,0.0033579383422363642,0.002369889730053446,4.8577408760220454e-06,0.007410266754618878,0.00431131809521363,0.012526440175095523
QQQX,0.005785316960701787,0.009520572201629957,0.0015913847788574347,0.005235279766568163,0.0018603706869543897,0.0018246175068930993,0.0057456650056250825,0.017374527670520393,0.0065984062210468495,0.0007020973634971438,0.0052051707324998675,-0.0004945103458656865,0.0003201569411032721,0.006985104480783257,0.005864331832622688
RYLD,0.003002737841301631,0.004872125591010015,0.0011611546756191379,0.005193897811548079,0.0014327813453166062,0.0008142078817992651,0.004776538806536526,0.0065984062210468495,0.004195937646101475,0.0006354433053898614,0.0025226473486925647,-0.00011255410659287432,0.00013739411761543182,0.003919274493924604,0.003035715379314786
SBLK,0.000924257399859122,0.0012471122515359694,0.0024714258536771925,0.00943019757734481,0.00031285439073701343,0.0015909016853476341,0.0033579383422363642,0.0007020973634971438,0.0006354433053898614,0.0018024103404148662,-0.0002525705506142077,0.0007009376956058071,0.001051312702510243,0.00048706147158829386,0.003919607967715464
SVOL,0.001641334269203593,0.0028632222159964533,-0.0002351420070977422,-0.0002590432742996151,0.0011469932244276,-0.000306331650415397,0.002369889730053446,0.0052051707324998675,0.0025226473486925647,-0.0002525705506142077,0.004619715738957235,-0.0007648848696659012,-0.0005136033539624505,0.0028660171993142945,0.000579569419069644
TBF,-0.001159315199625862,-0.0013522733596402488,0.0010690990381068929,0.0037155542763106417,-0.00020284638329946732,0.0018591678397952853,4.8577408760220454e-06,-0.0004945103458656865,-0.00011255410659287432,0.0007009376956058071,-0.0007648848696659012,0.007799106778942145,0.002596764415091676,0.00010071806977837186,0.0022009933332911742
USOI,-0.0005153001260766172,-0.0005579654816580942,0.0021056630404886105,0.006113978692480537,0.000537022949172952,0.0029342549506446566,0.007410266754618878,0.0003201569411032721,0.00013739411761543182,0.001051312702510243,-0.0005136033539624505,0.002596764415091676,0.0048256576736795094,0.00015898007525670725,0.003511129977414947
XYLD,0.002864395175904592,0.0046140212231269425,0.0009575220884832965,0.004307163142546442,0.001288414780332082,0.0007633557740856964,0.00431131809521363,0.006985104480783257,0.003919274493924604,0.00048706147158829386,0.0028660171993142945,0.00010071806977837186,0.00015898007525670725,0.004320544519167735,0.0020961828204595612
ZIM,0.004756658149068679,0.0074085464641404,0.0061246800420337085,0.022454945511249373,0.0016157221822474905,0.003997953647516928,0.012526440175095523,0.005864331832622688,0.003035715379314786,0.003919607967715464,0.000579569419069644,0.0022009933332911742,0.003511129977414947,0.0020961828204595612,0.02517196608124298
