,CLM,CRF,GNK,GOGL,HYG,IEP,LQD,MSB,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.011435360226392785,0.0066532406450745315,0.0038705015459400546,0.007886882393748648,0.0027828094687681166,0.00023445827865161507,0.0019485753432720793,-0.0017185660900417095,0.0019952762925754598,0.0046889951598171374,0.003049561392127882,0.007693227513099532,0.00035968926041662436,-0.0009089566951228557,-0.00023309135842956578,0.001299468888213301,0.010378684157987607
CRF,0.0066532406450745315,0.004183683293274551,0.0015197104155487986,0.0036051775483050457,0.0017876071568623407,0.00011331521232195682,0.0012632201015390391,-0.001655335807259464,0.0011322200190474717,0.0029796785196008345,0.0018764246895583926,0.0039146123010448345,0.00028200398146153944,-0.0005312045286246565,-1.878886324223283e-05,0.0008015011755228416,0.0060484570010270015
GNK,0.0038705015459400546,0.0015197104155487986,0.06566799252605858,0.05476107274649671,0.0015162392734511749,0.0005787475214249025,-0.0014124273770493047,0.021027300252488595,0.008920006608437742,0.0035859949740523396,0.004353819114068906,0.04594783480373494,-0.00016196180290726286,0.0015039702335720767,0.006753337550570153,0.0015949060444742636,0.03875588246955817
GOGL,0.007886882393748648,0.0036051775483050457,0.05476107274649671,0.06805050162387173,0.0023408782929605753,0.0008383454982204008,-0.0008250499335515319,0.016083121846020683,0.00781963323393049,0.002066379588313573,0.004776695939548229,0.048529998555065824,-7.467231822823121e-05,0.0011449571283868672,0.005203869812166449,0.0019042501680091419,0.03800994310840229
HYG,0.0027828094687681166,0.0017876071568623407,0.0015162392734511749,0.0023408782929605753,0.003357925629788378,0.0002930493301354743,0.0021932319257580045,0.0010107539592512514,0.0012627440259064743,0.005185649942287117,0.0024661837154146284,0.0017979684743675544,0.0008101699759039929,-0.0005772618482188397,0.0002824178020903923,0.001194679379343512,0.003323064414305494
IEP,0.00023445827865161507,0.00011331521232195682,0.0005787475214249025,0.0008383454982204008,0.0002930493301354743,0.0001822355809913388,0.00017096381572848272,0.0010202456086316374,0.00034253538416130887,0.00034865105107577404,0.0003097798494639975,0.0002552097203776067,7.752873944589115e-05,-1.3451823513500116e-05,0.00027173289339839466,0.00013372277941641738,0.0006324838453459044
LQD,0.0019485753432720793,0.0012632201015390391,-0.0014124273770493047,-0.0008250499335515319,0.0021932319257580045,0.00017096381572848272,0.0029581973133101513,-0.000653032854764354,0.0007147173583433836,0.0032081769554683313,0.0014324138704622689,-0.0010893282556439401,0.0005279172960815309,-0.0018905626152128112,-0.0006329491116291911,0.0006212322278007037,-0.00022624541453595632
MSB,-0.0017185660900417095,-0.001655335807259464,0.021027300252488595,0.016083121846020683,0.0010107539592512514,0.0010202456086316374,-0.000653032854764354,0.054993221114979327,0.005935722172677575,0.004194851336815834,0.002851465027845357,0.014834681138601369,0.0001560746485340839,0.001402565578266944,0.007250331450268201,0.0008869558671421728,0.016290502392741515
PBR,0.0019952762925754598,0.0011322200190474717,0.008920006608437742,0.00781963323393049,0.0012627440259064743,0.00034253538416130887,0.0007147173583433836,0.005935722172677575,0.007764036054890533,0.0013355685276091294,0.0015260810881413888,0.0056645481376114805,0.000276668400331258,-0.00014971646837842682,0.0030139045672579494,0.000560516701365913,0.00830627028997882
QQQX,0.0046889951598171374,0.0029796785196008345,0.0035859949740523396,0.002066379588313573,0.005185649942287117,0.00034865105107577404,0.0032081769554683313,0.004194851336815834,0.0013355685276091294,0.012765841332551259,0.005286345284726273,0.0021895356598956063,0.001280319535568938,-0.0004976123967678102,0.0007640541163272446,0.0025289705051318428,0.007721878374372808
RYLD,0.003049561392127882,0.0018764246895583926,0.004353819114068906,0.004776695939548229,0.0024661837154146284,0.0003097798494639975,0.0014324138704622689,0.002851465027845357,0.0015260810881413888,0.005286345284726273,0.004383818344946303,0.0038513091711113723,0.0007347224904506251,-0.00029536275045063975,0.0005523307073159623,0.0017989252773625878,0.0049653264269412
SBLK,0.007693227513099532,0.0039146123010448345,0.04594783480373494,0.048529998555065824,0.0017979684743675544,0.0002552097203776067,-0.0010893282556439401,0.014834681138601369,0.0056645481376114805,0.0021895356598956063,0.0038513091711113723,0.04524780755500574,-0.00020909450203412423,0.0011068236555425075,0.0037781141088702513,0.0013548371986844448,0.03358107714676121
SVOL,0.00035968926041662436,0.00028200398146153944,-0.00016196180290726286,-7.467231822823121e-05,0.0008101699759039929,7.752873944589115e-05,0.0005279172960815309,0.0001560746485340839,0.000276668400331258,0.001280319535568938,0.0007347224904506251,-0.00020909450203412423,0.00037347910401256903,-8.103266797077695e-05,-1.3737332908352434e-05,0.0003535123511735074,0.0003490698187207355
