,CLM,CRF,EGLE,GOGL,HYG,IEP,LQD,PBR,QQQX,RYLD,SBLK,SVOL,TBF,USOI,XYLD,ZIM
CLM,0.015959811453612593,0.0163386371840427,0.008829384725500317,0.0051441336590612894,0.0029032377808561297,0.0030715574263089533,0.0019761172299017147,0.00403532562213571,0.006443130468262976,0.005213256215568473,0.001999361283130479,0.0031887467841049746,-0.0019918050300925206,0.003906480188297198,0.003377252202529616,0.006355420847322813
CRF,0.0163386371840427,0.018172243936880998,0.009203164033115495,0.005316015003459562,0.003056264069435542,0.0032836028977949287,0.0019906257511821735,0.004887205424545092,0.006898779039013352,0.005611214650122042,0.0021480937874374245,0.003462066751265496,-0.001822005731173818,0.004410717810257983,0.003648167371291437,0.006975276057132981
EGLE,0.008829384725500317,0.009203164033115495,0.039179807346740717,0.013268321779299663,0.0007858876675099766,0.0017976948771649143,3.592072099218556e-05,0.005081844569252296,0.002512829343274953,0.0025476044263900433,0.0065930006768160744,0.0006244944138283421,0.0013573453028225032,0.005839744386656089,0.0009871861628002292,0.010123519095268539
GOGL,0.0051441336590612894,0.005316015003459562,0.013268321779299663,0.006316031891781358,0.0007859900400291829,0.001377126287117092,0.00029259088185600295,0.002250004095260893,0.00190641016491728,0.0017839098614393018,0.0026209336148111766,0.0007621265820750776,0.00025598714446498604,0.002406457153857985,0.0011641176066013031,0.0037605596882249607
HYG,0.0029032377808561297,0.003056264069435542,0.0007858876675099766,0.0007859900400291829,0.0009192464351948709,0.000663898491803764,0.0006189646685785468,0.0008007491223867372,0.0017791546598044865,0.0012008991251784376,0.00030104120888768584,0.0010569456084534815,-0.0006555873433745155,0.0005267621707535527,0.0009282488029335009,0.0010757134877851788
IEP,0.0030715574263089533,0.0032836028977949287,0.0017976948771649143,0.001377126287117092,0.000663898491803764,0.001455565666317731,0.00044305334778569196,0.000903313098830947,0.001236051989691182,0.0011181161642961582,0.00042851464437724136,0.0007091164972114053,-0.00037759504515036553,0.0010293446048442129,0.0007528366767574754,0.0012021906051548309
LQD,0.0019761172299017147,0.0019906257511821735,3.592072099218556e-05,0.00029259088185600295,0.0006189646685785468,0.00044305334778569196,0.0008174505804163304,0.0006659754064844181,0.0011511377608618063,0.0008162367469398936,3.9414801428195907e-07,0.0007357832544325817,-0.0015573719861720046,5.865896455094747e-05,0.0005609634493859151,0.00044346105230949227
PBR,0.00403532562213571,0.004887205424545092,0.005081844569252296,0.002250004095260893,0.0008007491223867372,0.000903313098830947,0.0006659754064844181,0.006047651168504719,0.0016753749394264588,0.0015365064301150677,0.0008260578738380951,0.0013852969444803293,-0.0005758831964044597,0.0023931520690679995,0.0010366458905695184,0.002349691950144201
QQQX,0.006443130468262976,0.006898779039013352,0.002512829343274953,0.00190641016491728,0.0017791546598044865,0.001236051989691182,0.0011511377608618063,0.0016753749394264588,0.004873359003234191,0.0030057068083549116,0.0008582943243137559,0.0019185561266723305,-0.0010388218059956343,0.001463390050296956,0.002349294205875957,0.0029185702953207
RYLD,0.005213256215568473,0.005611214650122042,0.0025476044263900433,0.0017839098614393018,0.0012008991251784376,0.0011181161642961582,0.0008162367469398936,0.0015365064301150677,0.0030057068083549116,0.0028035681172140204,0.0007406120133705005,0.0015850750336371545,-0.0009625212892609041,0.0013337644616874058,0.0019315397484382007,0.0020659905555450147
SBLK,0.001999361283130479,0.0021480937874374245,0.0065930006768160744,0.0026209336148111766,0.00030104120888768584,0.00042851464437724136,3.9414801428195907e-07,0.0008260578738380951,0.0008582943243137559,0.0007406120133705005,0.0014262652276122358,0.00028389680295839466,0.0003799699122974973,0.0009134925502804609,0.00046559132154580914,0.0019504647555328907
SVOL,0.0031887467841049746,0.003462066751265496,0.0006244944138283421,0.0007621265820750776,0.0010569456084534815,0.0007091164972114053,0.0007357832544325817,0.0013852969444803293,0.0019185561266723305,0.0015850750336371545,0.00028389680295839466,0.0021768789622154585,-0.0006895948251703312,0.00037627244092690515,0.0012283867899567044,0.0011375556678076297
TBF,-0.0019918050300925206,-0.001822005731173818,0.0013573453028225032,0.00025598714446498604,-0.0006555873433745155,-0.00037759504515036553,-0.0015573719861720046,-0.0005758831964044597,-0.0010388218059956343,-0.0009625212892609041,0.0003799699122974973,-0.0006895948251703312,0.004375921214208698,0.0008165748346829068,-0.00047896295083490456,0.00015514862377674586
USOI,0.003906480188297198,0.004410717810257983,0.005839744386656089,0.002406457153857985,0.0005267621707535527,0.0010293446048442129,5.865896455094747e-05,0.0023931520690679995,0.001463390050296956,0.0013337644616874058,0.0009134925502804609,0.00037627244092690515,0.0008165748346829068,0.004745364412102738,0.0007674121234132287,0.0029042200581841193
XYLD,0.003377252202529616,0.003648167371291437,0.0009871861628002292,0.0011641176066013031,0.0009282488029335009,0.0007528366767574754,0.0005609634493859151,0.0010366458905695184,0.002349294205875957,0.0019315397484382007,0.00046559132154580914,0.0012283867899567044,-0.00047896295083490456,0.0007674121234132287,0.0015671060780544466,0.0011835626229780454
ZIM,0.006355420847322813,0.006975276057132981,0.010123519095268539,0.0037605596882249607,0.0010757134877851788,0.0012021906051548309,0.00044346105230949227,0.002349691950144201,0.0029185702953207,0.0020659905555450147,0.0019504647555328907,0.0011375556678076297,0.00015514862377674586,0.0029042200581841193,0.0011835626229780454,0.007740790869107719
