,CLM,CRF,GOGL,HYG,IEP,LQD,PBR,QQQX,RIV,RYLD,SBLK,SVOL,TBF,XYLD,ZIM
CLM,0.005084634377748652,0.0039661154152201014,0.0035011496941498,0.0011072830674436094,0.0020423015390416475,0.0020566328603379954,0.0011242091400547518,0.004611218567249879,0.004807366482903004,0.0018297766140033139,0.003188604693104272,0.001311873479093256,-0.0018954575706632171,0.0034477660681712812,0.0030756254201488
CRF,0.0039661154152201014,0.0033484128205553652,0.002722569727896171,0.0008942310049738214,0.0016550802159190966,0.0015946689081724344,0.0010279883151227392,0.0037768944382824974,0.0040561749933320105,0.0015084324243835605,0.0025487507760181146,0.0011055462604066884,-0.0013591410384178018,0.002857023043030174,0.0025950539958272093
GOGL,0.0035011496941498,0.002722569727896171,0.011302453050089176,0.0006371932766039107,0.002248638652166965,0.0006422692007139036,0.0015169079837372612,0.0027811435221143754,0.002944256106639837,0.0014063677367796871,0.01109557527285662,0.0007742264319963667,0.0003178942530517858,0.0026612507448742807,0.004250524070366015
HYG,0.0011072830674436094,0.0008942310049738214,0.0006371932766039107,0.0004037879581234989,0.0005262131597305273,0.0007522953190353736,0.0002921371840233278,0.0015106769170509765,0.0008289170928375996,0.0005109115538300856,0.0005094304853464754,0.0005069668676303955,-0.0006985077432249588,0.0011384650218779786,0.0005933380278385285
IEP,0.0020423015390416475,0.0016550802159190966,0.002248638652166965,0.0005262131597305273,0.002180683740499495,0.000938429766343248,0.0005910484799860764,0.0019073116022142013,0.0021956522491804902,0.000855168677319643,0.0015071336519116411,0.0006106839499168746,-0.0006850091862824097,0.0016489697113913119,0.001220298897233225
LQD,0.0020566328603379954,0.0015946689081724344,0.0006422692007139036,0.0007522953190353736,0.000938429766343248,0.00243192567426786,0.0006691068839686113,0.0026358291152144657,0.0016668742205421389,0.0009044285372818341,-1.4508409706175642e-05,0.0009223668325270907,-0.0035172754664452546,0.001789565939410629,0.0007313460008789968
PBR,0.0011242091400547518,0.0010279883151227392,0.0015169079837372612,0.0002921371840233278,0.0005910484799860764,0.0006691068839686113,0.001688473700740474,0.0010599124480301359,0.0014671954748143705,0.0005082925857639615,0.0012812540450882462,0.0005205696683874782,-0.0005502135958966106,0.0009836293007241665,0.001064544654963829
QQQX,0.004611218567249879,0.0037768944382824974,0.0027811435221143754,0.0015106769170509765,0.0019073116022142013,0.0026358291152144657,0.0010599124480301359,0.007664968401912116,0.0037522074820101874,0.002382723587820866,0.0028261338095768506,0.001745802957305374,-0.0020809826996867754,0.005308230614235635,0.0032591769338724415
RIV,0.004807366482903004,0.0040561749933320105,0.002944256106639837,0.0008289170928375996,0.0021956522491804902,0.0016668742205421389,0.0014671954748143705,0.0037522074820101874,0.009382121706160332,0.002044724358559816,0.002436642145095679,0.0010416229414787865,-0.0014539686089131097,0.003199806878271408,0.0028736102446923046
RYLD,0.0018297766140033139,0.0015084324243835605,0.0014063677367796871,0.0005109115538300856,0.000855168677319643,0.0009044285372818341,0.0005082925857639615,0.002382723587820866,0.002044724358559816,0.001091094756138238,0.0013239337443712513,0.0007016344338310523,-0.0008338136927755459,0.0021338094161398504,0.0011696584114456667
SBLK,0.003188604693104272,0.0025487507760181146,0.01109557527285662,0.0005094304853464754,0.0015071336519116411,-1.4508409706175642e-05,0.0012812540450882462,0.0028261338095768506,0.002436642145095679,0.0013239337443712513,0.014423495890372772,0.0006760926207790195,0.0013743234852363017,0.002407548626006089,0.005125255036432703
SVOL,0.001311873479093256,0.0011055462604066884,0.0007742264319963667,0.0005069668676303955,0.0006106839499168746,0.0009223668325270907,0.0005205696683874782,0.001745802957305374,0.0010416229414787865,0.0007016344338310523,0.0006760926207790195,0.0010155191529104097,-0.0007861774165074138,0.0015461458164032324,0.0006898195327097612
TBF,-0.0018954575706632171,-0.0013591410384178018,0.0003178942530517858,-0.0006985077432249588,-0.0006850091862824097,-0.0035172754664452546,-0.0005502135958966106,-0.0020809826996867754,-0.0014539686089131097,-0.0008338136927755459,0.0013743234852363017,-0.0007861774165074138,0.007284536973109813,-0.0012672002748037945,4.444411730826522e-05
XYLD,0.0034477660681712812,0.002857023043030174,0.0026612507448742807,0.0011384650218779786,0.0016489697113913119,0.001789565939410629,0.0009836293007241665,0.005308230614235635,0.003199806878271408,0.0021338094161398504,0.002407548626006089,0.0015461458164032324,-0.0012672002748037945,0.004904419158398217,0.0018995634406545395
ZIM,0.0030756254201488,0.0025950539958272093,0.004250524070366015,0.0005933380278385285,0.001220298897233225,0.0007313460008789968,0.001064544654963829,0.0032591769338724415,0.0028736102446923046,0.0011696584114456667,0.005125255036432703,0.0006898195327097612,4.444411730826522e-05,0.0018995634406545395,0.006343936427514467
