,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,PBR,QQQX,RIV,RYLD,SBLK,SVOL,TBF,XYLD,ZIM
CLM,0.0050702998584610465,0.003990567849567284,0.003480953899859693,0.001123839335272071,0.002013226479444995,0.0025063853665605366,0.00042403897839397294,0.004559309268189052,0.005081897416430917,0.0027427284436149974,0.0021651861831499526,0.002887634340977361,0.0025021918864830783,-0.0020012930308227835,0.00357713474144095,0.0030119691171306287
CRF,0.003990567849567284,0.003399411845940822,0.002731253680422698,0.0009157791044656986,0.0016462176469386066,0.0021365003263341736,0.0003317530863799387,0.004206642012526044,0.0041999146927101634,0.0023350043753054576,0.0018010197269783192,0.002328972305595296,0.002127654053894746,-0.0014479600441943763,0.0029909330202593128,0.0025642414010348708
GOGL,0.003480953899859693,0.002731253680422698,0.011204022718022975,0.0006448080217603563,0.0022100704505389405,0.0016933590792648483,0.00013203217648413,0.006133732821665682,0.0030559571808956637,0.001674807282989223,0.0016592420529467754,0.010018553418047561,0.0014723475234746204,0.0003346516491582575,0.002752941489941864,0.00415024017233747
HYG,0.001123839335272071,0.0009157791044656986,0.0006448080217603563,0.00041712919577469097,0.0005279662109390663,0.0009455445657621951,0.00015787342231740573,0.0012058976094276315,0.0016945462806827337,0.00048134706648828756,0.0006153391586637901,0.0004695675777306972,0.000984192138034164,-0.000750653468304901,0.001202233582149379,0.0005914130612948187
IEP,0.002013226479444995,0.0016462176469386066,0.0022100704505389405,0.0005279662109390663,0.0021250262987239743,0.001187463122912477,0.00019127122450682057,0.002369593771756876,0.0020779289379932206,0.001238334551447084,0.001000340412569937,0.0013492491044165954,0.0011514471772417164,-0.0007149766616305912,0.0016912547952025933,0.001181359684979838
JEPI,0.0025063853665605366,0.0021365003263341736,0.0016933590792648483,0.0009455445657621951,0.001187463122912477,0.0030991692210627264,0.00032667758022173783,0.003768543970612208,0.004380323314594023,0.0012690695420460882,0.0018437003574661372,0.0011528559437924653,0.002517296353543453,-0.0012802697015876629,0.003754282541230016,0.0015123679667018721
LQD,0.00042403897839397294,0.0003317530863799387,0.00013203217648413,0.00015787342231740573,0.00019127122450682057,0.00032667758022173783,0.00010367508514095471,0.0005610770857712739,0.00060062379150256,0.00019663168606766653,0.00022128222291186423,-2.71666709371001e-06,0.0003637537095055335,-0.0007678530126511375,0.00038390194055279984,0.00014808635988672762
PBR,0.004559309268189052,0.004206642012526044,0.006133732821665682,0.0012058976094276315,0.002369593771756876,0.003768543970612208,0.0005610770857712739,0.027849940178275356,0.004750706545411848,0.003404407853041593,0.00244618317561466,0.004719052317320276,0.0040381788005347165,-0.0023626857339444016,0.0041505628143672256,0.004239932885770825
QQQX,0.005081897416430917,0.0041999146927101634,0.0030559571808956637,0.0016945462806827337,0.0020779289379932206,0.004380323314594023,0.00060062379150256,0.004750706545411848,0.009335913656613248,0.00236591259181418,0.003116069316136401,0.002828593304346454,0.0036801045359385236,-0.002428294503258288,0.00608672333413306,0.0035274533765316048
RIV,0.0027427284436149974,0.0023350043753054576,0.001674807282989223,0.00048134706648828756,0.001238334551447084,0.0012690695420460882,0.00019663168606766653,0.003404407853041593,0.00236591259181418,0.0030625155735369883,0.0013843108070875371,0.0012625103088233919,0.001136686913196031,-0.0008783210883924157,0.0018994284556950512,0.0016100768305689925
RYLD,0.0021651861831499526,0.0018010197269783192,0.0016592420529467754,0.0006153391586637901,0.001000340412569937,0.0018437003574661372,0.00022128222291186423,0.00244618317561466,0.003116069316136401,0.0013843108070875371,0.001532085147349737,0.0014227579731195244,0.001588045030680055,-0.001044693512957527,0.002627098731832858,0.0013592501220345758
SBLK,0.002887634340977361,0.002328972305595296,0.010018553418047561,0.0004695675777306972,0.0013492491044165954,0.0011528559437924653,-2.71666709371001e-06,0.004719052317320276,0.002828593304346454,0.0012625103088233919,0.0014227579731195244,0.011862593656684376,0.0011711228564669615,0.0013178111744848856,0.002268507281590715,0.004558271153232737
SVOL,0.0025021918864830783,0.002127654053894746,0.0014723475234746204,0.000984192138034164,0.0011514471772417164,0.002517296353543453,0.0003637537095055335,0.0040381788005347165,0.0036801045359385236,0.001136686913196031,0.001588045030680055,0.0011711228564669615,0.003704857616353407,-0.0015877127200185307,0.003068334490471412,0.0012921332572415028
TBF,-0.0020012930308227835,-0.0014479600441943763,0.0003346516491582575,-0.000750653468304901,-0.0007149766616305912,-0.0012802697015876629,-0.0007678530126511375,-0.0023626857339444016,-0.002428294503258288,-0.0008783210883924157,-0.001044693512957527,0.0013178111744848856,-0.0015877127200185307,0.008143690658699463,-0.001392084081355623,4.608441287887439e-05
XYLD,0.00357713474144095,0.0029909330202593128,0.002752941489941864,0.001202233582149379,0.0016912547952025933,0.003754282541230016,0.00038390194055279984,0.0041505628143672256,0.00608672333413306,0.0018994284556950512,0.002627098731832858,0.002268507281590715,0.003068334490471412,-0.001392084081355623,0.005294301641287124,0.0019355057617129294
ZIM,0.0030119691171306287,0.0025642414010348708,0.00415024017233747,0.0005914130612948187,0.001181359684979838,0.0015123679667018721,0.00014808635988672762,0.004239932885770825,0.0035274533765316048,0.0016100768305689925,0.0013592501220345758,0.004558271153232737,0.0012921332572415028,4.608441287887439e-05,0.0019355057617129294,0.0061012532652337265
