,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,PBR,QQQX,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.00411236017923057,0.0026861333329259354,0.003960927295451149,0.002470999678687996,0.0005375581700347256,0.0018932067088368908,0.001683818796891185,0.002515180414697729,0.0032271024608243413,0.0027696189397028513,0.0038948466023081764,0.004950403611412298,0.002561218434393584,-0.001138503295250832,0.001864296609909314,0.0010373068900289006,0.004053098381768251
CRF,0.0026861333329259354,0.0019019844138053281,0.002597303691408717,0.0016878579673057993,0.00036432859082863376,0.0013419511429183142,0.0010957984384619107,0.0019158031717240712,0.002241947762649965,0.0018973289393602712,0.0026922886299975057,0.0034000396818554125,0.0018208601497884545,-0.0006965792288169575,0.0011379423114337396,0.0007152103188905481,0.0028823998306060842
GOGL,0.003960927295451149,0.002597303691408717,0.01829286914483871,0.002061089302046854,0.0008400180526421625,0.00177989159879408,0.0007364489203555538,0.004705753398984199,0.0029086073489650107,0.002017276880416893,0.004178671023969026,0.026119321832281352,0.002181447803686043,0.00021206296731518198,-0.00043955378280907247,0.0010783273522155614,0.008160167729382896
HYG,0.002470999678687996,0.0016878579673057993,0.002061089302046854,0.002598928826641521,0.0003836398762845252,0.0019641907309107427,0.0017379552538298341,0.0017681021518603905,0.003077414575818925,0.0011440568050150094,0.0030435529043738546,0.0024693507143682555,0.0028238016703601584,-0.0012799122690551805,0.0020849475960584537,0.0009333829636726474,0.00223741360050381
IEP,0.0005375581700347256,0.00036432859082863376,0.0008400180526421625,0.0003836398762845252,0.00018088708548066296,0.00030077848740946785,0.00023334186954232218,0.00040800067471976877,0.0004453293451211515,0.00039021620371062983,0.0005860890655385658,0.0007909511414624636,0.0003904640398595136,-0.00011711659558429535,0.00018280643723820052,0.00015882552647122225,0.0004697282749498961
JEPI,0.0018932067088368908,0.0013419511429183142,0.00177989159879408,0.0019641907309107427,0.00030077848740946785,0.0021659654023407507,0.0012361200838268331,0.001970379164333435,0.002615225364326922,0.0011787985241408303,0.003084854682835019,0.0018442812438012742,0.0024199704696591623,-0.000728613359370254,0.0011981206005316327,0.0009951733872605336,0.001992864725379325
LQD,0.001683818796891185,0.0010957984384619107,0.0007364489203555538,0.0017379552538298341,0.00023334186954232218,0.0012361200838268331,0.0019876803445742783,0.0014660950312315334,0.001917175473926375,0.0009179718928203291,0.0019440839793666378,-8.694251537960772e-05,0.0018524342644721554,-0.002215495447517574,0.003621618063599083,0.000537130679345029,0.0007971100930260452
PBR,0.002515180414697729,0.0019158031717240712,0.004705753398984199,0.0017681021518603905,0.00040800067471976877,0.001970379164333435,0.0014660950312315334,0.010227058890219905,0.001988071729937186,0.0024875015895096807,0.0030212560273649657,0.005295831381996821,0.002784691462677995,-0.0007775434854129483,0.001330758838605399,0.000849867626962116,0.0035763093309823454
QQQX,0.0032271024608243413,0.002241947762649965,0.0029086073489650107,0.003077414575818925,0.0004453293451211515,0.002615225364326922,0.001917175473926375,0.001988071729937186,0.004976674378930867,0.001482509706182975,0.004445004085718325,0.004544969658350817,0.0030781307395436872,-0.001278102546151196,0.002048814801900915,0.0013499190577672365,0.0039910266126252465
RIV,0.0027696189397028513,0.0018973289393602712,0.002017276880416893,0.0011440568050150094,0.00039021620371062983,0.0011787985241408303,0.0009179718928203291,0.0024875015895096807,0.001482509706182975,0.004147017444545116,0.0029465738804252896,0.001483836598061502,0.0013131605514601422,-0.00034985404823350825,0.0006442402362599309,0.0007082868092802137,0.0023231317723833183
