,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.011873370745453395,0.0025115991345918322,0.0064284879458247676,0.003737463895672902,0.0023113054692061844,0.0022137089439837865,0.001776801724298984,0.009585334958800464,0.005064443353147212,0.007506489886482183,0.0024512643126780613,-0.0031530840726966985,0.000842747034315689,0.005493578926471705,0.00908977927433887
CRF,0.0025115991345918322,0.0005755145176661958,0.0013385119768664834,0.000818352533098616,0.0005003573901232453,0.0005135536129482099,0.00037408004495096536,0.002174513447013179,0.0011584227819633208,0.0016219451970198742,0.0005573110662083054,-0.0006137069638470075,0.00016429127529940488,0.0012557830914750666,0.0021131734666347108
GOGL,0.0064284879458247676,0.0013385119768664834,0.01808317810150583,0.0016791546667206149,0.002077768447127306,0.001121742786660872,0.0003490053436568307,0.004620080903421563,0.003242673539607686,0.02396650060137396,0.0011317945126751953,0.0005991407333924319,-0.00017696361960797024,0.00341235445846118,0.010336610374678888
HYG,0.003737463895672902,0.000818352533098616,0.0016791546667206149,0.0022192549712098555,0.0008306741367181018,0.0012933966904416345,0.0010003883584579155,0.0022800142770449073,0.0024491326765295343,0.0013968526100966664,0.0014510597971468745,-0.0017643213605920281,0.00047709412627665266,0.002929798158983495,0.0023234535944784795
IEP,0.0023113054692061844,0.0005003573901232453,0.002077768447127306,0.0008306741367181018,0.0010908885568504598,0.0005478805868413257,0.0003448138348249551,0.0021526905247314094,0.001270692987713534,0.0017554203189112615,0.0005179836360043863,-0.00033606400565483463,8.69175451461278e-05,0.0013914304928386277,0.0018137773825880668
JEPI,0.0022137089439837865,0.0005135536129482099,0.001121742786660872,0.0012933966904416345,0.0005478805868413257,0.001179993457992537,0.0005596459455223349,0.0018323287765257628,0.0020453400540678653,0.0006341016782997709,0.0009559985760359838,-0.000705944967405968,0.0001927818958998629,0.002597530499549417,0.0019299533114935643
LQD,0.001776801724298984,0.00037408004495096536,0.0003490053436568307,0.0010003883584579155,0.0003448138348249551,0.0005596459455223349,0.0007760949407188823,0.0012570073116400197,0.001066048923483568,-0.00032990794738767384,0.0006375850237052354,-0.0021155374730987865,0.000572014276371308,0.001166179876872878,0.0006280237510337726
RIV,0.009585334958800464,0.002174513447013179,0.004620080903421563,0.0022800142770449073,0.0021526905247314094,0.0018323287765257628,0.0012570073116400197,0.01629806953013265,0.0052452206468415405,0.0037657226903312128,0.0016363043023027814,-0.001768349088399555,0.0004586911951349765,0.0049590039640969,0.006994353769902081
RYLD,0.005064443353147212,0.0011584227819633208,0.003242673539607686,0.0024491326765295343,0.001270692987713534,0.0020453400540678653,0.001066048923483568,0.0052452206468415405,0.0046237494448732805,0.0032723796464562502,0.0016851117113357282,-0.0015861071795127428,0.000429410155260544,0.005127263465047624,0.004469255685332993
SBLK,0.007506489886482183,0.0016219451970198742,0.02396650060137396,0.0013968526100966664,0.0017554203189112615,0.0006341016782997709,-0.00032990794738767384,0.0037657226903312128,0.0032723796464562502,0.04334512556688184,0.0012609889655859656,0.002499803484116906,-0.0007255111977047766,0.003038931159293099,0.015919766931285516
SVOL,0.0024512643126780613,0.0005573110662083054,0.0011317945126751953,0.0014510597971468745,0.0005179836360043863,0.0009559985760359838,0.0006375850237052354,0.0016363043023027814,0.0016851117113357282,0.0012609889655859656,0.0015499946168828407,-0.0010210199223346537,0.0002752314737920913,0.0020480775694411845,0.0017012056256281438
TBF,-0.0031530840726966985,-0.0006137069638470075,0.0005991407333924319,-0.0017643213605920281,-0.00033606400565483463,-0.000705944967405968,-0.0021155374730987865,-0.001768349088399555,-0.0015861071795127428,0.002499803484116906,-0.0010210199223346537,0.00867946969677676,-0.0023462293051799347,-0.0012290720766659935,0.0006009133559959633
TLT,0.000842747034315689,0.00016429127529940488,-0.00017696361960797024,0.00047709412627665266,8.69175451461278e-05,0.0001927818958998629,0.000572014276371308,0.0004586911951349765,0.000429410155260544,-0.0007255111977047766,0.0002752314737920913,-0.0023462293051799347,0.0006359483432227177,0.00033398505613360804,-0.0001787873922906578
XYLD,0.005493578926471705,0.0012557830914750666,0.00341235445846118,0.002929798158983495,0.0013914304928386277,0.002597530499549417,0.001166179876872878,0.0049590039640969,0.005127263465047624,0.003038931159293099,0.0020480775694411845,-0.0012290720766659935,0.00033398505613360804,0.006500467952014268,0.004476864125260283
ZIM,0.00908977927433887,0.0021131734666347108,0.010336610374678888,0.0023234535944784795,0.0018137773825880668,0.0019299533114935643,0.0006280237510337726,0.006994353769902081,0.004469255685332993,0.015919766931285516,0.0017012056256281438,0.0006009133559959633,-0.0001787873922906578,0.004476864125260283,0.024640371781219035
