,CLM,CRF,GOGL,HYG,IEP,JEPI,LQD,QQQ,RIV,RYLD,SBLK,SVOL,TBF,TLT,XYLD,ZIM
CLM,0.011552734115367664,0.005572872300904798,0.005596880651195755,0.0021432924284081594,0.005877590261828375,0.004155908763590518,0.0039515950603601965,0.006007578990738677,0.010996220346547906,0.0019114644193534657,0.008261750178161666,0.002309455335039812,-0.002586064619094065,0.0028571050225741756,0.004972668654946353,0.010057214386623249
CRF,0.005572872300904798,0.002904894510377433,0.0027326216683760895,0.0010917510162408895,0.002954519777351343,0.002227297534605306,0.0019681717365084023,0.0030628894037000097,0.005613766988536991,0.0010005247902989867,0.004203012513349831,0.00124205364182044,-0.00119393467155279,0.0013273253108142186,0.0026266004159221003,0.005262337077008631
GOGL,0.005596880651195755,0.0027326216683760895,0.014239852703406965,0.0009391301218866143,0.004490622851837686,0.0021000076721772527,0.0009862464264613132,0.0024628244272133374,0.004953980357792742,0.001194386781552306,0.02450313205546113,0.00108827879206519,7.104688366561634e-05,-0.00013358403756371723,0.0030324893631999998,0.010351775133893931
HYG,0.0021432924284081594,0.0010917510162408895,0.0009391301218866143,0.0007795109900368123,0.0012317086757767494,0.0014780311929687812,0.0013671336694053968,0.001993581066712266,0.001572000905393628,0.0005697863381871995,0.001078729000521041,0.0008597745463554689,-0.0008854506241937973,0.0009890969137656732,0.001636959548361819,0.0016719475145900056
IEP,0.005877590261828375,0.002954519777351343,0.004490622851837686,0.0012317086757767494,0.006985741053847694,0.002606867715938853,0.0019022973247735477,0.0034054634200838428,0.006612483367817025,0.0012424982734424565,0.004852931224547264,0.0012912776137069082,-0.000672541423354079,0.0006925483134057664,0.003285512587507981,0.00528670144675077
JEPI,0.004155908763590518,0.002227297534605306,0.0021000076721772527,0.0014780311929687812,0.002606867715938853,0.004261993572045411,0.0024832112267055904,0.004537739672886304,0.004038181793117873,0.0015210303663313076,0.00206004083795103,0.0018198895709938847,-0.0011895662852651934,0.0013440182735042826,0.004621768489324214,0.004524579572590475
LQD,0.0039515950603601965,0.0019681717365084023,0.0009862464264613132,0.0013671336694053968,0.0019022973247735477,0.0024832112267055904,0.004012827954661356,0.0032992798158771545,0.003379060432636116,0.000994440497128184,-5.223178995968483e-05,0.001447644454792102,-0.003995954367169271,0.00446172663964377,0.0025884665863945234,0.002567314445902622
QQQ,0.006007578990738677,0.0030628894037000097,0.0024628244272133374,0.001993581066712266,0.0034054634200838428,0.004537739672886304,0.0032992798158771545,0.006909148261824084,0.005455719712345599,0.001778260129546222,0.0027506040654407798,0.002336742080163443,-0.0013956893077004414,0.0015549103003337143,0.005469631303799374,0.005763008034406503
RIV,0.010996220346547906,0.005613766988536991,0.004953980357792742,0.001572000905393628,0.006612483367817025,0.004038181793117873,0.003379060432636116,0.005455719712345599,0.021491361751031442,0.002305031442251043,0.005243086997812589,0.001837604064351143,-0.0017088654264703783,0.0018588863995413702,0.005256901869327906,0.009054700934991744
RYLD,0.0019114644193534657,0.0010005247902989867,0.001194386781552306,0.0005697863381871995,0.0012424982734424565,0.0015210303663313076,0.000994440497128184,0.001778260129546222,0.002305031442251043,0.0006938550759615445,0.0016621736650061776,0.0006534415552030237,-0.0005753592402807427,0.0006475352060032567,0.001850072048027876,0.0019862943394532468
SBLK,0.008261750178161666,0.004203012513349831,0.02450313205546113,0.001078729000521041,0.004852931224547264,0.00206004083795103,-5.223178995968483e-05,0.0027506040654407798,0.005243086997812589,0.0016621736650061776,0.05693460414516897,0.001618266475821746,0.0014365453423913564,-0.0017878944316263917,0.0038323567509649685,0.02006891141592723
SVOL,0.002309455335039812,0.00124205364182044,0.00108827879206519,0.0008597745463554689,0.0012912776137069082,0.0018198895709938847,0.001447644454792102,0.002336742080163443,0.001837604064351143,0.0006534415552030237,0.001618266475821746,0.0015797453296507555,-0.0008003225541834886,0.0008902947925084177,0.0019364192970848166,0.002143214948157479
TBF,-0.002586064619094065,-0.00119393467155279,7.104688366561634e-05,-0.0008854506241937973,-0.000672541423354079,-0.0011895662852651934,-0.003995954367169271,-0.0013956893077004414,-0.0017088654264703783,-0.0005753592402807427,0.0014365453423913564,-0.0008003225541834886,0.006049043291250375,-0.006762271898275804,-0.0010609624339470247,-0.0006153076313288849
TLT,0.0028571050225741756,0.0013273253108142186,-0.00013358403756371723,0.0009890969137656732,0.0006925483134057664,0.0013440182735042826,0.00446172663964377,0.0015549103003337143,0.0018588863995413702,0.0006475352060032567,-0.0017878944316263917,0.0008902947925084177,-0.006762271898275804,0.007578744680360021,0.0011969187230795426,0.0006417793558208517
XYLD,0.004972668654946353,0.0026266004159221003,0.0030324893631999998,0.001636959548361819,0.003285512587507981,0.004621768489324214,0.0025884665863945234,0.005469631303799374,0.005256901869327906,0.001850072048027876,0.0038323567509649685,0.0019364192970848166,-0.0010609624339470247,0.0011969187230795426,0.005652076432807777,0.004869087088105858
ZIM,0.010057214386623249,0.005262337077008631,0.010351775133893931,0.0016719475145900056,0.00528670144675077,0.004524579572590475,0.002567314445902622,0.005763008034406503,0.009054700934991744,0.0019862943394532468,0.02006891141592723,0.002143214948157479,-0.0006153076313288849,0.0006417793558208517,0.004869087088105858,0.029066347380463448
