,CLM,CRF,HYG,IEP,JEPI,LQD,QQQ,RYLD,SVOL,TBF,TLT,XYLD
CLM,0.20313405259235642,0.5947123782506669,0.1483493900614804,0.2400591741505745,0.19574465603439054,0.11349829345931474,0.4111048093618505,0.2607840021346469,0.1658933653271249,-0.13344620873707388,0.1034910146321852,0.1888255324343043
CRF,0.5947123782506669,1.8923730170043351,0.4504869053951393,0.7280213321917359,0.6198519131495613,0.3362764219471525,1.245579689014182,0.8092251832884857,0.5342691238253621,-0.38958451565740027,0.3032458808848054,0.5901668514421129
HYG,0.1483493900614804,0.4504869053951393,0.2192355485057557,0.20196477295531026,0.2888819829555261,0.15786169194223224,0.5579674936942289,0.3216718176081072,0.25036774314407706,-0.16742177962471103,0.13189726349324665,0.25719410269769094
IEP,0.2400591741505745,0.7280213321917359,0.20196477295531026,0.6613054021572209,0.2886959906582678,0.13459059696880207,0.558035711082208,0.40100907437823496,0.21399471591256816,-0.08176227953391386,0.05931974042317361,0.29634775185321693
JEPI,0.19574465603439054,0.6198519131495613,0.2888819829555261,0.2886959906582678,0.5696686951309742,0.1981507470634455,0.882135421947198,0.5906402332323902,0.3628032794042363,-0.14414332303840363,0.11564187249839414,0.49888853182794274
LQD,0.11349829345931474,0.3362764219471525,0.15786169194223224,0.13459059696880207,0.1981507470634455,0.18935443301567234,0.37706996626062156,0.2304702912419439,0.17597291167796345,-0.32390671366497403,0.2544182002876182,0.16474668424659447
QQQ,0.4111048093618505,1.245579689014182,0.5579674936942289,0.558035711082208,0.882135421947198,0.37706996626062156,1.9064866315625502,0.9961791700433018,0.678114014576136,-0.23954626244381774,0.18921066916958923,0.8498681693547626
RYLD,0.2607840021346469,0.8092251832884857,0.3216718176081072,0.40100907437823496,0.5906402332323902,0.2304702912419439,0.9961791700433018,0.774038804417668,0.3786206465551603,-0.20465835683125488,0.16318200800293353,0.5762894805893638
SVOL,0.1658933653271249,0.5342691238253621,0.25036774314407706,0.21399471591256816,0.3628032794042363,0.17597291167796345,0.678114014576136,0.3786206465551603,0.47103924529273744,-0.16179031901342714,0.12677981677436795,0.31268984309599107
TBF,-0.13344620873707388,-0.38958451565740027,-0.16742177962471103,-0.08176227953391386,-0.14414332303840363,-0.32390671366497403,-0.23954626244381774,-0.20465835683125488,-0.16179031901342714,0.9050078584842075,-0.7096310691813419,-0.09773477995871602
TLT,0.1034910146321852,0.3032458808848054,0.13189726349324665,0.05931974042317361,0.11564187249839414,0.2544182002876182,0.18921066916958923,0.16318200800293353,0.12677981677436795,-0.7096310691813419,0.5578724749598062,0.07861064616589229
XYLD,0.1888255324343043,0.5901668514421129,0.25719410269769094,0.29634775185321693,0.49888853182794274,0.16474668424659447,0.8498681693547626,0.5762894805893638,0.31268984309599107,-0.09773477995871602,0.07861064616589229,0.48891548806180557
