,CLM,CRF,HYGW,IEP,JEPI,JEPQ,LABU,LQDW,SOXL,SVOL,TECL,TLTW,TMF
CLM,0.0061247190882701506,0.004410517753133033,0.0003114296985727152,0.00036761540289990724,0.0023946416606861515,0.0022119376212754835,0.009156233078583324,0.0012569744323807192,0.015755832001116386,0.0015668202587740552,0.011310038292992496,0.0010409511385732577,0.0019431095884127213
CRF,0.004410517753133033,0.003462879805286645,0.00023088232173211669,0.00029529046910731595,0.0018199529938354414,0.001701968571103565,0.006660138304947768,0.0008976905108612454,0.011537058191868727,0.0011971159153057694,0.008581047473508494,0.0007093507712946018,0.0013333239563489837
HYGW,0.0003114296985727152,0.00023088232173211669,3.71431981903439e-05,2.8105295420501422e-05,0.00023285585434805676,0.00019069591031567397,0.0009028351876346107,0.00012508778708500827,0.0011302939492537406,0.0001666832570398474,0.0009333931927219005,9.254307674546957e-05,0.00018470720032345852
IEP,0.00036761540289990724,0.00029529046910731595,2.8105295420501422e-05,8.418725114920481e-05,0.00019883267383182402,0.00017412244609404357,0.0007051545519354477,8.435371731374766e-05,0.0012126278043941279,0.00012266817860121757,0.0008900976523426188,1.3142118468111815e-05,3.1161828145368466e-05
JEPI,0.0023946416606861515,0.0018199529938354414,0.00023285585434805676,0.00019883267383182402,0.0024527326203344635,0.002009904761166979,0.007387874562859211,0.0008293827144882217,0.01159606473447885,0.0012836197641454708,0.009993488689787366,0.0005315590130235093,0.0010796305995137904
JEPQ,0.0022119376212754835,0.001701968571103565,0.00019069591031567397,0.00017412244609404357,0.002009904761166979,0.002166375523010196,0.007562644172880869,0.0006105810792751645,0.013319114315551736,0.0011248639018587405,0.011112915557935062,0.0004068224385881713,0.0008288578184323664
LABU,0.009156233078583324,0.006660138304947768,0.0009028351876346107,0.0007051545519354477,0.007387874562859211,0.007562644172880869,0.04505415168139196,0.002843370754076963,0.04924557200994047,0.005513697935656934,0.03990978461414714,0.002305482212685547,0.004826873625024392
LQDW,0.0012569744323807192,0.0008976905108612454,0.00012508778708500827,8.435371731374766e-05,0.0008293827144882217,0.0006105810792751645,0.002843370754076963,0.0006470585435813902,0.0036600704249125384,0.0005491546437593468,0.002831677640659802,0.0005340923216834445,0.001065488514296522
SOXL,0.015755832001116386,0.011537058191868727,0.0011302939492537406,0.0012126278043941279,0.01159606473447885,0.013319114315551736,0.04924557200994047,0.0036600704249125384,0.09823426194560711,0.007053119340907127,0.07238324778214629,0.002361623806078337,0.0043303531803136905
SVOL,0.0015668202587740552,0.0011971159153057694,0.0001666832570398474,0.00012266817860121757,0.0012836197641454708,0.0011248639018587405,0.005513697935656934,0.0005491546437593468,0.007053119340907127,0.0015679743072910433,0.005860870313537032,0.0003697348318189159,0.0008115248869896094
TECL,0.011310038292992496,0.008581047473508494,0.0009333931927219005,0.0008900976523426188,0.009993488689787366,0.011112915557935062,0.03990978461414714,0.002831677640659802,0.07238324778214629,0.005860870313537032,0.0602091782507696,0.00184726145516352,0.003834758933449896
TLTW,0.0010409511385732577,0.0007093507712946018,9.254307674546957e-05,1.3142118468111815e-05,0.0005315590130235093,0.0004068224385881713,0.002305482212685547,0.0005340923216834445,0.002361623806078337,0.0003697348318189159,0.00184726145516352,0.0007371665575320366,0.0015419468007218777
TMF,0.0019431095884127213,0.0013333239563489837,0.00018470720032345852,3.1161828145368466e-05,0.0010796305995137904,0.0008288578184323664,0.004826873625024392,0.001065488514296522,0.0043303531803136905,0.0008115248869896094,0.003834758933449896,0.0015419468007218777,0.0038604520041052083
