,CLM,CRF,HYGW,IEP,JEPI,JEPQ,LABU,LQDW,SDOW,SOXL,SVOL,TECL,TLTW,TMF
CLM,0.00458997374092016,0.005370520324922805,0.0007107357958235623,0.00043845188822918483,0.0005181382189764844,0.0022150297321917927,0.007682232119791779,0.00030910636195402634,-0.0054471447040020295,0.0023187220495578804,0.000294787725620513,0.005644248410250623,0.0005519360867992971,0.0010127856748280034
CRF,0.005370520324922805,0.00708854386874629,0.0008327471755079314,0.0004899467698488609,0.0006684467987076457,0.00287972532589859,0.010254994629799072,0.0004142653021244162,-0.006938078259714847,0.0029887010980507505,0.0003891259349616324,0.007012284072592277,0.0006781001886113915,0.0012011885443615835
HYGW,0.0007107357958235623,0.0008327471755079314,0.0009965396485739576,0.00015399302975510856,0.00016253437088361138,0.0008507190134588404,0.003965758926669993,0.0004904939945756571,-0.002035425420877802,0.0009573871575222746,0.0003174259488555481,0.0019820020914524225,0.0006807904816931154,0.0008196225394049266
IEP,0.00043845188822918483,0.0004899467698488609,0.00015399302975510856,0.0005705193999194513,7.47996915710227e-05,0.0004076438811531455,0.0029599731086675926,6.149183979249863e-05,-0.0007813028069163758,0.00039557959085655906,0.00019022783749370463,0.0008242022313311184,9.58303989714107e-05,0.0002943818963424564
JEPI,0.0005181382189764844,0.0006684467987076457,0.00016253437088361138,7.47996915710227e-05,0.00031414829069450714,0.0009369490684429379,0.00292360956497108,5.289990740027911e-05,-0.0024140255822210927,0.0005808465808904738,0.00020153594721164698,0.0016658995111968674,2.0206780831021446e-05,4.939022142305774e-05
JEPQ,0.0022150297321917927,0.00287972532589859,0.0008507190134588404,0.0004076438811531455,0.0009369490684429379,0.004418254495098506,0.015524133342500851,0.00032939101272626563,-0.008625008996529845,0.003428295084203639,0.0009838432943577572,0.008909214149804558,0.0003091925812131543,0.00036023684096234793
LABU,0.007682232119791779,0.010254994629799072,0.003965758926669993,0.0029599731086675926,0.00292360956497108,0.015524133342500851,0.14668204342326377,0.001451205922102683,-0.03775809022333401,0.014773254443789387,0.005911297949082635,0.03806393573933818,0.0024144046018466266,0.005452788222817076
LQDW,0.00030910636195402634,0.0004142653021244162,0.0004904939945756571,6.149183979249863e-05,5.289990740027911e-05,0.00032939101272626563,0.001451205922102683,0.0003511763103104782,-0.0007343102165639137,0.00041796665861486726,0.0001452437073545317,0.0007833728537121466,0.0005322414585561902,0.0007057467978316702
SDOW,-0.0054471447040020295,-0.006938078259714847,-0.002035425420877802,-0.0007813028069163758,-0.0024140255822210927,-0.008625008996529845,-0.03775809022333401,-0.0007343102165639137,0.023540108888412667,-0.0068182879833843515,-0.0022645450444396436,-0.018789105803473437,-0.0006750679890161596,-0.0013110334608950258
SOXL,0.0023187220495578804,0.0029887010980507505,0.0009573871575222746,0.00039557959085655906,0.0005808465808904738,0.003428295084203639,0.014773254443789387,0.00041796665861486726,-0.0068182879833843515,0.003900918993674148,0.0008317418900177377,0.008594084063117072,0.0004768495444311969,0.0005620382087764475
SVOL,0.000294787725620513,0.0003891259349616324,0.0003174259488555481,0.00019022783749370463,0.00020153594721164698,0.0009838432943577572,0.005911297949082635,0.0001452437073545317,-0.0022645450444396436,0.0008317418900177377,0.0007162825580544576,0.0020950507734390014,0.00017065550666225333,0.0004179891655515575
TECL,0.005644248410250623,0.007012284072592277,0.0019820020914524225,0.0008242022313311184,0.0016658995111968674,0.008909214149804558,0.03806393573933818,0.0007833728537121466,-0.018789105803473437,0.008594084063117072,0.0020950507734390014,0.022118244891634668,0.0009048686962393944,0.001465518063467133
TLTW,0.0005519360867992971,0.0006781001886113915,0.0006807904816931154,9.58303989714107e-05,2.0206780831021446e-05,0.0003091925812131543,0.0024144046018466266,0.0005322414585561902,-0.0006750679890161596,0.0004768495444311969,0.00017065550666225333,0.0009048686962393944,0.0011110317021606135,0.0017702375915594451
TMF,0.0010127856748280034,0.0012011885443615835,0.0008196225394049266,0.0002943818963424564,4.939022142305774e-05,0.00036023684096234793,0.005452788222817076,0.0007057467978316702,-0.0013110334608950258,0.0005620382087764475,0.0004179891655515575,0.001465518063467133,0.0017702375915594451,0.004041257779107817
