,CLM,CRF,HYGW,IEP,JEPI,JEPQ,LABU,LQDW,OARK,SDOW,SOXL,SVOL,TECL,TLTW,TMF,TSLY
CLM,0.008750518678343132,0.006873179752941136,0.001026841726384687,0.0013486810649692407,0.0018632366458117933,0.002207639493329521,0.004130712003288231,0.0006413659737961347,0.00516926770611895,-0.008516795130200441,0.01346768691665656,0.0006814829375154259,0.00659306391427451,0.0017467777850530314,0.0018137188780158072,0.004432730234229016
CRF,0.006873179752941136,0.006110284633342818,0.0007723142603791793,0.001005906117711476,0.0016060038892355326,0.0019178162234427844,0.0036057243279957003,0.0005770311137595517,0.004000564413802997,-0.007214575086424325,0.011836368813978426,0.0005618866541231012,0.00550669352506589,0.0014295706758510843,0.0014322785404880833,0.00313850894927408
HYGW,0.001026841726384687,0.0007723142603791793,0.001164246792638414,0.0002567350008384023,0.0004297738111636541,0.0006956175313661502,0.002315431810344401,0.000791894908773127,0.0020030464668910836,-0.002499036866459614,0.004598257918312944,0.0005797403144476263,0.0018101548333045408,0.0016127110409136722,0.0009818939032904025,0.003376314287960055
IEP,0.0013486810649692407,0.001005906117711476,0.0002567350008384023,0.0011256532748726564,0.00040026231646961866,0.0004033860156027541,0.0016844169946594219,0.0001257437860083851,0.0010492320195821625,-0.0014930001608935946,0.0023900050569346017,0.00042750291030362216,0.0007804683768111393,0.0003441254441337998,0.0003293749400760431,0.00012174126500744737
JEPI,0.0018632366458117933,0.0016060038892355326,0.0004297738111636541,0.00040026231646961866,0.0022340284199840487,0.001971122112423183,0.0036869381769849964,0.00019723961771590044,0.002668984044115657,-0.007642134633456602,0.00704311054868254,0.0009658470143912546,0.003992682837818086,0.0002506441957843026,0.0002871246454946786,0.00029804737072733014
JEPQ,0.002207639493329521,0.0019178162234427844,0.0006956175313661502,0.0004033860156027541,0.001971122112423183,0.0025146906885655297,0.005008942770368835,0.0003478334945329868,0.005145005257784213,-0.007490789736821253,0.010835230661969262,0.0013390367495803844,0.005616604401154699,0.0006480275133559057,0.0004849430699755557,0.00447900704321516
LABU,0.004130712003288231,0.0036057243279957003,0.002315431810344401,0.0016844169946594219,0.0036869381769849964,0.005008942770368835,0.03252232846369548,0.0012267399155166542,0.02015100074653367,-0.02080986240458984,0.026355144896143795,0.00519841755627827,0.013638589246258217,0.003462648547245512,0.0036187421228296253,0.011391881635515608
LQDW,0.0006413659737961347,0.0005770311137595517,0.000791894908773127,0.0001257437860083851,0.00019723961771590044,0.0003478334945329868,0.0012267399155166542,0.0007418955814802385,0.0010063681665093854,-0.0011225748881103447,0.0025522375456984497,0.00032735422350585236,0.0008779332977677058,0.0015835293994049479,0.000991319329100447,0.002274773950727556
OARK,0.00516926770611895,0.004000564413802997,0.0020030464668910836,0.0010492320195821625,0.002668984044115657,0.005145005257784213,0.02015100074653367,0.0010063681665093854,0.02610853434002467,-0.015319406209578145,0.03076072861054672,0.003891768316395181,0.014531957428158895,0.002694450012835416,0.002513247081102647,0.02222303392868834
SDOW,-0.008516795130200441,-0.007214575086424325,-0.002499036866459614,-0.0014930001608935946,-0.007642134633456602,-0.007490789736821253,-0.02080986240458984,-0.0011225748881103447,-0.015319406209578145,0.03393087206092634,-0.03493792849080735,-0.0046261417444475724,-0.01883593054168085,-0.0020370165384604563,-0.00205055625533815,-0.006729152796756706
SOXL,0.01346768691665656,0.011836368813978426,0.004598257918312944,0.0023900050569346017,0.00704311054868254,0.010835230661969262,0.026355144896143795,0.0025522375456984497,0.03076072861054672,-0.03493792849080735,0.07444603575271358,0.006335709138574738,0.031689247527464715,0.004888396803898628,0.0036836160694774882,0.035755091652954527
SVOL,0.0006814829375154259,0.0005618866541231012,0.0005797403144476263,0.00042750291030362216,0.0009658470143912546,0.0013390367495803844,0.00519841755627827,0.00032735422350585236,0.003891768316395181,-0.0046261417444475724,0.006335709138574738,0.0022274473854755348,0.0030389989200605184,0.0007119142776304062,0.0007039363762990403,0.0021787642445852554
TECL,0.00659306391427451,0.00550669352506589,0.0018101548333045408,0.0007804683768111393,0.003992682837818086,0.005616604401154699,0.013638589246258217,0.0008779332977677058,0.014531957428158895,-0.01883593054168085,0.031689247527464715,0.0030389989200605184,0.015997051389953033,0.0018462423556209534,0.0016266364029579778,0.01349482555866554
TLTW,0.0017467777850530314,0.0014295706758510843,0.0016127110409136722,0.0003441254441337998,0.0002506441957843026,0.0006480275133559057,0.003462648547245512,0.0015835293994049479,0.002694450012835416,-0.0020370165384604563,0.004888396803898628,0.0007119142776304062,0.0018462423556209534,0.004364053431710675,0.0032332183554950847,0.005413068210435771
TMF,0.0018137188780158072,0.0014322785404880833,0.0009818939032904025,0.0003293749400760431,0.0002871246454946786,0.0004849430699755557,0.0036187421228296253,0.000991319329100447,0.002513247081102647,-0.00205055625533815,0.0036836160694774882,0.0007039363762990403,0.0016266364029579778,0.0032332183554950847,0.0032244420902188963,0.0033067565730797157
TSLY,0.004432730234229016,0.00313850894927408,0.003376314287960055,0.00012174126500744737,0.00029804737072733014,0.00447900704321516,0.011391881635515608,0.002274773950727556,0.02222303392868834,-0.006729152796756706,0.035755091652954527,0.0021787642445852554,0.01349482555866554,0.005413068210435771,0.0033067565730797157,0.06401389934984615
