,ARKK,CLM,CRF,HYGW,IEP,JEPI,JEPQ,LABU,LQDW,OARK,QQQ,SARK,SDOW,SOXL,SQQQ,SVOL,TECL,TLTW,TMF,TSLY
ARKK,0.017409301659105456,0.0012982496345463406,0.002364538288770387,0.0022727177533581064,0.0018066367365392314,0.0023709798691994815,0.002597037704861646,0.04215593720129435,0.00026183606108762795,0.012654547587457292,0.016633731089874575,-0.043323903329643726,-0.020598266651844704,0.02388471747497323,-0.04936005156919839,0.0026598725520676483,0.042578693939736845,0.00018479597567647112,0.0003344259349596874,0.019875497483162176
CLM,0.0012982496345463406,0.0015518360763159067,0.0026133860188481363,0.0002729846698988946,0.0002917078932645493,0.0003156850656344298,0.00013329064130526577,0.0030311402545622236,1.944084568509282e-05,0.0010477979251698542,0.0019081003447911787,-0.0032857977325234993,-0.0040069975950510015,0.004297583974981381,-0.005751969885050726,0.00031035748765251536,0.006323647779048727,7.262073157208941e-05,0.00026793634967112705,0.0010028043178970081
CRF,0.002364538288770387,0.0026133860188481363,0.005179556455207595,0.0006060963565751409,0.0005724920215932263,0.0006251265734086874,0.00025026580616638734,0.006315990837491251,4.5469224430915056e-05,0.0018843020343485251,0.0038796299723128083,-0.0060757483135614986,-0.008031854691264217,0.008591315850443747,-0.011694224851564088,0.0006062593420809775,0.01218620671167594,0.00018204957532134232,0.000466109640358741,0.0032134176194107025
HYGW,0.0022727177533581064,0.0002729846698988946,0.0006060963565751409,0.0031821740157162164,0.0003270510957284441,0.0008379257585950128,0.0006082477314716168,0.00995768580102682,0.0008959291838633711,0.002288247572843308,0.003075792230153089,-0.0056961392497319715,-0.007821596488669227,0.006888264678356619,-0.009324247271341941,0.0010982331050157501,0.00936981882169764,0.0007922335247200807,0.0006198631134338775,0.0068583789986607765
IEP,0.0018066367365392314,0.0002917078932645493,0.0005724920215932263,0.0003270510957284441,0.0018648399470487043,0.0006506639273421369,0.0003774202430008778,0.008382158258942063,-0.00016198220051335226,0.00189608230493321,0.002001144370267009,-0.004501000098653799,-0.004565694173120784,0.002901956061932544,-0.005914459189132362,0.0008601678825483992,0.005925868500251786,-0.0003242735212077284,-0.0018302452041984323,0.001315511186915381
JEPI,0.0023709798691994815,0.0003156850656344298,0.0006251265734086874,0.0008379257585950128,0.0006506639273421369,0.0013479324379512742,0.0007536016312102906,0.009043924552539464,6.049768364890034e-05,0.0018084024545978288,0.0031281119146761784,-0.005848561053739621,-0.008207707715016223,0.00429275385938358,-0.009314477567680262,0.0009813708537933768,0.008995598952064391,-7.63322670229224e-05,-0.0009443599904869975,0.003070910461036595
JEPQ,0.002597037704861646,0.00013329064130526577,0.00025026580616638734,0.0006082477314716168,0.0003774202430008778,0.0007536016312102906,0.0006907332910689454,0.007016253064195952,0.00010173726914415837,0.001993652399806697,0.0032869759004392485,-0.006423451365128695,-0.004786908756971737,0.00487644237779945,-0.00980856852024822,0.0005879940068562391,0.009243667058323406,5.624913906186186e-05,-4.45335037572927e-05,0.0037510434089997532
LABU,0.04215593720129435,0.0030311402545622236,0.006315990837491251,0.00995768580102682,0.008382158258942063,0.009043924552539464,0.007016253064195952,0.2371232037936884,0.0012718112201413607,0.03475298680185635,0.04355486236517241,-0.10410662835459307,-0.08021097261754534,0.058673387179494316,-0.128561369495019,0.010347603324339958,0.11490835946935384,0.0005698531586143803,-0.0024536344831207137,0.05103377164131906
LQDW,0.00026183606108762795,1.944084568509282e-05,4.5469224430915056e-05,0.0008959291838633711,-0.00016198220051335226,6.049768364890034e-05,0.00010173726914415837,0.0012718112201413607,0.0004158425554110541,0.0002816055220060509,0.00044320026928893185,-0.0006788291656409357,-0.0010872909513901356,0.0012451807934210017,-0.0013865845283272547,0.00015096974028169278,0.001404385449622158,0.0004802391211217206,0.001243088340418764,0.001528190844819705
OARK,0.012654547587457292,0.0010477979251698542,0.0018843020343485251,0.002288247572843308,0.00189608230493321,0.0018084024545978288,0.001993652399806697,0.03475298680185635,0.0002816055220060509,0.013525843245065066,0.012510781546821802,-0.03141234030803244,-0.01637254299453671,0.01843624136101949,-0.03723738963310769,0.0022981687423219476,0.03214815336229562,4.32505829338068e-05,-0.0007337365448395463,0.020243765715280058
