,APLY,ARKK,CLM,CRF,HYGW,IEP,JEPI,JEPQ,KLIP,LABU,LQDW,OARK,QQQ,SARK,SDOW,SOXL,SQQQ,SVOL,TECL,TLTW,TMF,TSLY
APLY,0.03207339024288801,0.02068794756299384,0.004529986622063523,0.0023089196214861212,0.0036633156038513854,0.04728669018910919,0.0031798659329569674,0.008629428057545444,0.00022474542105091353,0.010078754161694417,0.002569349647752708,0.013714072896337793,0.018166771487216384,-0.01856412419006068,-0.018169203901922754,0.04351820275500749,-0.0566397527391016,0.004661693180390162,0.03656219893836146,0.0052574076386029634,0.016224868339033142,0.014298324381054137
ARKK,0.02068794756299384,0.14689974965962893,0.016236098066144865,0.014501331385796824,0.012195477836300815,0.11522080421487112,0.00571457056324711,0.013945667245445516,0.020542296127790235,0.17049232654648813,0.009296473123234943,0.058148146757303606,0.033729865760533134,-0.12895613227176753,-0.03612499681516495,0.08828579924309961,-0.10351084753230187,0.0111118133738357,0.05241795062132986,0.012622313322610209,0.04039293109067265,0.0332943229629028
CLM,0.004529986622063523,0.016236098066144865,0.019940191114286996,0.012388085405480852,0.0020567297952776,0.043577106058467305,0.002245710208739954,0.001029173862651914,-0.000543036916663388,0.035266544664910096,0.0008495994030952899,0.009375289789049985,0.0030127398550139415,-0.014142986498183996,-0.016171736783557468,0.005750772218864283,-0.009562911786421248,0.002843710887070714,0.005427261901272466,0.00011477913663934683,-0.0043643126707050605,0.002618450203203412
CRF,0.0023089196214861212,0.014501331385796824,0.012388085405480852,0.009807772734551131,0.001690610415841217,0.031173573397690106,0.0015079284557046652,0.0013402846988012419,0.0011415378857198297,0.029932096065308885,0.0008964688870912879,0.007201136637652424,0.002991537851698116,-0.012528221106896555,-0.010343560428708895,0.006988961975095778,-0.009696526379081975,0.0022394726898205763,0.004801818010584179,0.00036628608817702597,-0.0021732118437921806,0.002257079025674934
HYGW,0.0036633156038513854,0.012195477836300815,0.0020567297952776,0.001690610415841217,0.003957371166225483,0.016262190586191744,0.0011501261154873924,0.0018924422015031113,0.0018008780942871314,0.01666073828787858,0.003421641727218194,0.00631829018116982,0.003991520708320053,-0.010647305986092386,-0.005317413310799961,0.015217286822167655,-0.012461946667028698,0.0011975114232281926,0.008102712967382892,0.0038547073428916493,0.008347446528807896,0.002172127820455101
IEP,0.04728669018910919,0.11522080421487112,0.043577106058467305,0.031173573397690106,0.016262190586191744,1.3517575082632212,0.02411882230779382,0.013236385758672026,0.0029736009473930345,0.127155540872826,0.007035512144485297,0.03319431943934571,0.02004500463808166,-0.10339002182592505,-0.12265024659619299,0.07249095869568918,-0.06258898143432995,0.03025011781384117,0.04211063468840947,-0.0030141019722853646,-0.08812931715658308,0.001197131574258973
JEPI,0.0031798659329569674,0.00571457056324711,0.002245710208739954,0.0015079284557046652,0.0011501261154873924,0.02411882230779382,0.0021140526504807317,0.0019014374039566914,0.0013828413460226824,0.007246039589280453,0.0005905725653657214,0.0027466992395804237,0.002982654126029355,-0.005023569597195705,-0.009245645666382321,0.008780580679024317,-0.009264739491036993,0.0015375840861651972,0.006571388586146204,0.0004474772143846909,0.0008250804480197221,-0.00027726631464060635
JEPQ,0.008629428057545444,0.013945667245445516,0.001029173862651914,0.0013402846988012419,0.0018924422015031113,0.013236385758672026,0.0019014374039566914,0.006523462636349073,0.0009598711039439952,0.007763604773511852,0.0011445814445028989,0.006023196642611947,0.010864530431856312,-0.01222972343634864,-0.008311348210798427,0.030982808471990118,-0.033562374532356824,0.0015660726600248518,0.02140321582712929,0.002233864856268281,0.008175180472867707,0.006091111089912023
KLIP,0.00022474542105091353,0.020542296127790235,-0.000543036916663388,0.0011415378857198297,0.0018008780942871314,0.0029736009473930345,0.0013828413460226824,0.0009598711039439952,0.01754578998022838,0.03471716281876202,0.0013249153488842213,0.007894473566697473,0.0032933954285295237,-0.01809108931667782,-0.00848635576129385,0.004050817119252591,-0.01029380097761431,0.0030428358347365666,0.003609705638550947,0.001468215150340868,0.0011475807725793766,0.001565962884197151
LABU,0.010078754161694417,0.17049232654648813,0.035266544664910096,0.029932096065308885,0.01666073828787858,0.127155540872826,0.007246039589280453,0.007763604773511852,0.03471716281876202,0.5896445681833059,0.00862328217189066,0.08366084569967068,0.02552592227807541,-0.14937224881327127,-0.05228685540569562,0.065402359384725,-0.08047764929312176,0.023091771427113755,0.03537203427371634,0.0067914257525829485,-0.004772467618202168,0.02853648326387804
