,AAPL,AI,AMD,AMZN,ARKK,BITO,CLM,COIN,CRF,FEPI,GOOGL,ISPY,IWMY,JEPY,META,MSFT,NFLX,NVDA,PYPL,QQQY,SQ,SVOL,TMF,TSLA
AAPL,0.197319873,0.098185969,0.0894109,0.077266874,0.063981146,0.06418008,0.028355321,0.109546788,0.016674592,0.016200918,0.052134788,0.009575197,0.006890395,0.007969505,0.049474744,0.062435561,0.052212562,0.098424366,0.061783552,0.012170327,0.084635002,0.021721275,-0.025057394,0.056693297
AI,0.098185969,0.843288825,0.169766806,0.111029225,0.278311062,0.148837734,0.05582574,0.336818489,0.05168724,0.029767412,0.08241621,0.029263017,0.058709256,0.023674054,0.124152378,0.084012553,0.135814493,0.188765173,0.169570202,0.025370384,0.271726348,0.042310352,0.044159196,0.217837882
AMD,0.0894109,0.169766806,0.351695714,0.10441125,0.107517801,0.116791089,0.04513365,0.208870552,0.024333555,0.05116965,0.059496421,0.027083608,0.014206351,0.020287333,0.068624592,0.073160499,0.08773715,0.178871925,0.084537029,0.032780253,0.146524867,0.036398033,-0.041801501,0.098182848
AMZN,0.077266874,0.111029225,0.10441125,0.320579543,0.073231662,0.095421103,0.028150969,0.171554356,0.02309414,0.031290227,0.060345248,0.019677463,0.011413931,0.016209415,0.065909767,0.072199061,0.080287979,0.104379918,0.068630025,0.024716733,0.099035477,0.027269312,-0.020188649,0.065632211
BITO,0.063981146,0.278311062,0.107517801,0.073231662,0.143849092,0.14867994,0.043328906,0.333931499,0.042883575,0.035133788,0.062215375,0.027844378,0.044969424,0.021120576,0.078649696,0.061929673,0.08765681,0.111166473,0.099923702,0.026204046,0.171375967,0.038755575,-0.005693233,0.130383335
CLM,0.06418008,0.148837734,0.116791089,0.095421103,0.14867994,0.351540816,0.042127133,0.330610599,0.039646854,0.004979278,0.071978366,0.009668574,0.01618653,0.002056468,0.092254042,0.069691418,0.096166957,0.138082564,0.092341446,0.004417331,0.170151055,0.031316099,0.00731021,0.127284673
COIN,0.028355321,0.05582574,0.04513365,0.028150969,0.043328906,0.042127133,0.088874551,0.06197073,0.07251642,0.015340105,0.028317244,0.006059565,0.009338516,0.007750425,0.0276758,0.026587743,0.028831222,0.042920667,0.038807197,0.009454303,0.056683534,1.34E-02,-0.017055545,0.040541571
CRF,0.109546788,0.336818489,0.208870552,0.171554356,0.333931499,0.330610599,0.06197073,0.811602326,0.062049714,0.035138005,0.126196528,0.029560457,0.049810827,0.020452942,0.179664411,0.106908854,0.172412649,0.231495623,0.193465361,0.029059873,0.352254533,0.04668084,0.025040709,0.258792498
META,0.016674592,0.05168724,0.024333555,0.02309414,0.042883575,0.039646854,0.07251642,0.062049714,0.070678068,0.0156917,0.026396697,0.005172639,0.008945091,0.008320789,0.027066769,0.015833275,0.027975113,0.03306723,0.038310758,0.00984969,0.056903636,0.012953848,-0.01641094,0.037940254
FEPI,0.016200918,0.029767412,0.05116965,0.031290227,0.035133788,0.004979278,0.015340105,0.035138005,0.0156917,0.019947434,0.026076721,0.009546787,0.008017149,0.007237941,0.032122733,0.016147614,0.019799603,0.049001748,0.022692385,0.012090156,0.037696841,0.004542703,0.01478465,0.026622984
GOOGL,0.052134788,0.08241621,0.059496421,0.060345248,0.062215375,0.071978366,0.028317244,0.126196528,0.026396697,0.026076721,0.094198496,0.015553022,0.004467694,0.013588895,0.059472076,0.046967422,0.047404471,0.067480387,0.060047719,0.01998895,0.082566388,0.02309206,-0.022262375,0.051380506
ISPY,0.009575197,0.029263017,0.027083608,0.019677463,0.027844378,0.009668574,0.006059565,0.029560457,0.005172639,0.009546787,0.015553022,0.009148225,0.009697057,0.005999976,0.029753374,0.013705744,0.011286726,0.025084602,0.018855305,0.007806429,0.03139634,0.001929178,0.009266443,0.01546233
IWMY,0.006890395,0.058709256,0.014206351,0.011413931,0.044969424,0.01618653,0.009338516,0.049810827,0.008945091,0.008017149,0.004467694,0.009697057,0.018210637,0.005826626,0.012496503,0.005251253,0.007996128,0.010646061,0.027986244,0.006784994,0.039472248,0.002962031,0.020129945,0.024708757
JEPY,0.007969505,0.023674054,0.020287333,0.016209415,0.021120576,0.002056468,0.007750425,0.020452942,0.008320789,0.007237941,0.013588895,0.005999976,0.005826626,0.00646485,0.014899341,0.008871676,0.007026711,0.016644159,0.013501507,0.007349085,0.023477168,0.003858274,0.012642692,0.016085312
MSFT,0.049474744,0.124152378,0.068624592,0.065909767,0.078649696,0.092254042,0.0276758,0.179664411,0.027066769,0.032122733,0.059472076,0.029753374,0.012496503,0.014899341,0.16349836,0.050058858,0.067456875,0.07558425,0.082582379,0.023703582,0.10682478,0.031861738,-0.016132602,0.064800265
NFLX,0.062435561,0.084012553,0.073160499,0.072199061,0.061929673,0.069691418,0.026587743,0.106908854,0.015833275,0.016147614,0.046967422,0.013705744,0.005251253,0.008871676,0.050058858,0.113040059,0.045630904,0.08601502,0.063133121,0.013659065,0.085463141,0.02046151,-0.023689756,0.051624178
NVDA,0.052212562,0.135814493,0.08773715,0.080287979,0.08765681,0.096166957,0.028831222,0.172412649,0.027975113,0.019799603,0.047404471,0.011286726,0.007996128,0.007026711,0.067456875,0.045630904,0.316540434,0.086981369,0.077797519,0.011975997,0.11372406,0.026173841,-0.019199235,0.080238631
ARKK,0.098424366,0.188765173,0.178871925,0.104379918,0.111166473,0.138082564,0.042920667,0.231495623,0.03306723,0.049001748,0.067480387,0.025084602,0.010646061,0.016644159,0.07558425,0.08601502,0.086981369,0.362790307,0.095427,0.028979525,0.15455608,0.039536188,-0.034308969,0.094174607
PYPL,0.061783552,0.169570202,0.084537029,0.068630025,0.099923702,0.092341446,0.038807197,0.193465361,0.038310758,0.022692385,0.060047719,0.018855305,0.027986244,0.013501507,0.082582379,0.063133121,0.077797519,0.095427,0.149955818,0.016856881,0.141830541,0.029147934,-0.005877165,0.089584872
QQQY,0.012170327,0.025370384,0.032780253,0.024716733,0.026204046,0.004417331,0.009454303,0.029059873,0.00984969,0.012090156,0.01998895,0.007806429,0.006784994,0.007349085,0.023703582,0.013659065,0.011975997,0.028979525,0.016856881,0.011353438,0.029899283,0.004837387,0.016065685,0.018232034
SQ,0.084635002,0.271726348,0.146524867,0.099035477,0.171375967,0.170151055,0.056683534,0.352254533,0.056903636,0.037696841,0.082566388,0.03139634,0.039472248,0.023477168,0.10682478,0.085463141,0.11372406,0.15455608,0.141830541,0.029899283,0.342325492,0.045907673,-0.009566407,0.143672176
SVOL,0.021721275,0.042310352,0.036398033,0.027269312,0.038755575,0.031316099,1.34E-02,0.04668084,0.012953848,0.004542703,0.02309206,0.001929178,0.002962031,0.003858274,0.031861738,0.02046151,0.026173841,0.039536188,0.029147934,0.004837387,0.045907673,0.021565796,0.001784119,0.032695235
TMF,-0.025057394,0.044159196,-0.041801501,-0.020188649,-0.005693233,0.00731021,-0.017055545,0.025040709,-0.01641094,0.01478465,-0.022262375,0.009266443,0.020129945,0.012642692,-0.016132602,-0.023689756,-0.019199235,-0.034308969,-0.005877165,0.016065685,-0.009566407,0.001784119,0.213071793,-0.027035361
TSLA,0.056693297,0.217837882,0.098182848,0.065632211,0.130383335,0.127284673,0.040541571,0.258792498,0.037940254,0.026622984,0.051380506,0.01546233,0.024708757,0.016085312,0.064800265,0.051624178,0.080238631,0.094174607,0.089584872,0.018232034,0.143672176,0.032695235,-0.027035361,0.322881893
