Expiration Date,DTE,Put Volume,Call Volume,Put/Call Vol Ratio,Put OI,Call OI,Put/Call OI Ratio,Implied Volatility
10/31/22 (w),0,"1,462,230","1,575,085",0.93,"875,617","419,252",2.09,2.23%
11/02/22 (w),1,"597,313","490,980",1.22,"297,995","246,188",1.21,47.08%
11/04/22 (w),3,"377,456","341,489",1.11,"714,079","285,723",2.50,37.33%
11/07/22 (w),6,"91,969","80,020",1.15,"148,759","68,101",2.18,28.55%
11/09/22 (w),8,"54,845","24,804",2.21,"106,915","62,437",1.71,28.90%
11/11/22 (w),10,"96,241","49,502",1.94,"519,952","123,953",4.19,30.66%
11/14/22 (w),13,"13,980","8,910",1.57,"59,187","31,329",1.89,28.08%
11/16/22 (w),15,"6,738","7,670",0.88,"130,804","24,524",5.33,27.74%
11/18/22 (m),17,"161,368","129,379",1.25,"3,202,532","1,407,599",2.28,27.63%
11/21/22 (w),20,"7,492","4,719",1.59,"27,087","11,222",2.41,26.17%
11/23/22 (w),22,"10,206","8,586",1.19,"40,889","35,715",1.14,26.15%
11/25/22 (w),24,"30,813","19,516",1.58,"352,493","78,708",4.48,25.53%
11/28/22 (w),27,"4,245","2,654",1.60,"21,999","11,123",1.98,24.67%
11/30/22 (w),29,"14,978","10,949",1.37,"55,643","19,040",2.92,24.75%
12/02/22 (w),31,"21,944","19,905",1.10,"93,051","45,108",2.06,25.05%
12/05/22 (w),34,"1,843","2,245",0.82,529,538,0.98,24.47%
12/09/22 (w),38,"12,057","3,410",3.54,"21,705","5,581",3.89,24.78%
12/16/22 (m),45,"145,276","157,039",0.93,"2,400,708","1,779,441",1.35,25.88%
12/30/22 (w),59,"44,738","11,328",3.95,"717,464","320,734",2.24,24.78%
01/20/23 (m),80,"99,110","60,146",1.65,"1,536,775","932,664",1.65,24.48%
02/17/23 (m),108,"29,542","10,833",2.73,"165,170","83,545",1.98,24.73%
03/17/23 (m),136,"24,611","5,182",4.75,"817,366","519,856",1.57,24.79%
03/31/23 (w),150,"1,807","2,925",0.62,"96,559","82,280",1.17,24.77%
06/16/23 (m),227,"3,234","6,892",0.47,"438,515","318,159",1.38,24.96%
06/30/23 (w),241,297,186,1.60,"33,405","21,340",1.57,24.88%
09/15/23 (m),318,"1,616",373,4.33,"116,798","47,585",2.45,24.81%
09/29/23 (w),332,53,256,0.21,"2,736","1,108",2.47,25.28%
12/15/23 (m),409,683,866,0.79,"268,596","434,279",0.62,25.19%
01/19/24 (m),444,697,910,0.77,"75,095","114,921",0.65,25.22%
06/21/24 (m),598,"2,181","20,000",0.11,"43,168","28,899",1.49,24.85%
12/20/24 (m),780,211,266,0.79,"134,989","107,878",1.25,25.53%
01/17/25 (m),808,350,127,2.76,"6,860","5,881",1.17,24.98%
