
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
3/16/2023,28.14,28.23,24.54,24.56
3/17/2023,25.16,27.82,25.06,27.42
3/20/2023,27.37,27.72,25.73,25.85
3/21/2023,24.45,24.52,23.45,23.57
3/22/2023,23.44,24.43,22.41,24.38
3/23/2023,23.32,25.75,22.72,24.53
3/24/2023,25.52,26.55,23.88,23.96
3/27/2023,23.33,23.77,22.84,22.87
3/28/2023,23.1,23.31,22.32,22.38
3/29/2023,21.62,21.85,21.48,21.49
3/30/2023,21.39,22.16,21.32,21.45
3/31/2023,21.31,21.5,21.02,21.23
4/3/2023,21.47,21.75,20.83,20.83
4/4/2023,21.05,22.05,20.94,21.34
4/5/2023,21.76,22.16,21.4,21.48
4/6/2023,21.81,21.95,20.86,21
4/10/2023,21.81,21.99,21.05,21.07
4/11/2023,21.09,21.15,20.64,21.01
4/12/2023,20.78,21.37,20.32,21.05
4/13/2023,20.75,20.81,20.22,20.26
4/14/2023,20.4,20.61,19.95,20.03
4/17/2023,20.31,20.33,19.6,19.65
4/18/2023,19.67,19.93,19.48,19.82
4/19/2023,20.03,20.19,19.7,20.02
4/20/2023,20.62,20.85,20,20.55
4/21/2023,20.65,21.02,20.27,20.39
4/24/2023,20.61,20.83,20.28,20.4
4/25/2023,20.79,22.23,20.62,21.65
4/26/2023,21.7,21.97,20.91,21.54
4/27/2023,20.92,20.95,20.19,20.37
4/28/2023,20.24,20.32,19.54,19.54
5/1/2023,19.83,19.83,19.17,19.67
5/2/2023,20.08,22.21,20.08,20.75
5/3/2023,20.92,21.67,20.36,21.29
5/4/2023,21.92,23.48,21.82,22.77
5/5/2023,21.57,21.57,20.51,20.78
5/8/2023,20.98,21.23,20.62,20.71
5/9/2023,21.21,21.28,20.94,21.17
5/10/2023,20.54,21.7,20.34,20.69
5/11/2023,21.16,21.51,20.5,20.62
5/12/2023,20.4,21.23,20.2,20.66
5/15/2023,20.82,21.12,20.26,20.31
5/16/2023,20.63,21.14,20.38,20.9
5/17/2023,20.49,20.85,19.98,20.05
5/18/2023,20.18,20.23,19.26,19.33
5/19/2023,19.29,20.4,19.14,20.04
5/22/2023,20.23,20.82,20,20.36
5/23/2023,20.96,21.55,20.42,21.06
5/24/2023,21.96,22.47,21.65,22.02
5/25/2023,21.46,21.83,21.17,21.38
5/26/2023,21.12,21.15,20.02,20.44
5/30/2023,19.89,20.77,19.76,20.13
5/31/2023,20.56,20.88,19.87,20.21
6/1/2023,19.96,20.08,18.71,18.75
6/2/2023,18.3,18.44,17.76,17.92
6/5/2023,18.23,18.33,17.9,17.9
6/6/2023,18.06,18.09,16.88,17.04
6/7/2023,17.19,17.44,16.87,17.14
6/8/2023,17.27,17.41,16.74,16.86
6/9/2023,16.86,17.25,16.7,16.96
6/12/2023,17.3,17.46,17.09,17.28
6/13/2023,17.04,17.34,16.89,17.23
6/14/2023,17.33,17.38,16.79,16.86
